,Tournament,City,Country,Start Date,Prize,Champion,Surface,URL,Year
99,Roland Garros,Paris,Empty,2006.05.29,"$8,543,691",Rafael Nadal,Clay,/en/scores/archive/roland-garros/520/2006/results,2006
100,Halle,Halle,Empty,2006.06.12,"$800,000",Roger Federer,Grass,/en/scores/archive/halle/500/2006/results,2006
101,London / Queen's Club,London,Empty,2006.06.12,"$800,000",Lleyton Hewitt,Grass,/en/scores/archive/london/311/2006/results,2006
102,Nottingham,Nottingham,Empty,2006.06.19,"$380,000",Richard Gasquet,Grass,/en/scores/archive/nottingham/741/2006/results,2006
103,'s-Hertogenbosch,s-Hertogenbosch,Empty,2006.06.19,"$380,000",Mario Ancic,Grass,/en/scores/archive/s-hertogenbosch/440/2006/results,2006
104,Wimbledon,London,Empty,2006.06.26,"$8,847,338",Roger Federer,Grass,/en/scores/archive/wimbledon/540/2006/results,2006
105,Gstaad,Gstaad,Empty,2006.07.10,"$495,000",Richard Gasquet,Clay,/en/scores/archive/gstaad/314/2006/results,2006
106,Bastad,Bastad,Empty,2006.07.10,"$380,000",Tommy Robredo,Clay,/en/scores/archive/bastad/316/2006/results,2006
107,Newport,Newport,Empty,2006.07.10,"$380,000",Mark Philippoussis,Grass,/en/scores/archive/newport/315/2006/results,2006
108,Stuttgart,Stuttgart,Empty,2006.07.17,"$690,000",David Ferrer,Clay,/en/scores/archive/stuttgart/321/2006/results,2006
109,Indianapolis,Indianapolis,Empty,2006.07.17,"$600,000",James Blake,Hard,/en/scores/archive/indianapolis/419/2006/results,2006
110,Amersfoort,Amersfoort,Empty,2006.07.17,"$380,000",Novak Djokovic,Clay,/en/scores/archive/amersfoort/317/2006/results,2006
111,Kitzbuhel,Kitzbuhel,Empty,2006.07.24,"$760,000",Agustin Calleri,Clay,/en/scores/archive/kitzbuhel/319/2006/results,2006
112,Los Angeles,Los Angeles,Empty,2006.07.24,"$500,000",Tommy Haas,Hard,/en/scores/archive/los-angeles/423/2006/results,2006
113,Umag,Umag,Empty,2006.07.24,"$400,000",Stan Wawrinka,Clay,/en/scores/archive/umag/439/2006/results,2006
114,Washington,Washington,Empty,2006.07.31,"$600,000",Arnaud Clement,Hard,/en/scores/archive/washington/418/2006/results,2006
115,Sopot,Sopot,Empty,2006.07.31,"$500,000",Nikolay Davydenko,Clay,/en/scores/archive/sopot/475/2006/results,2006
116,ATP Masters 1000 Canada,Toronto,Empty,2006.08.07,"$2,450,000",Roger Federer,Hard,/en/scores/archive/toronto/421/2006/results,2006
117,ATP Masters 1000 Cincinnati,Cincinnati,Empty,2006.08.14,"$2,450,000",Andy Roddick,Hard,/en/scores/archive/cincinnati/422/2006/results,2006
118,New Haven,New Haven,Empty,2006.08.21,"$675,000",Nikolay Davydenko,Hard,/en/scores/archive/new-haven/3348/2006/results,2006
119,US Open,New York,Empty,2006.08.28,"$8,332,000",Roger Federer,Hard,/en/scores/archive/us-open/560/2006/results,2006
