,Home,Away,Home Score,Away Score,Tournament,Year,City,Country
241,Sergiy Stakhovsky,Carlos Berlocq,2,0,Sydney,2014,Sydney,Australia
242,Radek Stepanek,Sam Groth,2,1,Sydney,2014,Sydney,Australia
243,Blaz Kavcic,Albert Ramos-Vinolas,2,1,Sydney,2014,Sydney,Australia
244,Jan-Lennard Struff,Jiri Vesely,2,0,Sydney,2014,Sydney,Australia
245,Ryan Harrison,Alex Bogomolov Jr.,2,1,Sydney,2014,Sydney,Australia
246,Sergiy Stakhovsky,Henri Laaksonen,2,0,Sydney,2014,Sydney,Australia
247,Henri Laaksonen,Andrey Golubev,2,0,Sydney,2014,Sydney,Australia
248,Albert Ramos-Vinolas,Wayne Odesnik,2,0,Sydney,2014,Sydney,Australia
249,Jiri Vesely,Jordan Thompson,2,1,Sydney,2014,Sydney,Australia
250,Alex Bogomolov Jr.,John-Patrick Smith,2,0,Sydney,2014,Sydney,Australia
251,Ryan Harrison,Stephane Robert,2,0,Sydney,2014,Sydney,Australia
252,Blaz Kavcic,Go Soeda,2,0,Sydney,2014,Sydney,Australia
253,Sergiy Stakhovsky,Frank Dancevic,2,0,Sydney,2014,Sydney,Australia
254,Jan-Lennard Struff,Somdev Devvarman,2,1,Sydney,2014,Sydney,Australia
255,Jan-Lennard Struff,Mikhail Kukushkin,2,0,Sydney,2014,Sydney,Australia
256,Blaz Kavcic,Teymuraz Gabashvili,2,0,Sydney,2014,Sydney,Australia
257,Ryan Harrison,Benjamin Becker,2,0,Sydney,2014,Sydney,Australia
258,Andrey Golubev,Dane Propoggia,2,0,Sydney,2014,Sydney,Australia
259,Albert Ramos-Vinolas,Jacob Grills,2,0,Sydney,2014,Sydney,Australia
260,Sergiy Stakhovsky,Kenny De Schepper,2,0,Sydney,2014,Sydney,Australia
261,Jiri Vesely,Flavio Cipolla,2,1,Sydney,2014,Sydney,Australia
262,Alex Bogomolov Jr.,Aleksandr Nedovyesov,2,0,Sydney,2014,Sydney,Australia
263,Frank Dancevic,Mohamed Safwat,2,1,Sydney,2014,Sydney,Australia
264,Somdev Devvarman,Niels Desein,2,1,Sydney,2014,Sydney,Australia
265,Henri Laaksonen,Kristijan Mesaros,2,0,Sydney,2014,Sydney,Australia
266,Wayne Odesnik,Matthew Barton,2,0,Sydney,2014,Sydney,Australia
267,Stephane Robert,Rik De Voest,2,0,Sydney,2014,Sydney,Australia
268,John-Patrick Smith,Matt Reid,2,0,Sydney,2014,Sydney,Australia
269,Go Soeda,Jose Checa-Calvo,2,0,Sydney,2014,Sydney,Australia
270,Jordan Thompson,Di Wu,2,0,Sydney,2014,Sydney,Australia
271,Stan Wawrinka,Rafael Nadal,3,1,Australian Open,2014,Melbourne,Australia
272,Rafael Nadal,Roger Federer,2,1,Australian Open,2014,Melbourne,Australia
273,Stan Wawrinka,Tomas Berdych,3,1,Australian Open,2014,Melbourne,Australia
274,Rafael Nadal,Grigor Dimitrov,3,1,Australian Open,2014,Melbourne,Australia
275,Stan Wawrinka,Novak Djokovic,3,2,Australian Open,2014,Melbourne,Australia
276,Tomas Berdych,David Ferrer,3,1,Australian Open,2014,Melbourne,Australia
277,Roger Federer,Andy Murray,3,1,Australian Open,2014,Melbourne,Australia
278,Rafael Nadal,Kei Nishikori,2,1,Australian Open,2014,Melbourne,Australia
279,Novak Djokovic,Fabio Fognini,2,1,Australian Open,2014,Melbourne,Australia
280,David Ferrer,Florian Mayer,3,1,Australian Open,2014,Melbourne,Australia
281,Andy Murray,Stephane Robert,3,1,Australian Open,2014,Melbourne,Australia
282,Roger Federer,Jo-Wilfried Tsonga,2,1,Australian Open,2014,Melbourne,Australia
283,Tomas Berdych,Kevin Anderson,2,1,Australian Open,2014,Melbourne,Australia
284,Stan Wawrinka,Tommy Robredo,2,1,Australian Open,2014,Melbourne,Australia
285,Grigor Dimitrov,Roberto Bautista Agut,3,1,Australian Open,2014,Melbourne,Australia
286,Rafael Nadal,Gael Monfils,2,1,Australian Open,2014,Melbourne,Australia
287,Novak Djokovic,Denis Istomin,2,1,Australian Open,2014,Melbourne,Australia
288,David Ferrer,Jeremy Chardy,2,1,Australian Open,2014,Melbourne,Australia
