,Home,Away,Home Score,Away Score,Tournament,Year,City,Country
0,Roger Federer,Milos Raonic,2,1,Brisbane,2015,Brisbane,Australia
1,Roger Federer,Grigor Dimitrov,2,0,Brisbane,2015,Brisbane,Australia
2,Milos Raonic,Kei Nishikori,2,1,Brisbane,2015,Brisbane,Australia
3,Roger Federer,James Duckworth,2,0,Brisbane,2015,Brisbane,Australia
4,Kei Nishikori,Bernard Tomic,2,0,Brisbane,2015,Brisbane,Australia
5,Milos Raonic,Sam Groth,2,1,Brisbane,2015,Brisbane,Australia
6,Grigor Dimitrov,Martin Klizan,2,0,Brisbane,2015,Brisbane,Australia
7,Roger Federer,John Millman,2,1,Brisbane,2015,Brisbane,Australia
8,Kei Nishikori,Steve Johnson,2,0,Brisbane,2015,Brisbane,Australia
9,Milos Raonic,Mikhail Kukushkin,2,0,Brisbane,2015,Brisbane,Australia
10,Grigor Dimitrov,Jeremy Chardy,2,1,Brisbane,2015,Brisbane,Australia
11,Martin Klizan,Alexandr Dolgopolov,2,1,Brisbane,2015,Brisbane,Australia
12,James Duckworth,Jarkko Nieminen,2,1,Brisbane,2015,Brisbane,Australia
13,Sam Groth,Lukasz Kubot,2,1,Brisbane,2015,Brisbane,Australia
14,Bernard Tomic,Thanasi Kokkinakis,2,0,Brisbane,2015,Brisbane,Australia
15,Lukasz Kubot,Kevin Anderson,2,0,Brisbane,2015,Brisbane,Australia
16,James Duckworth,Gilles Simon,2,0,Brisbane,2015,Brisbane,Australia
17,Alexandr Dolgopolov,Carlos Berlocq,2,0,Brisbane,2015,Brisbane,Australia
18,Thanasi Kokkinakis,Julien Benneteau,2,0,Brisbane,2015,Brisbane,Australia
19,Jeremy Chardy,Andrey Golubev,2,0,Brisbane,2015,Brisbane,Australia
20,Sam Groth,Lleyton Hewitt,2,0,Brisbane,2015,Brisbane,Australia
21,Steve Johnson,Marinko Matosevic,2,1,Brisbane,2015,Brisbane,Australia
22,Martin Klizan,Jurgen Melzer,2,1,Brisbane,2015,Brisbane,Australia
23,Mikhail Kukushkin,Marius Copil,2,1,Brisbane,2015,Brisbane,Australia
24,John Millman,Rhyne Williams,2,0,Brisbane,2015,Brisbane,Australia
25,Jarkko Nieminen,Denis Kudla,2,1,Brisbane,2015,Brisbane,Australia
26,Bernard Tomic,Sam Querrey,2,0,Brisbane,2015,Brisbane,Australia
27,Denis Kudla,Viktor Troicki,2,0,Brisbane,2015,Brisbane,Australia
28,Marius Copil,Marsel Ilhan,2,0,Brisbane,2015,Brisbane,Australia
29,Lukasz Kubot,Frank Dancevic,2,0,Brisbane,2015,Brisbane,Australia
30,Rhyne Williams,Matt Reid,2,0,Brisbane,2015,Brisbane,Australia
