,Home,Away,Home Score,Away Score,Tournament,Year,City,Country
0,John Newcombe,Jimmy Connors,3,1,Australian Open,1974,Melbourne,Empty
1,Jimmy Connors,Dick Crealy,2,1,Australian Open,1974,Melbourne,Empty
2,John Newcombe,Tony Roche,3,2,Australian Open,1974,Melbourne,Empty
3,Jimmy Connors,Kim Warwick,2,1,Australian Open,1974,Melbourne,Empty
4,John Newcombe,Geoff Masters,3,2,Australian Open,1974,Melbourne,Empty
5,Tony Roche,Alex Metreveli,3,1,Australian Open,1974,Melbourne,Empty
6,Dick Crealy,John Alexander,3,1,Australian Open,1974,Melbourne,Empty
7,Jimmy Connors,Grover Raz Reid,3,1,Australian Open,1974,Melbourne,Empty
8,John Newcombe,Bob Carmichael,2,1,Australian Open,1974,Melbourne,Empty
9,Tony Roche,Peter McNamara,3,1,Australian Open,1974,Melbourne,Empty
10,John Alexander,Allan Stone,2,1,Australian Open,1974,Melbourne,Empty
11,Alex Metreveli,Cliff Letcher,3,1,Australian Open,1974,Melbourne,Empty
12,Geoff Masters,Bob Giltinan,2,1,Australian Open,1974,Melbourne,Empty
13,Dick Crealy,John Andrews,3,1,Australian Open,1974,Melbourne,Empty
14,Kim Warwick,Harald Elschenbroich,3,2,Australian Open,1974,Melbourne,Empty
15,Jimmy Connors,Ulrich Pinner,2,1,Australian Open,1974,Melbourne,Empty
16,John Newcombe,Rolf Gehring,3,2,Australian Open,1974,Melbourne,Empty
17,Tony Roche,Colin Dibley,2,1,Australian Open,1974,Melbourne,Empty
18,John Alexander,Mark Edmondson,3,1,Australian Open,1974,Melbourne,Empty
19,Alex Metreveli,Martin Robinson,2,1,Australian Open,1974,Melbourne,Empty
20,Geoff Masters,Frank Sedgman,2,1,Australian Open,1974,Melbourne,Empty
21,Harald Elschenbroich,Phil Dent,3,1,Australian Open,1974,Melbourne,Empty
22,John Andrews,Bill Bowrey,2,1,Australian Open,1974,Melbourne,Empty
23,Bob Carmichael,Sashi Menon,2,1,Australian Open,1974,Melbourne,Empty
24,Dick Crealy,Ray Ruffels,2,1,Australian Open,1974,Melbourne,Empty
25,Bob Giltinan,Patrice Beust,2,1,Australian Open,1974,Melbourne,Empty
26,Cliff Letcher,Ernie Ewert,2,1,Australian Open,1974,Melbourne,Empty
27,Peter McNamara,Joaquin Loyo-Mayo,3,1,Australian Open,1974,Melbourne,Empty
28,Grover Raz Reid,Jasjit Singh,3,1,Australian Open,1974,Melbourne,Empty
29,Allan Stone,John James,3,1,Australian Open,1974,Melbourne,Empty
30,Kim Warwick,Graeme Thomson,2,1,Australian Open,1974,Melbourne,Empty
31,Jimmy Connors,Chris Kachel,2,1,Australian Open,1974,Melbourne,Empty
32,John Newcombe,Trevor Fancutt,2,1,Australian Open,1974,Melbourne,Empty
33,Tony Roche,Mike Machette,2,1,Australian Open,1974,Melbourne,Empty
34,John Alexander,Peter Doerner,3,1,Australian Open,1974,Melbourne,Empty
35,Ray Ruffels,Ross Case,3,1,Australian Open,1974,Melbourne,Empty
36,Alex Metreveli,Syd Ball,3,2,Australian Open,1974,Melbourne,Empty
37,Geoff Masters,Ray Keldie,3,1,Australian Open,1974,Melbourne,Empty
38,Phil Dent,Herve Gauvain,2,1,Australian Open,1974,Melbourne,Empty
39,John Andrews,Greg Perkins,2,1,Australian Open,1974,Melbourne,Empty
40,Patrice Beust,Kjell Johansson,0,0,Australian Open,1974,Melbourne,Empty
41,Bill Bowrey,Sachio Kato,2,1,Australian Open,1974,Melbourne,Empty
42,Bob Carmichael,Ulrich Marten,3,1,Australian Open,1974,Melbourne,Empty
43,Dick Crealy,Jun Kuki,3,1,Australian Open,1974,Melbourne,Empty
44,Colin Dibley,William Durham,2,1,Australian Open,1974,Melbourne,Empty
45,Mark Edmondson,Toshiro Sakai,3,2,Australian Open,1974,Melbourne,Empty
46,Harald Elschenbroich,Nicola Spear,2,1,Australian Open,1974,Melbourne,Empty
47,Ernie Ewert,David Carter,3,1,Australian Open,1974,Melbourne,Empty
48,Rolf Gehring,Colin Stubs,2,1,Australian Open,1974,Melbourne,Empty
49,Bob Giltinan,John Trickey,2,1,Australian Open,1974,Melbourne,Empty
50,John James,Spencer Segura,2,1,Australian Open,1974,Melbourne,Empty
51,Cliff Letcher,John Eastburn,3,1,Australian Open,1974,Melbourne,Empty
52,Joaquin Loyo-Mayo,Neale Fraser,2,1,Australian Open,1974,Melbourne,Empty
53,Peter McNamara,Dragan Stojovic,2,1,Australian Open,1974,Melbourne,Empty
54,Sashi Menon,William Coghlan,3,1,Australian Open,1974,Melbourne,Empty
55,Ulrich Pinner,Kiyoshi Tanabe,2,1,Australian Open,1974,Melbourne,Empty
56,Grover Raz Reid,Greg Braun,3,1,Australian Open,1974,Melbourne,Empty
57,Martin Robinson,Kenichi Hirai,3,1,Australian Open,1974,Melbourne,Empty
58,Frank Sedgman,Richard Lewis,3,1,Australian Open,1974,Melbourne,Empty
59,Jasjit Singh,Tony Dawson,2,1,Australian Open,1974,Melbourne,Empty
60,Allan Stone,Stephen Myers,2,1,Australian Open,1974,Melbourne,Empty
61,Graeme Thomson,Mike Prineas,2,0,Australian Open,1974,Melbourne,Empty
62,Kim Warwick,Ken Hiskins,2,1,Australian Open,1974,Melbourne,Empty
63,Onny Parun,Brian Fairlie,3,2,Auckland,1975,Auckland,Empty
64,Onny Parun,Jeff Simpson,2,1,Auckland,1975,Auckland,Empty
65,Brian Fairlie,Dick Crealy,3,1,Auckland,1975,Auckland,Empty
66,Onny Parun,Gerard Wimmer,3,1,Auckland,1975,Auckland,Empty
67,Brian Fairlie,Scott Carnahan,2,1,Auckland,1975,Auckland,Empty
68,Jeff Simpson,Ray Ruffels,2,1,Auckland,1975,Auckland,Empty
69,Dick Crealy,Syd Ball,3,1,Auckland,1975,Auckland,Empty
70,Onny Parun,Mike Machette,3,2,Auckland,1975,Auckland,Empty
71,Brian Fairlie,Joaquin Loyo-Mayo,2,1,Auckland,1975,Auckland,Empty
72,Ray Ruffels,Russell Simpson,3,1,Auckland,1975,Auckland,Empty
73,Syd Ball,Matti Timonen,3,2,Auckland,1975,Auckland,Empty
74,Scott Carnahan,Bob Carmichael,2,0,Auckland,1975,Auckland,Empty
75,Dick Crealy,Steve Docherty,2,1,Auckland,1975,Auckland,Empty
76,Jeff Simpson,Cliff Letcher,2,1,Auckland,1975,Auckland,Empty
77,Gerard Wimmer,Graham Oliver,2,1,Auckland,1975,Auckland,Empty
78,Onny Parun,Jukka Narakka,3,1,Auckland,1975,Auckland,Empty
