,Tournament,City,Country,Start Date,Prize,Champion,Surface,URL,Year
253,St. Petersburg,St. Petersburg,Russia,2018.09.17,"$1,241,850",Dominic Thiem,Hard,/en/scores/archive/st-petersburg/568/2018/results,2018
254,Metz,Metz,France,2018.09.17,"€561,345",Gilles Simon,Hard,/en/scores/archive/metz/341/2018/results,2018
255,Chengdu,Chengdu,China,2018.09.24,"$1,183,360",Bernard Tomic,Hard,/en/scores/archive/chengdu/7581/2018/results,2018
256,Shenzhen,Shenzhen,China,2018.09.24,"$800,320",Yoshihito Nishioka,Hard,/en/scores/archive/shenzhen/6967/2018/results,2018
257,Beijing,Beijing,China,2018.10.01,"$4,658,510",Nikoloz Basilashvili,Hard,/en/scores/archive/beijing/747/2018/results,2018
258,Tokyo,Tokyo,Japan,2018.10.01,"$1,928,580",Daniil Medvedev,Hard,/en/scores/archive/tokyo/329/2018/results,2018
259,ATP Masters 1000 Shanghai,Shanghai,China,2018.10.07,"$9,219,970",Novak Djokovic,Hard,/en/scores/archive/shanghai/5014/2018/results,2018
260,Moscow,Moscow,Russia,2018.10.15,"$936,435",Karen Khachanov,Hard,/en/scores/archive/moscow/438/2018/results,2018
261,Antwerp,Antwerp,Belgium,2018.10.15,"€686,080",Kyle Edmund,Hard,/en/scores/archive/antwerp/7485/2018/results,2018
262,Stockholm,Stockholm,Sweden,2018.10.15,"€686,080",Stefanos Tsitsipas,Hard,/en/scores/archive/stockholm/429/2018/results,2018
263,Vienna,Vienna,Austria,2018.10.22,"€2,788,570",Kevin Anderson,Hard,/en/scores/archive/vienna/337/2018/results,2018
264,Basel,Basel,Switzerland,2018.10.22,"€2,442,740",Roger Federer,Hard,/en/scores/archive/basel/328/2018/results,2018
265,ATP Masters 1000 Paris,Paris,France,2018.10.29,"€5,444,985",Karen Khachanov,Hard,/en/scores/archive/paris/352/2018/results,2018
266,Next Gen ATP Finals,Milan,Italy,2018.11.06,"$1,335,000",Stefanos Tsitsipas,Hard,/en/scores/archive/next-gen-atp-finals/7696/2018/results,2018
267,Nitto ATP Finals,London,Great Britain,2018.11.11,"$8,500,000",Alexander Zverev,Hard,/en/scores/archive/nitto-atp-finals/605/2018/results,2018
268,Doha,Doha,Qatar,2018.12.31,"$1,416,205",Roberto Bautista Agut,Hard,/en/scores/archive/doha/451/2019/results,2019
