,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
62,SV Mattersburg,SKN St. Pölten,1,1,Draw,13.Matchday,"Oct 28, 2017"
63,LASK,Austria Vienna,2,2,Draw,13.Matchday,"Oct 28, 2017"
64,Wolfsberger AC,SK Sturm Graz,0,2,AwayTeam,13.Matchday,"Oct 29, 2017"
65,SK Sturm Graz,Rapid Vienna,0,0,Draw,14.Matchday,"Nov 4, 2017"
66,SC Rheindorf Altach,LASK,2,4,AwayTeam,14.Matchday,"Nov 4, 2017"
67,FC Admira Wacker Mödling,Wolfsberger AC,0,0,Draw,14.Matchday,"Nov 4, 2017"
68,Austria Vienna,SV Mattersburg,1,3,AwayTeam,14.Matchday,"Nov 5, 2017"
69,SKN St. Pölten,Red Bull Salzburg,1,3,AwayTeam,14.Matchday,"Nov 5, 2017"
70,LASK,Rapid Vienna,1,2,AwayTeam,15.Matchday,"Nov 18, 2017"
71,Austria Vienna,FC Admira Wacker Mödling,2,3,AwayTeam,15.Matchday,"Nov 18, 2017"
72,SV Mattersburg,SC Rheindorf Altach,1,0,HomeTeam,15.Matchday,"Nov 18, 2017"
73,SKN St. Pölten,Wolfsberger AC,0,0,Draw,15.Matchday,"Nov 18, 2017"
74,Red Bull Salzburg,SK Sturm Graz,5,0,HomeTeam,15.Matchday,"Nov 19, 2017"
75,SK Sturm Graz,LASK,1,0,HomeTeam,16.Matchday,"Nov 25, 2017"
76,SC Rheindorf Altach,SKN St. Pölten,3,0,HomeTeam,16.Matchday,"Nov 25, 2017"
77,FC Admira Wacker Mödling,SV Mattersburg,2,0,HomeTeam,16.Matchday,"Nov 25, 2017"
78,Wolfsberger AC,Austria Vienna,1,2,AwayTeam,16.Matchday,"Nov 26, 2017"
79,Rapid Vienna,Red Bull Salzburg,2,3,AwayTeam,16.Matchday,"Nov 26, 2017"
80,SK Sturm Graz,FC Admira Wacker Mödling,6,1,HomeTeam,17.Matchday,"Nov 28, 2017"
81,Red Bull Salzburg,SV Mattersburg,2,0,HomeTeam,17.Matchday,"Nov 29, 2017"
82,SKN St. Pölten,Austria Vienna,1,0,HomeTeam,17.Matchday,"Nov 29, 2017"
83,LASK,Wolfsberger AC,2,0,HomeTeam,17.Matchday,"Nov 29, 2017"
84,Rapid Vienna,SC Rheindorf Altach,1,2,AwayTeam,17.Matchday,"Nov 29, 2017"
85,Wolfsberger AC,Rapid Vienna,0,0,Draw,18.Matchday,"Dec 2, 2017"
86,SC Rheindorf Altach,SK Sturm Graz,1,2,AwayTeam,18.Matchday,"Dec 2, 2017"
87,FC Admira Wacker Mödling,SKN St. Pölten,1,0,HomeTeam,18.Matchday,"Dec 2, 2017"
88,SV Mattersburg,LASK,1,0,HomeTeam,18.Matchday,"Dec 2, 2017"
89,Austria Vienna,Red Bull Salzburg,1,1,Draw,18.Matchday,"Dec 3, 2017"
90,Rapid Vienna,SV Mattersburg,2,2,Draw,19.Matchday,"Dec 9, 2017"
91,SK Sturm Graz,SKN St. Pölten,3,2,HomeTeam,19.Matchday,"Dec 9, 2017"
92,LASK,FC Admira Wacker Mödling,2,1,HomeTeam,19.Matchday,"Dec 9, 2017"
93,SC Rheindorf Altach,Austria Vienna,1,0,HomeTeam,19.Matchday,"Dec 10, 2017"
94,Wolfsberger AC,Red Bull Salzburg,0,0,Draw,19.Matchday,"Dec 10, 2017"
95,Red Bull Salzburg,LASK,0,0,Draw,20.Matchday,"Dec 16, 2017"
96,FC Admira Wacker Mödling,SC Rheindorf Altach,3,1,HomeTeam,20.Matchday,"Dec 16, 2017"
97,SV Mattersburg,Wolfsberger AC,5,1,HomeTeam,20.Matchday,"Dec 16, 2017"
98,SKN St. Pölten,Rapid Vienna,0,5,AwayTeam,20.Matchday,"Dec 16, 2017"
99,Austria Vienna,SK Sturm Graz,1,0,HomeTeam,20.Matchday,"Dec 17, 2017"
100,SV Mattersburg,SK Sturm Graz,1,0,HomeTeam,21.Matchday,"Feb 3, 2018"
101,LASK,SKN St. Pölten,2,1,HomeTeam,21.Matchday,"Feb 3, 2018"
102,Red Bull Salzburg,FC Admira Wacker Mödling,2,1,HomeTeam,21.Matchday,"Feb 3, 2018"
103,Wolfsberger AC,SC Rheindorf Altach,0,0,Draw,21.Matchday,"Feb 3, 2018"
104,Rapid Vienna,Austria Vienna,1,1,Draw,21.Matchday,"Feb 4, 2018"
105,SC Rheindorf Altach,Red Bull Salzburg,0,1,AwayTeam,22.Matchday,"Feb 10, 2018"
106,Austria Vienna,LASK,1,3,AwayTeam,22.Matchday,"Feb 10, 2018"
107,SK Sturm Graz,Wolfsberger AC,0,1,AwayTeam,22.Matchday,"Feb 10, 2018"
108,SKN St. Pölten,SV Mattersburg,0,3,AwayTeam,22.Matchday,"Feb 10, 2018"
109,FC Admira Wacker Mödling,Rapid Vienna,2,1,HomeTeam,22.Matchday,"Feb 11, 2018"
110,Rapid Vienna,SK Sturm Graz,1,1,Draw,23.Matchday,"Feb 17, 2018"
111,SV Mattersburg,Austria Vienna,2,1,HomeTeam,23.Matchday,"Feb 17, 2018"
112,Wolfsberger AC,FC Admira Wacker Mödling,1,3,AwayTeam,23.Matchday,"Feb 17, 2018"
113,LASK,SC Rheindorf Altach,2,0,HomeTeam,23.Matchday,"Feb 17, 2018"
114,Red Bull Salzburg,SKN St. Pölten,4,0,HomeTeam,23.Matchday,"Feb 18, 2018"
115,FC Admira Wacker Mödling,Austria Vienna,2,1,HomeTeam,24.Matchday,"Feb 24, 2018"
116,SC Rheindorf Altach,SV Mattersburg,1,1,Draw,24.Matchday,"Feb 24, 2018"
117,Wolfsberger AC,SKN St. Pölten,0,1,AwayTeam,24.Matchday,"Feb 24, 2018"
118,Rapid Vienna,LASK,2,0,HomeTeam,24.Matchday,"Feb 24, 2018"
119,SK Sturm Graz,Red Bull Salzburg,2,4,AwayTeam,24.Matchday,"Feb 25, 2018"
120,LASK,SK Sturm Graz,0,2,AwayTeam,25.Matchday,"Mar 3, 2018"
121,Austria Vienna,Wolfsberger AC,2,0,HomeTeam,25.Matchday,"Mar 3, 2018"
122,SV Mattersburg,FC Admira Wacker Mödling,3,2,HomeTeam,25.Matchday,"Mar 3, 2018"
123,SKN St. Pölten,SC Rheindorf Altach,1,2,AwayTeam,25.Matchday,"Mar 3, 2018"
124,Red Bull Salzburg,Rapid Vienna,1,0,HomeTeam,25.Matchday,"Mar 4, 2018"
125,SC Rheindorf Altach,Rapid Vienna,0,0,Draw,26.Matchday,"Mar 10, 2018"
126,Austria Vienna,SKN St. Pölten,4,0,HomeTeam,26.Matchday,"Mar 10, 2018"
127,FC Admira Wacker Mödling,SK Sturm Graz,2,4,AwayTeam,26.Matchday,"Mar 10, 2018"
128,Wolfsberger AC,LASK,0,3,AwayTeam,26.Matchday,"Mar 10, 2018"
129,SV Mattersburg,Red Bull Salzburg,2,2,Draw,26.Matchday,"Mar 11, 2018"
130,Rapid Vienna,Wolfsberger AC,5,1,HomeTeam,27.Matchday,"Mar 17, 2018"
131,SK Sturm Graz,SC Rheindorf Altach,1,0,HomeTeam,27.Matchday,"Mar 17, 2018"
132,SKN St. Pölten,FC Admira Wacker Mödling,1,2,AwayTeam,27.Matchday,"Mar 17, 2018"
133,LASK,SV Mattersburg,3,1,HomeTeam,27.Matchday,"Mar 17, 2018"
134,Red Bull Salzburg,Austria Vienna,5,0,HomeTeam,27.Matchday,"Mar 18, 2018"
135,FC Admira Wacker Mödling,LASK,0,1,AwayTeam,28.Matchday,"Mar 31, 2018"
136,Red Bull Salzburg,Wolfsberger AC,2,0,HomeTeam,28.Matchday,"Mar 31, 2018"
137,Austria Vienna,SC Rheindorf Altach,2,1,HomeTeam,28.Matchday,"Mar 31, 2018"
138,SKN St. Pölten,SK Sturm Graz,1,5,AwayTeam,28.Matchday,"Mar 31, 2018"
139,SV Mattersburg,Rapid Vienna,2,4,AwayTeam,28.Matchday,"Apr 1, 2018"
140,SK Sturm Graz,Austria Vienna,0,2,AwayTeam,29.Matchday,"Apr 7, 2018"
141,Wolfsberger AC,SV Mattersburg,0,2,AwayTeam,29.Matchday,"Apr 7, 2018"
142,SC Rheindorf Altach,FC Admira Wacker Mödling,1,2,AwayTeam,29.Matchday,"Apr 7, 2018"
143,Rapid Vienna,SKN St. Pölten,2,1,HomeTeam,29.Matchday,"Apr 7, 2018"
144,LASK,Red Bull Salzburg,1,0,HomeTeam,29.Matchday,"Apr 8, 2018"
145,SK Sturm Graz,SV Mattersburg,3,0,HomeTeam,30.Matchday,"Apr 14, 2018"
146,SC Rheindorf Altach,Wolfsberger AC,2,1,HomeTeam,30.Matchday,"Apr 14, 2018"
147,SKN St. Pölten,LASK,1,3,AwayTeam,30.Matchday,"Apr 14, 2018"
148,Austria Vienna,Rapid Vienna,0,4,AwayTeam,30.Matchday,"Apr 15, 2018"
149,FC Admira Wacker Mödling,Red Bull Salzburg,2,6,AwayTeam,30.Matchday,"Apr 15, 2018"
150,Wolfsberger AC,SK Sturm Graz,2,1,HomeTeam,31.Matchday,"Apr 21, 2018"
