,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,StageWinner,Date
63,Athletic Bilbao,Rapid Vienna,1,0,HomeTeam,Group F,-,"Sep 29, 2016"
64,Rapid Vienna,US Sassuolo,1,1,Draw,Group F,-,"Oct 20, 2016"
65,KRC Genk,Athletic Bilbao,2,0,HomeTeam,Group F,-,"Oct 20, 2016"
66,US Sassuolo,Rapid Vienna,2,2,Draw,Group F,-,"Nov 3, 2016"
67,Athletic Bilbao,KRC Genk,5,3,HomeTeam,Group F,-,"Nov 3, 2016"
68,Athletic Bilbao,US Sassuolo,3,2,HomeTeam,Group F,-,"Nov 24, 2016"
69,KRC Genk,Rapid Vienna,1,0,HomeTeam,Group F,-,"Nov 24, 2016"
70,Rapid Vienna,Athletic Bilbao,1,1,Draw,Group F,-,"Dec 8, 2016"
71,US Sassuolo,KRC Genk,0,2,AwayTeam,Group F,-,"Dec 9, 2016"
72,Standard Liège,Celta de Vigo,1,1,Draw,Group G,-,"Sep 15, 2016"
73,Panathinaikos Athens,Ajax Amsterdam,1,2,AwayTeam,Group G,-,"Sep 15, 2016"
74,Celta de Vigo,Panathinaikos Athens,2,0,HomeTeam,Group G,-,"Sep 29, 2016"
75,Ajax Amsterdam,Standard Liège,1,0,HomeTeam,Group G,-,"Sep 29, 2016"
76,Standard Liège,Panathinaikos Athens,2,2,Draw,Group G,-,"Oct 20, 2016"
77,Celta de Vigo,Ajax Amsterdam,2,2,Draw,Group G,-,"Oct 20, 2016"
78,Panathinaikos Athens,Standard Liège,0,3,AwayTeam,Group G,-,"Nov 3, 2016"
79,Ajax Amsterdam,Celta de Vigo,3,2,HomeTeam,Group G,-,"Nov 3, 2016"
80,Ajax Amsterdam,Panathinaikos Athens,2,0,HomeTeam,Group G,-,"Nov 24, 2016"
81,Celta de Vigo,Standard Liège,1,1,Draw,Group G,-,"Nov 24, 2016"
82,Panathinaikos Athens,Celta de Vigo,0,2,AwayTeam,Group G,-,"Dec 8, 2016"
83,Standard Liège,Ajax Amsterdam,1,1,Draw,Group G,-,"Dec 8, 2016"
84,Konyaspor,Shakhtar Donetsk,0,1,AwayTeam,Group H,-,"Sep 15, 2016"
85,SC Braga,KAA Gent,1,1,Draw,Group H,-,"Sep 15, 2016"
86,Shakhtar Donetsk,SC Braga,2,0,HomeTeam,Group H,-,"Sep 29, 2016"
87,KAA Gent,Konyaspor,2,0,HomeTeam,Group H,-,"Sep 29, 2016"
88,Konyaspor,SC Braga,1,1,Draw,Group H,-,"Oct 20, 2016"
89,Shakhtar Donetsk,KAA Gent,5,0,HomeTeam,Group H,-,"Oct 20, 2016"
90,SC Braga,Konyaspor,3,1,HomeTeam,Group H,-,"Nov 3, 2016"
91,KAA Gent,Shakhtar Donetsk,3,5,AwayTeam,Group H,-,"Nov 3, 2016"
92,KAA Gent,SC Braga,2,2,Draw,Group H,-,"Nov 24, 2016"
93,Shakhtar Donetsk,Konyaspor,4,0,HomeTeam,Group H,-,"Nov 24, 2016"
94,SC Braga,Shakhtar Donetsk,2,4,AwayTeam,Group H,-,"Dec 8, 2016"
95,Konyaspor,KAA Gent,0,1,AwayTeam,Group H,-,"Dec 8, 2016"
96,Red Bull Salzburg,FK Krasnodar,0,1,AwayTeam,Group I,-,"Sep 15, 2016"
97,OGC Nice,FC Schalke 04,0,1,AwayTeam,Group I,-,"Sep 15, 2016"
98,FK Krasnodar,OGC Nice,5,2,HomeTeam,Group I,-,"Sep 29, 2016"
99,FC Schalke 04,Red Bull Salzburg,3,1,HomeTeam,Group I,-,"Sep 29, 2016"
100,Red Bull Salzburg,OGC Nice,0,1,AwayTeam,Group I,-,"Oct 20, 2016"
101,FK Krasnodar,FC Schalke 04,0,1,AwayTeam,Group I,-,"Oct 20, 2016"
102,OGC Nice,Red Bull Salzburg,0,2,AwayTeam,Group I,-,"Nov 3, 2016"
103,FC Schalke 04,FK Krasnodar,2,0,HomeTeam,Group I,-,"Nov 3, 2016"
104,FC Schalke 04,OGC Nice,2,0,HomeTeam,Group I,-,"Nov 24, 2016"
105,FK Krasnodar,Red Bull Salzburg,1,1,Draw,Group I,-,"Nov 24, 2016"
106,OGC Nice,FK Krasnodar,2,1,HomeTeam,Group I,-,"Dec 8, 2016"
107,Red Bull Salzburg,FC Schalke 04,2,0,HomeTeam,Group I,-,"Dec 8, 2016"
108,Qarabağ Ağdam,FC Slovan Liberec,2,2,Draw,Group J,-,"Sep 15, 2016"
109,PAOK Thessaloniki,ACF Fiorentina,0,0,Draw,Group J,-,"Sep 15, 2016"
110,FC Slovan Liberec,PAOK Thessaloniki,1,2,AwayTeam,Group J,-,"Sep 29, 2016"
111,ACF Fiorentina,Qarabağ Ağdam,5,1,HomeTeam,Group J,-,"Sep 29, 2016"
112,FC Slovan Liberec,ACF Fiorentina,1,3,AwayTeam,Group J,-,"Oct 20, 2016"
113,Qarabağ Ağdam,PAOK Thessaloniki,2,0,HomeTeam,Group J,-,"Oct 20, 2016"
114,PAOK Thessaloniki,Qarabağ Ağdam,0,1,AwayTeam,Group J,-,"Nov 3, 2016"
115,ACF Fiorentina,FC Slovan Liberec,3,0,HomeTeam,Group J,-,"Nov 3, 2016"
116,ACF Fiorentina,PAOK Thessaloniki,2,3,AwayTeam,Group J,-,"Nov 24, 2016"
117,FC Slovan Liberec,Qarabağ Ağdam,3,0,HomeTeam,Group J,-,"Nov 24, 2016"
118,PAOK Thessaloniki,FC Slovan Liberec,2,0,HomeTeam,Group J,-,"Dec 8, 2016"
119,Qarabağ Ağdam,ACF Fiorentina,1,2,AwayTeam,Group J,-,"Dec 8, 2016"
120,Southampton FC,AC Sparta Praha,3,0,HomeTeam,Group K,-,"Sep 15, 2016"
121,Inter Milan,Hapoel Beer Sheva,0,2,AwayTeam,Group K,-,"Sep 15, 2016"
122,Hapoel Beer Sheva,Southampton FC,0,0,Draw,Group K,-,"Sep 29, 2016"
123,AC Sparta Praha,Inter Milan,3,1,HomeTeam,Group K,-,"Sep 29, 2016"
