,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,NK Maribor,DNŠ Zavrč,1,1,Draw,1.Matchday,"Jul 17, 2015"
1,NK Rudar Velenje,NK Krka,0,1,AwayTeam,1.Matchday,"Jul 18, 2015"
2,NK Olimpija Ljubljana,ND Gorica,4,1,HomeTeam,1.Matchday,"Jul 18, 2015"
3,NK Krsko,NK Celje,1,0,HomeTeam,1.Matchday,"Jul 19, 2015"
4,FC Koper,NK Domzale,2,3,AwayTeam,1.Matchday,"Jul 19, 2015"
5,ND Gorica,NK Rudar Velenje,2,1,HomeTeam,2.Matchday,"Jul 24, 2015"
6,DNŠ Zavrč,NK Olimpija Ljubljana,0,0,Draw,2.Matchday,"Jul 24, 2015"
7,NK Domzale,NK Maribor,0,1,AwayTeam,2.Matchday,"Jul 25, 2015"
8,NK Krsko,FC Koper,1,0,HomeTeam,2.Matchday,"Jul 26, 2015"
9,NK Celje,NK Krka,1,1,Draw,2.Matchday,"Jul 26, 2015"
10,NK Maribor,NK Krsko,4,1,HomeTeam,3.Matchday,"Aug 1, 2015"
11,NK Rudar Velenje,DNŠ Zavrč,1,3,AwayTeam,3.Matchday,"Aug 1, 2015"
12,NK Olimpija Ljubljana,NK Domzale,0,2,AwayTeam,3.Matchday,"Aug 1, 2015"
13,NK Krka,ND Gorica,1,2,AwayTeam,3.Matchday,"Aug 2, 2015"
14,FC Koper,NK Celje,1,1,Draw,3.Matchday,"Aug 2, 2015"
15,NK Celje,ND Gorica,2,3,AwayTeam,4.Matchday,"Aug 7, 2015"
16,DNŠ Zavrč,NK Krka,0,1,AwayTeam,4.Matchday,"Aug 7, 2015"
17,FC Koper,NK Maribor,2,1,HomeTeam,4.Matchday,"Aug 7, 2015"
18,NK Domzale,NK Rudar Velenje,0,2,AwayTeam,4.Matchday,"Aug 8, 2015"
19,NK Krsko,NK Olimpija Ljubljana,0,2,AwayTeam,4.Matchday,"Aug 8, 2015"
20,ND Gorica,DNŠ Zavrč,3,0,HomeTeam,5.Matchday,"Aug 11, 2015"
21,NK Olimpija Ljubljana,FC Koper,4,1,HomeTeam,5.Matchday,"Aug 12, 2015"
22,NK Rudar Velenje,NK Krsko,1,1,Draw,5.Matchday,"Aug 12, 2015"
23,NK Krka,NK Domzale,0,4,AwayTeam,5.Matchday,"Aug 12, 2015"
24,NK Maribor,NK Celje,1,0,HomeTeam,5.Matchday,"Aug 12, 2015"
25,NK Krsko,NK Krka,0,0,Draw,6.Matchday,"Aug 15, 2015"
26,FC Koper,NK Rudar Velenje,1,1,Draw,6.Matchday,"Aug 15, 2015"
27,NK Domzale,ND Gorica,2,3,AwayTeam,6.Matchday,"Aug 15, 2015"
28,NK Maribor,NK Olimpija Ljubljana,0,3,AwayTeam,6.Matchday,"Aug 16, 2015"
29,NK Celje,DNŠ Zavrč,2,1,HomeTeam,6.Matchday,"Aug 17, 2015"
30,DNŠ Zavrč,NK Domzale,0,0,Draw,7.Matchday,"Aug 21, 2015"
31,NK Rudar Velenje,NK Maribor,0,0,Draw,7.Matchday,"Aug 22, 2015"
32,ND Gorica,NK Krsko,3,1,HomeTeam,7.Matchday,"Aug 23, 2015"
33,NK Krka,FC Koper,2,4,AwayTeam,7.Matchday,"Aug 23, 2015"
34,NK Olimpija Ljubljana,NK Celje,6,0,HomeTeam,7.Matchday,"Aug 23, 2015"
35,NK Maribor,NK Krka,2,2,Draw,8.Matchday,"Aug 29, 2015"
