,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,Chernomorets Novorossijsk,CSKA Moscow,2,0,HomeTeam,1.Matchday,"Mar 10, 2001"
1,Spartak Moscow,Sokol Saratov,0,0,Draw,1.Matchday,"Mar 10, 2001"
2,Rotor Volgograd,Zenit St. Petersburg,0,0,Draw,1.Matchday,"Mar 10, 2001"
3,Rostselmash Rostov,Lokomotiv Moscow,0,0,Draw,1.Matchday,"Mar 10, 2001"
4,Torpedo-ZiL Moskau,Anzhi Makhachkala,1,1,Draw,1.Matchday,"Mar 10, 2001"
5,Saturn Ramenskoe,Spartak Vladikavkaz,1,0,HomeTeam,1.Matchday,"Mar 10, 2001"
6,Fakel Voronezh,Torpedo Moscow,2,2,Draw,1.Matchday,"Mar 10, 2001"
7,Dinamo Moscow,Krylya Sovetov Samara,0,1,AwayTeam,1.Matchday,"Mar 11, 2001"
8,Torpedo Moscow,Dinamo Moscow,1,1,Draw,2.Matchday,"Mar 17, 2001"
9,Spartak Vladikavkaz,Fakel Voronezh,0,1,AwayTeam,2.Matchday,"Mar 17, 2001"
10,Anzhi Makhachkala,Saturn Ramenskoe,1,1,Draw,2.Matchday,"Mar 17, 2001"
11,Lokomotiv Moscow,Torpedo-ZiL Moskau,1,0,HomeTeam,2.Matchday,"Mar 17, 2001"
12,Zenit St. Petersburg,Rostselmash Rostov,3,1,HomeTeam,2.Matchday,"Mar 17, 2001"
13,Sokol Saratov,Rotor Volgograd,1,0,HomeTeam,2.Matchday,"Mar 17, 2001"
14,CSKA Moscow,Krylya Sovetov Samara,0,3,AwayTeam,2.Matchday,"Mar 17, 2001"
15,Chernomorets Novorossijsk,Spartak Moscow,1,2,AwayTeam,2.Matchday,"Mar 18, 2001"
16,Spartak Moscow,CSKA Moscow,1,0,HomeTeam,3.Matchday,"Mar 31, 2001"
17,Rotor Volgograd,Chernomorets Novorossijsk,3,0,HomeTeam,3.Matchday,"Mar 31, 2001"
18,Rostselmash Rostov,Sokol Saratov,1,2,AwayTeam,3.Matchday,"Mar 31, 2001"
19,Saturn Ramenskoe,Lokomotiv Moscow,0,0,Draw,3.Matchday,"Mar 31, 2001"
20,Fakel Voronezh,Anzhi Makhachkala,0,1,AwayTeam,3.Matchday,"Mar 31, 2001"
21,Dinamo Moscow,Spartak Vladikavkaz,2,0,HomeTeam,3.Matchday,"Mar 31, 2001"
22,Krylya Sovetov Samara,Torpedo Moscow,3,0,HomeTeam,3.Matchday,"Mar 31, 2001"
23,Torpedo-ZiL Moskau,Zenit St. Petersburg,0,2,AwayTeam,3.Matchday,"Apr 1, 2001"
24,CSKA Moscow,Torpedo Moscow,0,1,AwayTeam,4.Matchday,"Apr 6, 2001"
25,Chernomorets Novorossijsk,Rostselmash Rostov,1,1,Draw,4.Matchday,"Apr 7, 2001"
26,Spartak Moscow,Rotor Volgograd,1,0,HomeTeam,4.Matchday,"Apr 7, 2001"
27,Spartak Vladikavkaz,Krylya Sovetov Samara,0,1,AwayTeam,4.Matchday,"Apr 7, 2001"
28,Anzhi Makhachkala,Dinamo Moscow,1,0,HomeTeam,4.Matchday,"Apr 7, 2001"
29,Lokomotiv Moscow,Fakel Voronezh,1,0,HomeTeam,4.Matchday,"Apr 7, 2001"
30,Zenit St. Petersburg,Saturn Ramenskoe,2,1,HomeTeam,4.Matchday,"Apr 7, 2001"
31,Sokol Saratov,Torpedo-ZiL Moskau,1,0,HomeTeam,4.Matchday,"Apr 7, 2001"
32,Torpedo-ZiL Moskau,Chernomorets Novorossijsk,2,0,HomeTeam,5.Matchday,"Apr 13, 2001"
33,Rotor Volgograd,CSKA Moscow,1,1,Draw,5.Matchday,"Apr 14, 2001"
34,Rostselmash Rostov,Spartak Moscow,0,1,AwayTeam,5.Matchday,"Apr 14, 2001"
35,Saturn Ramenskoe,Sokol Saratov,1,2,AwayTeam,5.Matchday,"Apr 14, 2001"
36,Fakel Voronezh,Zenit St. Petersburg,1,2,AwayTeam,5.Matchday,"Apr 14, 2001"
37,Dinamo Moscow,Lokomotiv Moscow,1,2,AwayTeam,5.Matchday,"Apr 14, 2001"
38,Krylya Sovetov Samara,Anzhi Makhachkala,0,0,Draw,5.Matchday,"Apr 14, 2001"
39,Torpedo Moscow,Spartak Vladikavkaz,0,1,AwayTeam,5.Matchday,"Apr 14, 2001"
40,Chernomorets Novorossijsk,Saturn Ramenskoe,0,3,AwayTeam,6.Matchday,"Apr 18, 2001"
41,Spartak Moscow,Torpedo-ZiL Moskau,1,1,Draw,6.Matchday,"Apr 18, 2001"
42,Rotor Volgograd,Rostselmash Rostov,1,0,HomeTeam,6.Matchday,"Apr 18, 2001"
43,Anzhi Makhachkala,Torpedo Moscow,0,1,AwayTeam,6.Matchday,"Apr 18, 2001"
44,Lokomotiv Moscow,Krylya Sovetov Samara,1,2,AwayTeam,6.Matchday,"Apr 18, 2001"
45,Zenit St. Petersburg,Dinamo Moscow,2,1,HomeTeam,6.Matchday,"Apr 18, 2001"
46,Sokol Saratov,Fakel Voronezh,2,1,HomeTeam,6.Matchday,"Apr 18, 2001"
47,CSKA Moscow,Spartak Vladikavkaz,3,0,HomeTeam,6.Matchday,"Apr 18, 2001"
48,Rostselmash Rostov,CSKA Moscow,0,1,AwayTeam,7.Matchday,"Apr 28, 2001"
49,Saturn Ramenskoe,Spartak Moscow,3,0,HomeTeam,7.Matchday,"Apr 28, 2001"
50,Fakel Voronezh,Chernomorets Novorossijsk,0,1,AwayTeam,7.Matchday,"Apr 28, 2001"
