,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
56,Spicul Chiscareni,Dinamo-Auto Tiraspol,1,1,Draw,12.Matchday,"Sep 30, 2017"
57,Dacia Chisinau,FC Milsami Orhei,1,1,Draw,12.Matchday,"Sep 30, 2017"
58,Zaria Balti,CSF Speranta Nisporeni,3,0,HomeTeam,12.Matchday,"Sep 30, 2017"
59,FC Zimbru Chisinau,Sheriff Tiraspol,1,2,AwayTeam,12.Matchday,"Oct 1, 2017"
60,Zaria Balti,Spicul Chiscareni,3,0,HomeTeam,13.Matchday,"Oct 14, 2017"
61,CSF Speranta Nisporeni,Dacia Chisinau,0,0,Draw,13.Matchday,"Oct 14, 2017"
62,FC Milsami Orhei,FC Zimbru Chisinau,1,0,HomeTeam,13.Matchday,"Oct 14, 2017"
63,FC Sfintul Gheorghe,Dinamo-Auto Tiraspol,1,0,HomeTeam,13.Matchday,"Oct 15, 2017"
64,Sheriff Tiraspol,FC Petrocub Hîncești,3,1,HomeTeam,13.Matchday,"Oct 15, 2017"
65,Spicul Chiscareni,FC Sfintul Gheorghe,1,1,Draw,14.Matchday,"Oct 20, 2017"
66,Dacia Chisinau,Zaria Balti,1,1,Draw,14.Matchday,"Oct 20, 2017"
67,FC Zimbru Chisinau,CSF Speranta Nisporeni,2,1,HomeTeam,14.Matchday,"Oct 20, 2017"
68,FC Petrocub Hîncești,FC Milsami Orhei,1,0,HomeTeam,14.Matchday,"Oct 21, 2017"
69,Dinamo-Auto Tiraspol,Sheriff Tiraspol,0,4,AwayTeam,14.Matchday,"Oct 22, 2017"
70,Dacia Chisinau,Spicul Chiscareni,2,2,Draw,15.Matchday,"Oct 28, 2017"
71,Zaria Balti,FC Zimbru Chisinau,3,0,HomeTeam,15.Matchday,"Oct 28, 2017"
72,Sheriff Tiraspol,FC Sfintul Gheorghe,1,1,Draw,15.Matchday,"Oct 28, 2017"
73,CSF Speranta Nisporeni,FC Petrocub Hîncești,0,0,Draw,15.Matchday,"Oct 29, 2017"
74,FC Milsami Orhei,Dinamo-Auto Tiraspol,2,1,HomeTeam,15.Matchday,"Oct 29, 2017"
75,FC Sfintul Gheorghe,FC Milsami Orhei,0,3,AwayTeam,16.Matchday,"Nov 3, 2017"
76,FC Zimbru Chisinau,Dacia Chisinau,2,0,HomeTeam,16.Matchday,"Nov 3, 2017"
77,Dinamo-Auto Tiraspol,CSF Speranta Nisporeni,0,3,AwayTeam,16.Matchday,"Nov 4, 2017"
78,FC Petrocub Hîncești,Zaria Balti,1,1,Draw,16.Matchday,"Nov 4, 2017"
79,Spicul Chiscareni,Sheriff Tiraspol,0,4,AwayTeam,16.Matchday,"Nov 6, 2017"
80,FC Zimbru Chisinau,Spicul Chiscareni,1,1,Draw,17.Matchday,"Nov 18, 2017"
81,Dacia Chisinau,FC Petrocub Hîncești,0,2,AwayTeam,17.Matchday,"Nov 18, 2017"
82,Zaria Balti,Dinamo-Auto Tiraspol,6,0,HomeTeam,17.Matchday,"Nov 18, 2017"
83,CSF Speranta Nisporeni,FC Sfintul Gheorghe,0,0,Draw,17.Matchday,"Nov 18, 2017"
84,FC Milsami Orhei,Sheriff Tiraspol,0,2,AwayTeam,17.Matchday,"Nov 18, 2017"
85,Sheriff Tiraspol,CSF Speranta Nisporeni,0,1,AwayTeam,18.Matchday,"Nov 26, 2017"
86,Spicul Chiscareni,FC Milsami Orhei,0,2,AwayTeam,18.Matchday,"Nov 26, 2017"
87,Dinamo-Auto Tiraspol,Dacia Chisinau,3,2,HomeTeam,18.Matchday,"Nov 26, 2017"
88,FC Sfintul Gheorghe,Zaria Balti,2,1,HomeTeam,18.Matchday,"Nov 26, 2017"
89,FC Petrocub Hîncești,FC Zimbru Chisinau,4,1,HomeTeam,18.Matchday,"Nov 26, 2017"
