,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,FC Koper,NK Primorje Ajdovscina,1,1,Draw,1.Matchday,"Jul 23, 2005"
1,ND Gorica,NK Bela Krajina,4,0,HomeTeam,1.Matchday,"Jul 23, 2005"
2,NK Domzale,NK Nafta 1903,2,0,HomeTeam,1.Matchday,"Jul 23, 2005"
3,NK Drava Dakinda Ptuj,NK Rudar Velenje,1,0,HomeTeam,1.Matchday,"Jul 23, 2005"
4,NK Celje,NK Maribor,0,0,Draw,1.Matchday,"Jul 23, 2005"
5,ND Gorica,NK Drava Dakinda Ptuj,2,0,HomeTeam,2.Matchday,"Jul 30, 2005"
6,NK Maribor,FC Koper,1,2,AwayTeam,2.Matchday,"Jul 30, 2005"
7,NK Rudar Velenje,NK Domzale,0,8,AwayTeam,2.Matchday,"Jul 30, 2005"
8,NK Nafta 1903,NK Celje,2,1,HomeTeam,2.Matchday,"Jul 30, 2005"
9,NK Bela Krajina,NK Primorje Ajdovscina,1,0,HomeTeam,2.Matchday,"Jul 30, 2005"
10,FC Koper,NK Nafta 1903,0,2,AwayTeam,3.Matchday,"Aug 6, 2005"
11,NK Primorje Ajdovscina,NK Maribor,2,1,HomeTeam,3.Matchday,"Aug 6, 2005"
12,NK Domzale,ND Gorica,1,1,Draw,3.Matchday,"Aug 6, 2005"
13,NK Drava Dakinda Ptuj,NK Bela Krajina,3,0,HomeTeam,3.Matchday,"Aug 6, 2005"
14,NK Celje,NK Rudar Velenje,2,1,HomeTeam,3.Matchday,"Aug 6, 2005"
15,ND Gorica,NK Celje,2,1,HomeTeam,4.Matchday,"Aug 14, 2005"
16,NK Rudar Velenje,FC Koper,2,1,HomeTeam,4.Matchday,"Aug 14, 2005"
17,NK Drava Dakinda Ptuj,NK Domzale,1,1,Draw,4.Matchday,"Aug 14, 2005"
18,NK Nafta 1903,NK Primorje Ajdovscina,1,0,HomeTeam,4.Matchday,"Aug 14, 2005"
19,NK Bela Krajina,NK Maribor,2,2,Draw,4.Matchday,"Aug 14, 2005"
20,FC Koper,ND Gorica,2,0,HomeTeam,5.Matchday,"Aug 20, 2005"
21,NK Primorje Ajdovscina,NK Rudar Velenje,6,1,HomeTeam,5.Matchday,"Aug 20, 2005"
22,NK Maribor,NK Nafta 1903,1,0,HomeTeam,5.Matchday,"Aug 20, 2005"
23,NK Domzale,NK Bela Krajina,4,0,HomeTeam,5.Matchday,"Aug 20, 2005"
24,NK Celje,NK Drava Dakinda Ptuj,2,0,HomeTeam,5.Matchday,"Aug 20, 2005"
25,ND Gorica,NK Primorje Ajdovscina,2,0,HomeTeam,6.Matchday,"Aug 27, 2005"
26,NK Rudar Velenje,NK Maribor,0,1,AwayTeam,6.Matchday,"Aug 27, 2005"
27,NK Domzale,NK Celje,5,0,HomeTeam,6.Matchday,"Aug 27, 2005"
28,NK Drava Dakinda Ptuj,FC Koper,1,0,HomeTeam,6.Matchday,"Aug 27, 2005"
29,NK Bela Krajina,NK Nafta 1903,1,4,AwayTeam,6.Matchday,"Aug 27, 2005"
30,FC Koper,NK Domzale,2,2,Draw,7.Matchday,"Sep 10, 2005"
31,NK Primorje Ajdovscina,NK Drava Dakinda Ptuj,6,2,HomeTeam,7.Matchday,"Sep 10, 2005"
32,NK Maribor,ND Gorica,2,1,HomeTeam,7.Matchday,"Sep 10, 2005"
33,NK Celje,NK Bela Krajina,0,3,AwayTeam,7.Matchday,"Sep 10, 2005"
34,NK Nafta 1903,NK Rudar Velenje,5,0,HomeTeam,7.Matchday,"Sep 10, 2005"
35,ND Gorica,NK Nafta 1903,2,0,HomeTeam,8.Matchday,"Sep 17, 2005"
36,NK Domzale,NK Primorje Ajdovscina,3,0,HomeTeam,8.Matchday,"Sep 17, 2005"
37,NK Drava Dakinda Ptuj,NK Maribor,0,3,AwayTeam,8.Matchday,"Sep 17, 2005"
38,NK Celje,FC Koper,3,3,Draw,8.Matchday,"Sep 17, 2005"
39,NK Bela Krajina,NK Rudar Velenje,1,0,HomeTeam,8.Matchday,"Sep 17, 2005"
40,FC Koper,NK Bela Krajina,2,1,HomeTeam,9.Matchday,"Sep 21, 2005"
41,NK Primorje Ajdovscina,NK Celje,1,0,HomeTeam,9.Matchday,"Sep 21, 2005"
42,NK Maribor,NK Domzale,0,0,Draw,9.Matchday,"Sep 21, 2005"
43,NK Rudar Velenje,ND Gorica,1,2,AwayTeam,9.Matchday,"Sep 21, 2005"
44,NK Nafta 1903,NK Drava Dakinda Ptuj,1,0,HomeTeam,9.Matchday,"Sep 21, 2005"
45,NK Primorje Ajdovscina,FC Koper,2,0,HomeTeam,10.Matchday,"Sep 25, 2005"
46,NK Maribor,NK Celje,0,2,AwayTeam,10.Matchday,"Sep 25, 2005"
47,NK Rudar Velenje,NK Drava Dakinda Ptuj,0,0,Draw,10.Matchday,"Sep 25, 2005"
48,NK Nafta 1903,NK Domzale,0,1,AwayTeam,10.Matchday,"Sep 25, 2005"
49,NK Bela Krajina,ND Gorica,1,1,Draw,10.Matchday,"Sep 25, 2005"
50,FC Koper,NK Maribor,2,3,AwayTeam,11.Matchday,"Oct 2, 2005"
51,NK Primorje Ajdovscina,NK Bela Krajina,2,1,HomeTeam,11.Matchday,"Oct 2, 2005"
52,NK Domzale,NK Rudar Velenje,4,1,HomeTeam,11.Matchday,"Oct 2, 2005"
53,NK Drava Dakinda Ptuj,ND Gorica,1,3,AwayTeam,11.Matchday,"Oct 2, 2005"
54,NK Celje,NK Nafta 1903,1,3,AwayTeam,11.Matchday,"Oct 2, 2005"
55,ND Gorica,NK Domzale,1,1,Draw,12.Matchday,"Oct 15, 2005"
56,NK Maribor,NK Primorje Ajdovscina,2,0,HomeTeam,12.Matchday,"Oct 15, 2005"
57,NK Rudar Velenje,NK Celje,0,1,AwayTeam,12.Matchday,"Oct 15, 2005"
58,NK Nafta 1903,FC Koper,1,0,HomeTeam,12.Matchday,"Oct 15, 2005"
59,NK Bela Krajina,NK Drava Dakinda Ptuj,1,1,Draw,12.Matchday,"Oct 15, 2005"
60,FC Koper,NK Rudar Velenje,2,1,HomeTeam,13.Matchday,"Oct 22, 2005"
61,NK Primorje Ajdovscina,NK Nafta 1903,2,0,HomeTeam,13.Matchday,"Oct 22, 2005"
62,NK Maribor,NK Bela Krajina,1,1,Draw,13.Matchday,"Oct 22, 2005"
63,NK Domzale,NK Drava Dakinda Ptuj,1,0,HomeTeam,13.Matchday,"Oct 22, 2005"
64,NK Celje,ND Gorica,2,1,HomeTeam,13.Matchday,"Oct 22, 2005"
65,ND Gorica,FC Koper,3,0,HomeTeam,14.Matchday,"Oct 26, 2005"
66,NK Rudar Velenje,NK Primorje Ajdovscina,0,4,AwayTeam,14.Matchday,"Oct 26, 2005"
67,NK Drava Dakinda Ptuj,NK Celje,1,0,HomeTeam,14.Matchday,"Oct 26, 2005"
68,NK Nafta 1903,NK Maribor,0,4,AwayTeam,14.Matchday,"Oct 26, 2005"
69,NK Bela Krajina,NK Domzale,1,1,Draw,14.Matchday,"Oct 26, 2005"
70,FC Koper,NK Drava Dakinda Ptuj,0,1,AwayTeam,15.Matchday,"Oct 29, 2005"
71,NK Primorje Ajdovscina,ND Gorica,2,2,Draw,15.Matchday,"Oct 29, 2005"
72,NK Maribor,NK Rudar Velenje,1,1,Draw,15.Matchday,"Oct 29, 2005"
73,NK Celje,NK Domzale,3,2,HomeTeam,15.Matchday,"Oct 29, 2005"
74,NK Nafta 1903,NK Bela Krajina,1,1,Draw,15.Matchday,"Oct 29, 2005"
75,ND Gorica,NK Maribor,4,1,HomeTeam,16.Matchday,"Nov 6, 2005"
76,NK Rudar Velenje,NK Nafta 1903,1,3,AwayTeam,16.Matchday,"Nov 6, 2005"
77,NK Domzale,FC Koper,4,1,HomeTeam,16.Matchday,"Nov 6, 2005"
78,NK Drava Dakinda Ptuj,NK Primorje Ajdovscina,4,1,HomeTeam,16.Matchday,"Nov 6, 2005"
79,NK Bela Krajina,NK Celje,1,0,HomeTeam,16.Matchday,"Nov 6, 2005"
80,FC Koper,NK Celje,2,0,HomeTeam,17.Matchday,"Mar 11, 2006"
81,NK Primorje Ajdovscina,NK Domzale,2,2,Draw,17.Matchday,"Mar 11, 2006"
82,NK Maribor,NK Drava Dakinda Ptuj,2,1,HomeTeam,17.Matchday,"Mar 11, 2006"
83,NK Rudar Velenje,NK Bela Krajina,0,0,Draw,17.Matchday,"Mar 11, 2006"
84,NK Nafta 1903,ND Gorica,2,4,AwayTeam,17.Matchday,"Mar 11, 2006"
85,ND Gorica,NK Rudar Velenje,0,0,Draw,18.Matchday,"Nov 19, 2005"
86,NK Domzale,NK Maribor,2,1,HomeTeam,18.Matchday,"Nov 19, 2005"
87,NK Drava Dakinda Ptuj,NK Nafta 1903,3,2,HomeTeam,18.Matchday,"Nov 19, 2005"
88,NK Celje,NK Primorje Ajdovscina,2,0,HomeTeam,18.Matchday,"Nov 19, 2005"
89,NK Bela Krajina,FC Koper,1,3,AwayTeam,18.Matchday,"Nov 19, 2005"
90,FC Koper,NK Primorje Ajdovscina,1,0,HomeTeam,19.Matchday,"Nov 26, 2005"
91,ND Gorica,NK Bela Krajina,5,0,HomeTeam,19.Matchday,"Nov 26, 2005"
92,NK Domzale,NK Nafta 1903,3,1,HomeTeam,19.Matchday,"Nov 26, 2005"
93,NK Drava Dakinda Ptuj,NK Rudar Velenje,2,1,HomeTeam,19.Matchday,"Nov 26, 2005"
