,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,StageWinner,Date
0,Viking Stavanger,AS Monaco,1,0,HomeTeam,Group A,-,"Oct 20, 2005"
1,CSKA Sofia,Hamburger SV,0,1,AwayTeam,Group A,-,"Oct 20, 2005"
2,Hamburger SV,Viking Stavanger,2,0,HomeTeam,Group A,-,"Nov 3, 2005"
3,SK Slavia Prague,CSKA Sofia,4,2,HomeTeam,Group A,-,"Nov 3, 2005"
4,Viking Stavanger,SK Slavia Prague,2,2,Draw,Group A,-,"Nov 24, 2005"
5,AS Monaco,Hamburger SV,2,0,HomeTeam,Group A,-,"Nov 24, 2005"
6,CSKA Sofia,Viking Stavanger,2,0,HomeTeam,Group A,-,"Nov 30, 2005"
7,SK Slavia Prague,AS Monaco,0,2,AwayTeam,Group A,-,"Nov 30, 2005"
8,Hamburger SV,SK Slavia Prague,2,0,HomeTeam,Group A,-,"Dec 15, 2005"
9,AS Monaco,CSKA Sofia,2,1,HomeTeam,Group A,-,"Dec 15, 2005"
10,Lokomotiv Moscow,RCD Espanyol Barcelona,0,1,AwayTeam,Group B,-,"Oct 19, 2005"
11,Maccabi Petah Tikva,US Palermo,1,2,AwayTeam,Group B,-,"Oct 20, 2005"
12,Bröndby IF,Maccabi Petah Tikva,2,0,HomeTeam,Group B,-,"Nov 3, 2005"
13,US Palermo,Lokomotiv Moscow,0,0,Draw,Group B,-,"Nov 3, 2005"
14,Lokomotiv Moscow,Bröndby IF,4,2,HomeTeam,Group B,-,"Nov 23, 2005"
15,RCD Espanyol Barcelona,US Palermo,1,1,Draw,Group B,-,"Nov 24, 2005"
16,Maccabi Petah Tikva,Lokomotiv Moscow,0,4,AwayTeam,Group B,-,"Nov 30, 2005"
17,Bröndby IF,RCD Espanyol Barcelona,1,1,Draw,Group B,-,"Nov 30, 2005"
18,US Palermo,Bröndby IF,3,0,HomeTeam,Group B,-,"Dec 15, 2005"
19,RCD Espanyol Barcelona,Maccabi Petah Tikva,1,0,HomeTeam,Group B,-,"Dec 15, 2005"
20,Halmstads BK,Hertha BSC,0,1,AwayTeam,Group C,-,"Oct 20, 2005"
21,Steaua Bukarest,RC Lens,4,0,HomeTeam,Group C,-,"Oct 20, 2005"
22,RC Lens,Halmstads BK,5,0,HomeTeam,Group C,-,"Nov 3, 2005"
23,UC Sampdoria,Steaua Bukarest,0,0,Draw,Group C,-,"Nov 3, 2005"
24,Halmstads BK,UC Sampdoria,1,3,AwayTeam,Group C,-,"Nov 24, 2005"
25,Hertha BSC,RC Lens,0,0,Draw,Group C,-,"Nov 24, 2005"
26,Steaua Bukarest,Halmstads BK,3,0,HomeTeam,Group C,-,"Nov 30, 2005"
27,UC Sampdoria,Hertha BSC,0,0,Draw,Group C,-,"Nov 30, 2005"
28,RC Lens,UC Sampdoria,2,1,HomeTeam,Group C,-,"Dec 15, 2005"
29,Hertha BSC,Steaua Bukarest,0,0,Draw,Group C,-,"Dec 15, 2005"
30,Dnipro Dnipropetrovsk,AZ Alkmaar,1,2,AwayTeam,Group D,-,"Oct 20, 2005"
31,Grasshopper Club Zurich,Middlesbrough FC,0,1,AwayTeam,Group D,-,"Oct 20, 2005"
32,FC Litex Lovetch,Grasshopper Club Zurich,2,1,HomeTeam,Group D,-,"Nov 3, 2005"
33,Middlesbrough FC,Dnipro Dnipropetrovsk,3,0,HomeTeam,Group D,-,"Nov 3, 2005"
34,AZ Alkmaar,Middlesbrough FC,0,0,Draw,Group D,-,"Nov 24, 2005"
35,Dnipro Dnipropetrovsk,FC Litex Lovetch,0,2,AwayTeam,Group D,-,"Nov 24, 2005"
36,FC Litex Lovetch,AZ Alkmaar,0,2,AwayTeam,Group D,-,"Nov 30, 2005"
37,Grasshopper Club Zurich,Dnipro Dnipropetrovsk,2,3,AwayTeam,Group D,-,"Nov 30, 2005"
38,AZ Alkmaar,Grasshopper Club Zurich,1,0,HomeTeam,Group D,-,"Dec 15, 2005"
39,Middlesbrough FC,FC Litex Lovetch,2,0,HomeTeam,Group D,-,"Dec 15, 2005"
40,FC Basel 1893,RC Strasbourg Alsace,0,2,AwayTeam,Group E,-,"Oct 20, 2005"
41,Tromsø IL,AS Roma,1,2,AwayTeam,Group E,-,"Oct 20, 2005"
42,Red Star Belgrade,FC Basel 1893,1,2,AwayTeam,Group E,-,"Nov 3, 2005"
43,RC Strasbourg Alsace,Tromsø IL,2,0,HomeTeam,Group E,-,"Nov 3, 2005"
44,Tromsø IL,Red Star Belgrade,3,1,HomeTeam,Group E,-,"Nov 24, 2005"
45,AS Roma,RC Strasbourg Alsace,1,1,Draw,Group E,-,"Nov 24, 2005"
46,FC Basel 1893,Tromsø IL,4,3,HomeTeam,Group E,-,"Dec 1, 2005"
47,Red Star Belgrade,AS Roma,3,1,HomeTeam,Group E,-,"Dec 1, 2005"
48,RC Strasbourg Alsace,Red Star Belgrade,2,2,Draw,Group E,-,"Dec 14, 2005"
49,AS Roma,FC Basel 1893,3,1,HomeTeam,Group E,-,"Dec 14, 2005"
50,CSKA Moscow,Olympique Marseille,1,2,AwayTeam,Group F,-,"Oct 20, 2005"
51,Dinamo Bukarest,SC Heerenveen,0,0,Draw,Group F,-,"Oct 20, 2005"
52,Levski Sofia,Dinamo Bukarest,1,0,HomeTeam,Group F,-,"Nov 3, 2005"
53,SC Heerenveen,CSKA Moscow,0,0,Draw,Group F,-,"Nov 3, 2005"
54,CSKA Moscow,Levski Sofia,2,1,HomeTeam,Group F,-,"Nov 24, 2005"
55,Olympique Marseille,SC Heerenveen,1,0,HomeTeam,Group F,-,"Nov 24, 2005"
56,Dinamo Bukarest,CSKA Moscow,1,0,HomeTeam,Group F,-,"Dec 1, 2005"
57,Levski Sofia,Olympique Marseille,1,0,HomeTeam,Group F,-,"Dec 1, 2005"
58,SC Heerenveen,Levski Sofia,2,1,HomeTeam,Group F,-,"Dec 14, 2005"
59,Olympique Marseille,Dinamo Bukarest,2,1,HomeTeam,Group F,-,"Dec 14, 2005"
60,Shakhtar Donetsk,PAOK Thessaloniki,1,0,HomeTeam,Group G,-,"Oct 20, 2005"
61,Stade Rennais FC,VfB Stuttgart,0,2,AwayTeam,Group G,-,"Oct 20, 2005"
62,FC Rapid 1923,Stade Rennais FC,2,0,HomeTeam,Group G,-,"Nov 3, 2005"
63,VfB Stuttgart,Shakhtar Donetsk,0,2,AwayTeam,Group G,-,"Nov 3, 2005"
64,PAOK Thessaloniki,VfB Stuttgart,1,2,AwayTeam,Group G,-,"Nov 24, 2005"
65,Shakhtar Donetsk,FC Rapid 1923,0,1,AwayTeam,Group G,-,"Nov 24, 2005"
66,Stade Rennais FC,Shakhtar Donetsk,0,1,AwayTeam,Group G,-,"Dec 1, 2005"
67,FC Rapid 1923,PAOK Thessaloniki,1,0,HomeTeam,Group G,-,"Dec 1, 2005"
68,PAOK Thessaloniki,Stade Rennais FC,5,1,HomeTeam,Group G,-,"Dec 14, 2005"
69,VfB Stuttgart,FC Rapid 1923,2,1,HomeTeam,Group G,-,"Dec 14, 2005"
70,Zenit St. Petersburg,Vitória Guimarães SC,2,1,HomeTeam,Group H,-,"Oct 20, 2005"
71,Besiktas JK,Bolton Wanderers,1,1,Draw,Group H,-,"Oct 20, 2005"
72,Bolton Wanderers,Zenit St. Petersburg,1,0,HomeTeam,Group H,-,"Nov 3, 2005"
