,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,SC Beira-Mar,Boavista Porto FC,2,4,AwayTeam,1.Matchday,"Aug 18, 2000"
1,SC Braga,Vitória Guimarães SC,1,0,HomeTeam,1.Matchday,"Aug 19, 2000"
2,FC Porto,SL Benfica,2,0,HomeTeam,1.Matchday,"Aug 19, 2000"
3,FC Alverca,CS Marítimo,0,0,Draw,1.Matchday,"Aug 20, 2000"
4,Desportivo Aves,Belenenses SAD,0,1,AwayTeam,1.Matchday,"Aug 20, 2000"
5,Gil Vicente FC,SC Campomaiorense,1,1,Draw,1.Matchday,"Aug 20, 2000"
6,SC Salgueiros,FC Paços de Ferreira,1,0,HomeTeam,1.Matchday,"Aug 20, 2000"
7,Sporting CP,SC Farense,1,0,HomeTeam,1.Matchday,"Aug 20, 2000"
8,União de Leiria,CD Estrela,2,0,HomeTeam,1.Matchday,"Aug 20, 2000"
9,CD Estrela,SC Braga,0,1,AwayTeam,2.Matchday,"Aug 25, 2000"
10,Vitória Guimarães SC,Sporting CP,1,4,AwayTeam,2.Matchday,"Aug 26, 2000"
11,SC Campomaiorense,SC Salgueiros,2,3,AwayTeam,2.Matchday,"Aug 26, 2000"
12,Belenenses SAD,FC Porto,2,0,HomeTeam,2.Matchday,"Aug 27, 2000"
13,SL Benfica,SC Beira-Mar,4,1,HomeTeam,2.Matchday,"Aug 27, 2000"
14,SC Farense,FC Alverca,2,0,HomeTeam,2.Matchday,"Aug 27, 2000"
15,FC Paços de Ferreira,Desportivo Aves,2,0,HomeTeam,2.Matchday,"Aug 27, 2000"
16,Boavista Porto FC,União de Leiria,4,0,HomeTeam,2.Matchday,"Aug 28, 2000"
17,CS Marítimo,Gil Vicente FC,1,0,HomeTeam,2.Matchday,"Sep 2, 2000"
18,SC Braga,Sporting CP,3,2,HomeTeam,3.Matchday,"Sep 8, 2000"
19,FC Porto,FC Paços de Ferreira,2,1,HomeTeam,3.Matchday,"Sep 9, 2000"
20,União de Leiria,SL Benfica,1,1,Draw,3.Matchday,"Sep 9, 2000"
21,Desportivo Aves,SC Campomaiorense,2,2,Draw,3.Matchday,"Sep 10, 2000"
22,SC Beira-Mar,Belenenses SAD,2,2,Draw,3.Matchday,"Sep 10, 2000"
23,CD Estrela,Boavista Porto FC,0,0,Draw,3.Matchday,"Sep 10, 2000"
24,Gil Vicente FC,SC Farense,0,0,Draw,3.Matchday,"Sep 10, 2000"
25,SC Salgueiros,CS Marítimo,1,0,HomeTeam,3.Matchday,"Sep 10, 2000"
26,FC Alverca,Vitória Guimarães SC,1,3,AwayTeam,3.Matchday,"Sep 11, 2000"
