,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,StageWinner,Date
0,SL Benfica,CSKA Moscow,1,2,AwayTeam,Group A,-,"Sep 12, 2017"
1,Manchester United,FC Basel 1893,3,0,HomeTeam,Group A,-,"Sep 12, 2017"
2,CSKA Moscow,Manchester United,1,4,AwayTeam,Group A,-,"Sep 27, 2017"
3,FC Basel 1893,SL Benfica,5,0,HomeTeam,Group A,-,"Sep 27, 2017"
4,SL Benfica,Manchester United,0,1,AwayTeam,Group A,-,"Oct 18, 2017"
5,CSKA Moscow,FC Basel 1893,0,2,AwayTeam,Group A,-,"Oct 18, 2017"
6,Manchester United,SL Benfica,2,0,HomeTeam,Group A,-,"Oct 31, 2017"
7,FC Basel 1893,CSKA Moscow,1,2,AwayTeam,Group A,-,"Oct 31, 2017"
8,CSKA Moscow,SL Benfica,2,0,HomeTeam,Group A,-,"Nov 22, 2017"
9,FC Basel 1893,Manchester United,1,0,HomeTeam,Group A,-,"Nov 22, 2017"
10,Manchester United,CSKA Moscow,2,1,HomeTeam,Group A,-,"Dec 5, 2017"
11,SL Benfica,FC Basel 1893,0,2,AwayTeam,Group A,-,"Dec 5, 2017"
12,Bayern Munich,RSC Anderlecht,3,0,HomeTeam,Group B,-,"Sep 12, 2017"
13,Celtic FC,Paris Saint-Germain,0,5,AwayTeam,Group B,-,"Sep 12, 2017"
14,RSC Anderlecht,Celtic FC,0,3,AwayTeam,Group B,-,"Sep 27, 2017"
15,Paris Saint-Germain,Bayern Munich,3,0,HomeTeam,Group B,-,"Sep 27, 2017"
16,Bayern Munich,Celtic FC,3,0,HomeTeam,Group B,-,"Oct 18, 2017"
17,RSC Anderlecht,Paris Saint-Germain,0,4,AwayTeam,Group B,-,"Oct 18, 2017"
18,Celtic FC,Bayern Munich,1,2,AwayTeam,Group B,-,"Oct 31, 2017"
19,Paris Saint-Germain,RSC Anderlecht,5,0,HomeTeam,Group B,-,"Oct 31, 2017"
20,Paris Saint-Germain,Celtic FC,7,1,HomeTeam,Group B,-,"Nov 22, 2017"
21,RSC Anderlecht,Bayern Munich,1,2,AwayTeam,Group B,-,"Nov 22, 2017"
22,Celtic FC,RSC Anderlecht,0,1,AwayTeam,Group B,-,"Dec 5, 2017"
23,Bayern Munich,Paris Saint-Germain,3,1,HomeTeam,Group B,-,"Dec 5, 2017"
24,Chelsea FC,Qarabağ Ağdam,6,0,HomeTeam,Group C,-,"Sep 12, 2017"
25,AS Roma,Atlético Madrid,0,0,Draw,Group C,-,"Sep 12, 2017"
26,Qarabağ Ağdam,AS Roma,1,2,AwayTeam,Group C,-,"Sep 27, 2017"
27,Atlético Madrid,Chelsea FC,1,2,AwayTeam,Group C,-,"Sep 27, 2017"
28,Qarabağ Ağdam,Atlético Madrid,0,0,Draw,Group C,-,"Oct 18, 2017"
29,Chelsea FC,AS Roma,3,3,Draw,Group C,-,"Oct 18, 2017"
30,AS Roma,Chelsea FC,3,0,HomeTeam,Group C,-,"Oct 31, 2017"
31,Atlético Madrid,Qarabağ Ağdam,1,1,Draw,Group C,-,"Oct 31, 2017"
32,Qarabağ Ağdam,Chelsea FC,0,4,AwayTeam,Group C,-,"Nov 22, 2017"
33,Atlético Madrid,AS Roma,2,0,HomeTeam,Group C,-,"Nov 22, 2017"
34,AS Roma,Qarabağ Ağdam,1,0,HomeTeam,Group C,-,"Dec 5, 2017"
35,Chelsea FC,Atlético Madrid,1,1,Draw,Group C,-,"Dec 5, 2017"
36,Olympiacos Piraeus,Sporting CP,2,3,AwayTeam,Group D,-,"Sep 12, 2017"
37,FC Barcelona,Juventus FC,3,0,HomeTeam,Group D,-,"Sep 12, 2017"
38,Juventus FC,Olympiacos Piraeus,2,0,HomeTeam,Group D,-,"Sep 27, 2017"
39,Sporting CP,FC Barcelona,0,1,AwayTeam,Group D,-,"Sep 27, 2017"
40,FC Barcelona,Olympiacos Piraeus,3,1,HomeTeam,Group D,-,"Oct 18, 2017"
41,Juventus FC,Sporting CP,2,1,HomeTeam,Group D,-,"Oct 18, 2017"
42,Olympiacos Piraeus,FC Barcelona,0,0,Draw,Group D,-,"Oct 31, 2017"
43,Sporting CP,Juventus FC,1,1,Draw,Group D,-,"Oct 31, 2017"
44,Sporting CP,Olympiacos Piraeus,3,1,HomeTeam,Group D,-,"Nov 22, 2017"
45,Juventus FC,FC Barcelona,0,0,Draw,Group D,-,"Nov 22, 2017"
46,Olympiacos Piraeus,Juventus FC,0,2,AwayTeam,Group D,-,"Dec 5, 2017"
47,FC Barcelona,Sporting CP,2,0,HomeTeam,Group D,-,"Dec 5, 2017"
48,NK Maribor,Spartak Moscow,1,1,Draw,Group E,-,"Sep 13, 2017"
49,Liverpool FC,Sevilla FC,2,2,Draw,Group E,-,"Sep 13, 2017"
50,Spartak Moscow,Liverpool FC,1,1,Draw,Group E,-,"Sep 26, 2017"
51,Sevilla FC,NK Maribor,3,0,HomeTeam,Group E,-,"Sep 26, 2017"
52,NK Maribor,Liverpool FC,0,7,AwayTeam,Group E,-,"Oct 17, 2017"
53,Spartak Moscow,Sevilla FC,5,1,HomeTeam,Group E,-,"Oct 17, 2017"
54,Liverpool FC,NK Maribor,3,0,HomeTeam,Group E,-,"Nov 1, 2017"
55,Sevilla FC,Spartak Moscow,2,1,HomeTeam,Group E,-,"Nov 1, 2017"
56,Spartak Moscow,NK Maribor,1,1,Draw,Group E,-,"Nov 21, 2017"
57,Sevilla FC,Liverpool FC,3,3,Draw,Group E,-,"Nov 21, 2017"
58,Liverpool FC,Spartak Moscow,7,0,HomeTeam,Group E,-,"Dec 6, 2017"
59,NK Maribor,Sevilla FC,1,1,Draw,Group E,-,"Dec 6, 2017"
60,Feyenoord Rotterdam,Manchester City,0,4,AwayTeam,Group F,-,"Sep 13, 2017"
61,Shakhtar Donetsk,SSC Napoli,2,1,HomeTeam,Group F,-,"Sep 13, 2017"
62,Manchester City,Shakhtar Donetsk,2,0,HomeTeam,Group F,-,"Sep 26, 2017"
63,SSC Napoli,Feyenoord Rotterdam,3,1,HomeTeam,Group F,-,"Sep 26, 2017"
64,Feyenoord Rotterdam,Shakhtar Donetsk,1,2,AwayTeam,Group F,-,"Oct 17, 2017"
65,Manchester City,SSC Napoli,2,1,HomeTeam,Group F,-,"Oct 17, 2017"
66,Shakhtar Donetsk,Feyenoord Rotterdam,3,1,HomeTeam,Group F,-,"Nov 1, 2017"
