,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,Belenenses SAD,CS Marítimo,3,0,HomeTeam,1.Matchday,"Aug 28, 2004"
1,Sporting CP,Gil Vicente FC,3,2,HomeTeam,1.Matchday,"Aug 28, 2004"
2,Estoril Praia,Rio Ave FC,0,0,Draw,1.Matchday,"Aug 29, 2004"
3,FC Penafiel,Vitória Setúbal FC,1,4,AwayTeam,1.Matchday,"Aug 29, 2004"
4,Moreirense FC,Vitória Guimarães SC,0,0,Draw,1.Matchday,"Aug 29, 2004"
5,Boavista Porto FC,CD Nacional,1,0,HomeTeam,1.Matchday,"Aug 29, 2004"
6,SC Beira-Mar,SL Benfica,2,3,AwayTeam,1.Matchday,"Aug 29, 2004"
7,Académica Coimbra,SC Braga,2,2,Draw,1.Matchday,"Aug 30, 2004"
8,FC Porto,União de Leiria,1,1,Draw,1.Matchday,"Sep 22, 2004"
9,Vitória Guimarães SC,Académica Coimbra,2,1,HomeTeam,2.Matchday,"Sep 5, 2004"
10,Gil Vicente FC,Boavista Porto FC,0,1,AwayTeam,2.Matchday,"Sep 10, 2004"
11,CS Marítimo,FC Penafiel,3,0,HomeTeam,2.Matchday,"Sep 11, 2004"
12,União de Leiria,Estoril Praia,4,2,HomeTeam,2.Matchday,"Sep 11, 2004"
13,SC Braga,FC Porto,1,1,Draw,2.Matchday,"Sep 11, 2004"
14,SL Benfica,Moreirense FC,2,0,HomeTeam,2.Matchday,"Sep 11, 2004"
15,CD Nacional,SC Beira-Mar,2,1,HomeTeam,2.Matchday,"Sep 12, 2004"
16,Vitória Setúbal FC,Sporting CP,2,0,HomeTeam,2.Matchday,"Sep 12, 2004"
17,Rio Ave FC,Belenenses SAD,3,3,Draw,2.Matchday,"Sep 13, 2004"
18,Boavista Porto FC,Vitória Setúbal FC,1,1,Draw,3.Matchday,"Sep 17, 2004"
19,FC Porto,Estoril Praia,2,2,Draw,3.Matchday,"Sep 18, 2004"
20,SC Beira-Mar,Gil Vicente FC,1,0,HomeTeam,3.Matchday,"Sep 19, 2004"
21,Belenenses SAD,União de Leiria,2,1,HomeTeam,3.Matchday,"Sep 19, 2004"
22,FC Penafiel,Rio Ave FC,1,1,Draw,3.Matchday,"Sep 19, 2004"
23,Moreirense FC,CD Nacional,3,2,HomeTeam,3.Matchday,"Sep 19, 2004"
24,Académica Coimbra,SL Benfica,0,1,AwayTeam,3.Matchday,"Sep 19, 2004"
25,Sporting CP,CS Marítimo,0,1,AwayTeam,3.Matchday,"Sep 20, 2004"
26,SC Braga,Vitória Guimarães SC,1,0,HomeTeam,3.Matchday,"Sep 21, 2004"
27,Vitória Setúbal FC,SC Beira-Mar,1,2,AwayTeam,4.Matchday,"Sep 24, 2004"
28,CS Marítimo,Boavista Porto FC,2,1,HomeTeam,4.Matchday,"Sep 25, 2004"
29,Vitória Guimarães SC,FC Porto,0,1,AwayTeam,4.Matchday,"Sep 25, 2004"
30,Gil Vicente FC,Moreirense FC,3,1,HomeTeam,4.Matchday,"Sep 26, 2004"
31,União de Leiria,FC Penafiel,1,2,AwayTeam,4.Matchday,"Sep 26, 2004"
32,CD Nacional,Académica Coimbra,2,1,HomeTeam,4.Matchday,"Sep 26, 2004"
33,SL Benfica,SC Braga,0,0,Draw,4.Matchday,"Sep 26, 2004"
34,Rio Ave FC,Sporting CP,0,0,Draw,4.Matchday,"Sep 26, 2004"
35,Estoril Praia,Belenenses SAD,1,0,HomeTeam,4.Matchday,"Sep 27, 2004"
36,Boavista Porto FC,Rio Ave FC,0,1,AwayTeam,5.Matchday,"Oct 1, 2004"
37,Académica Coimbra,Gil Vicente FC,2,1,HomeTeam,5.Matchday,"Oct 3, 2004"
38,FC Penafiel,Estoril Praia,2,1,HomeTeam,5.Matchday,"Oct 3, 2004"
39,Moreirense FC,Vitória Setúbal FC,2,2,Draw,5.Matchday,"Oct 3, 2004"
40,FC Porto,Belenenses SAD,3,0,HomeTeam,5.Matchday,"Oct 3, 2004"
41,Vitória Guimarães SC,SL Benfica,1,2,AwayTeam,5.Matchday,"Oct 3, 2004"
42,Sporting CP,União de Leiria,2,2,Draw,5.Matchday,"Oct 4, 2004"
43,SC Braga,CD Nacional,3,2,HomeTeam,5.Matchday,"Oct 5, 2004"
44,SC Beira-Mar,CS Marítimo,2,2,Draw,5.Matchday,"Oct 10, 2004"
45,Gil Vicente FC,SC Braga,0,1,AwayTeam,6.Matchday,"Oct 15, 2004"
46,CS Marítimo,Moreirense FC,1,0,HomeTeam,6.Matchday,"Oct 16, 2004"
47,CD Nacional,Vitória Guimarães SC,1,0,HomeTeam,6.Matchday,"Oct 16, 2004"
48,Estoril Praia,Sporting CP,1,4,AwayTeam,6.Matchday,"Oct 16, 2004"
49,Rio Ave FC,SC Beira-Mar,1,1,Draw,6.Matchday,"Oct 17, 2004"
50,Belenenses SAD,FC Penafiel,4,1,HomeTeam,6.Matchday,"Oct 17, 2004"
51,União de Leiria,Boavista Porto FC,0,3,AwayTeam,6.Matchday,"Oct 17, 2004"
52,SL Benfica,FC Porto,0,1,AwayTeam,6.Matchday,"Oct 17, 2004"
53,Vitória Setúbal FC,Académica Coimbra,1,0,HomeTeam,6.Matchday,"Oct 18, 2004"
