,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,StageWinner,Date
0,FC Schalke 04,Paris Saint-Germain,3,1,HomeTeam,Group A,-,"Oct 23, 2008"
1,FC Twente Enschede,Racing Santander,1,0,HomeTeam,Group A,-,"Oct 23, 2008"
2,Racing Santander,FC Schalke 04,1,1,Draw,Group A,-,"Nov 6, 2008"
3,Manchester City,FC Twente Enschede,3,2,HomeTeam,Group A,-,"Nov 6, 2008"
4,FC Schalke 04,Manchester City,0,2,AwayTeam,Group A,-,"Nov 27, 2008"
5,Paris Saint-Germain,Racing Santander,2,2,Draw,Group A,-,"Nov 27, 2008"
6,FC Twente Enschede,FC Schalke 04,2,1,HomeTeam,Group A,-,"Dec 3, 2008"
7,Manchester City,Paris Saint-Germain,0,0,Draw,Group A,-,"Dec 3, 2008"
8,Paris Saint-Germain,FC Twente Enschede,4,0,HomeTeam,Group A,-,"Dec 18, 2008"
9,Racing Santander,Manchester City,3,1,HomeTeam,Group A,-,"Dec 18, 2008"
10,Galatasaray SK,Olympiacos Piraeus,1,0,HomeTeam,Group B,-,"Oct 23, 2008"
11,Hertha BSC,SL Benfica,1,1,Draw,Group B,-,"Oct 23, 2008"
12,Metalist Kharkiv,Hertha BSC,0,0,Draw,Group B,-,"Nov 6, 2008"
13,SL Benfica,Galatasaray SK,0,2,AwayTeam,Group B,-,"Nov 6, 2008"
14,Galatasaray SK,Metalist Kharkiv,0,1,AwayTeam,Group B,-,"Nov 27, 2008"
15,Olympiacos Piraeus,SL Benfica,5,1,HomeTeam,Group B,-,"Nov 27, 2008"
16,Metalist Kharkiv,Olympiacos Piraeus,1,0,HomeTeam,Group B,-,"Dec 3, 2008"
17,Hertha BSC,Galatasaray SK,0,1,AwayTeam,Group B,-,"Dec 3, 2008"
18,Olympiacos Piraeus,Hertha BSC,4,0,HomeTeam,Group B,-,"Dec 18, 2008"
19,SL Benfica,Metalist Kharkiv,0,1,AwayTeam,Group B,-,"Dec 18, 2008"
20,Sevilla FC,VfB Stuttgart,2,0,HomeTeam,Group C,-,"Oct 23, 2008"
21,FK Partizan Belgrade,UC Sampdoria,1,2,AwayTeam,Group C,-,"Oct 23, 2008"
22,VfB Stuttgart,FK Partizan Belgrade,2,0,HomeTeam,Group C,-,"Nov 6, 2008"
23,Standard Liège,Sevilla FC,1,0,HomeTeam,Group C,-,"Nov 6, 2008"
24,FK Partizan Belgrade,Standard Liège,0,1,AwayTeam,Group C,-,"Nov 27, 2008"
25,UC Sampdoria,VfB Stuttgart,1,1,Draw,Group C,-,"Nov 27, 2008"
26,Standard Liège,UC Sampdoria,3,0,HomeTeam,Group C,-,"Dec 3, 2008"
27,Sevilla FC,FK Partizan Belgrade,3,0,HomeTeam,Group C,-,"Dec 3, 2008"
28,VfB Stuttgart,Standard Liège,3,0,HomeTeam,Group C,-,"Dec 18, 2008"
29,UC Sampdoria,Sevilla FC,1,0,HomeTeam,Group C,-,"Dec 18, 2008"
30,Udinese Calcio,Tottenham Hotspur,2,0,HomeTeam,Group D,-,"Oct 23, 2008"
31,GNK Dinamo Zagreb,NEC Nijmegen,3,2,HomeTeam,Group D,-,"Oct 23, 2008"
32,Spartak Moscow,Udinese Calcio,1,2,AwayTeam,Group D,-,"Nov 6, 2008"
33,Tottenham Hotspur,GNK Dinamo Zagreb,4,0,HomeTeam,Group D,-,"Nov 6, 2008"
34,NEC Nijmegen,Tottenham Hotspur,0,1,AwayTeam,Group D,-,"Nov 27, 2008"
35,GNK Dinamo Zagreb,Spartak Moscow,0,1,AwayTeam,Group D,-,"Nov 27, 2008"
36,Spartak Moscow,NEC Nijmegen,1,2,AwayTeam,Group D,-,"Dec 3, 2008"
37,Udinese Calcio,GNK Dinamo Zagreb,2,1,HomeTeam,Group D,-,"Dec 3, 2008"
38,NEC Nijmegen,Udinese Calcio,2,0,HomeTeam,Group D,-,"Dec 18, 2008"
39,Tottenham Hotspur,Spartak Moscow,2,2,Draw,Group D,-,"Dec 18, 2008"
40,SC Heerenveen,AC Milan,1,3,AwayTeam,Group E,-,"Oct 23, 2008"
41,SC Braga,Portsmouth FC,3,0,HomeTeam,Group E,-,"Oct 23, 2008"
42,VfL Wolfsburg,SC Heerenveen,5,1,HomeTeam,Group E,-,"Nov 6, 2008"
43,AC Milan,SC Braga,1,0,HomeTeam,Group E,-,"Nov 6, 2008"
44,Portsmouth FC,AC Milan,2,2,Draw,Group E,-,"Nov 27, 2008"
45,SC Braga,VfL Wolfsburg,2,3,AwayTeam,Group E,-,"Nov 27, 2008"
46,SC Heerenveen,SC Braga,1,2,AwayTeam,Group E,-,"Dec 4, 2008"
47,VfL Wolfsburg,Portsmouth FC,3,2,HomeTeam,Group E,-,"Dec 4, 2008"
48,Portsmouth FC,SC Heerenveen,3,0,HomeTeam,Group E,-,"Dec 17, 2008"
49,AC Milan,VfL Wolfsburg,2,2,Draw,Group E,-,"Dec 17, 2008"
50,MSK Zilina,Hamburger SV,1,2,AwayTeam,Group F,-,"Oct 23, 2008"
51,Aston Villa,Ajax Amsterdam,2,1,HomeTeam,Group F,-,"Oct 23, 2008"
52,Ajax Amsterdam,MSK Zilina,1,0,HomeTeam,Group F,-,"Nov 6, 2008"
53,SK Slavia Prague,Aston Villa,0,1,AwayTeam,Group F,-,"Nov 6, 2008"
54,MSK Zilina,SK Slavia Prague,0,0,Draw,Group F,-,"Nov 27, 2008"
55,Hamburger SV,Ajax Amsterdam,0,1,AwayTeam,Group F,-,"Nov 27, 2008"
56,Aston Villa,MSK Zilina,1,2,AwayTeam,Group F,-,"Dec 4, 2008"
57,SK Slavia Prague,Hamburger SV,0,2,AwayTeam,Group F,-,"Dec 4, 2008"
58,Hamburger SV,Aston Villa,3,1,HomeTeam,Group F,-,"Dec 17, 2008"
59,Ajax Amsterdam,SK Slavia Prague,2,2,Draw,Group F,-,"Dec 17, 2008"
60,Rosenborg BK,Club Brugge KV,0,0,Draw,Group G,-,"Oct 23, 2008"
61,FC Copenhagen,AS Saint-Étienne,1,3,AwayTeam,Group G,-,"Oct 23, 2008"
62,AS Saint-Étienne,Rosenborg BK,3,0,HomeTeam,Group G,-,"Nov 6, 2008"
63,Valencia CF,FC Copenhagen,1,1,Draw,Group G,-,"Nov 6, 2008"
64,Club Brugge KV,AS Saint-Étienne,1,1,Draw,Group G,-,"Nov 27, 2008"
65,Rosenborg BK,Valencia CF,0,4,AwayTeam,Group G,-,"Nov 27, 2008"
66,FC Copenhagen,Rosenborg BK,1,1,Draw,Group G,-,"Dec 4, 2008"
67,Valencia CF,Club Brugge KV,1,1,Draw,Group G,-,"Dec 4, 2008"
68,AS Saint-Étienne,Valencia CF,2,2,Draw,Group G,-,"Dec 17, 2008"
69,Club Brugge KV,FC Copenhagen,0,1,AwayTeam,Group G,-,"Dec 17, 2008"
70,CSKA Moscow,Deportivo de La Coruña,3,0,HomeTeam,Group H,-,"Oct 23, 2008"
71,AS Nancy-Lorraine,Feyenoord Rotterdam,3,0,HomeTeam,Group H,-,"Oct 23, 2008"
72,Lech Poznan,AS Nancy-Lorraine,2,2,Draw,Group H,-,"Nov 6, 2008"
73,Feyenoord Rotterdam,CSKA Moscow,1,3,AwayTeam,Group H,-,"Nov 6, 2008"
74,CSKA Moscow,Lech Poznan,2,1,HomeTeam,Group H,-,"Nov 27, 2008"
75,Deportivo de La Coruña,Feyenoord Rotterdam,3,0,HomeTeam,Group H,-,"Nov 27, 2008"
76,Lech Poznan,Deportivo de La Coruña,1,1,Draw,Group H,-,"Dec 4, 2008"
77,AS Nancy-Lorraine,CSKA Moscow,3,4,AwayTeam,Group H,-,"Dec 4, 2008"
78,Feyenoord Rotterdam,Lech Poznan,0,1,AwayTeam,Group H,-,"Dec 17, 2008"
79,Deportivo de La Coruña,AS Nancy-Lorraine,1,0,HomeTeam,Group H,-,"Dec 17, 2008"
80,Dynamo Kyiv,Valencia CF,1,1,Draw,3rd round 1st leg,-,"Feb 18, 2009"
81,Zenit St. Petersburg,VfB Stuttgart,2,1,HomeTeam,3rd round 1st leg,-,"Feb 18, 2009"
82,Olympiacos Piraeus,AS Saint-Étienne,1,3,AwayTeam,3rd round 1st leg,-,"Feb 18, 2009"
83,Aston Villa,CSKA Moscow,1,1,Draw,3rd round 1st leg,-,"Feb 18, 2009"
84,SV Werder Bremen,AC Milan,1,1,Draw,3rd round 1st leg,-,"Feb 18, 2009"
85,Paris Saint-Germain,VfL Wolfsburg,2,0,HomeTeam,3rd round 1st leg,-,"Feb 18, 2009"
86,UC Sampdoria,Metalist Kharkiv,0,1,AwayTeam,3rd round 1st leg,-,"Feb 18, 2009"
87,FC Girondins Bordeaux,Galatasaray SK,0,0,Draw,3rd round 1st leg,-,"Feb 18, 2009"
88,NEC Nijmegen,Hamburger SV,0,3,AwayTeam,3rd round 1st leg,-,"Feb 18, 2009"
89,Aalborg BK,Deportivo de La Coruña,3,0,HomeTeam,3rd round 1st leg,-,"Feb 18, 2009"
90,SC Braga,Standard Liège,3,0,HomeTeam,3rd round 1st leg,-,"Feb 18, 2009"
91,Lech Poznan,Udinese Calcio,2,2,Draw,3rd round 1st leg,-,"Feb 19, 2009"
92,Shakhtar Donetsk,Tottenham Hotspur,2,0,HomeTeam,3rd round 1st leg,-,"Feb 19, 2009"
93,FC Copenhagen,Manchester City,2,2,Draw,3rd round 1st leg,-,"Feb 19, 2009"
94,Olympique Marseille,FC Twente Enschede,0,1,AwayTeam,3rd round 1st leg,-,"Feb 19, 2009"
95,ACF Fiorentina,Ajax Amsterdam,0,1,AwayTeam,3rd round 1st leg,-,"Feb 19, 2009"
96,CSKA Moscow,Aston Villa,2,0,HomeTeam,3rd round 2nd leg,CSKA Moscow,"Feb 26, 2009"
