,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,Wisla Kraków,Górnik Zabrze,1,1,Draw,1.Matchday,"Jul 17, 2015"
1,Lechia Gdansk,Cracovia,0,1,AwayTeam,1.Matchday,"Jul 17, 2015"
2,Ruch Chorzow,Gornik Leczna,0,2,AwayTeam,1.Matchday,"Jul 18, 2015"
3,Zaglebie Lubin,Podbeskidzie Bielsko-Biala,1,1,Draw,1.Matchday,"Jul 18, 2015"
4,Lech Poznan,Pogon Szczecin,1,2,AwayTeam,1.Matchday,"Jul 18, 2015"
5,Korona Kielce,Jagiellonia Bialystok,3,2,HomeTeam,1.Matchday,"Jul 19, 2015"
6,Slask Wroclaw,Legia Warszawa,1,4,AwayTeam,1.Matchday,"Jul 19, 2015"
7,Piast Gliwice,Bruk-Bet Termalica Nieciecza,1,0,HomeTeam,1.Matchday,"Jul 20, 2015"
8,Ruch Chorzow,Piast Gliwice,2,0,HomeTeam,2.Matchday,"Jul 24, 2015"
9,Cracovia,Wisla Kraków,1,1,Draw,2.Matchday,"Jul 24, 2015"
10,Zaglebie Lubin,Korona Kielce,0,2,AwayTeam,2.Matchday,"Jul 25, 2015"
11,Lech Poznan,Lechia Gdansk,2,1,HomeTeam,2.Matchday,"Jul 25, 2015"
12,Pogon Szczecin,Slask Wroclaw,1,1,Draw,2.Matchday,"Jul 26, 2015"
13,Jagiellonia Bialystok,Bruk-Bet Termalica Nieciecza,2,0,HomeTeam,2.Matchday,"Jul 26, 2015"
14,Legia Warszawa,Podbeskidzie Bielsko-Biala,5,0,HomeTeam,2.Matchday,"Jul 26, 2015"
15,Gornik Leczna,Górnik Zabrze,2,1,HomeTeam,2.Matchday,"Jul 27, 2015"
16,Piast Gliwice,Górnik Zabrze,3,2,HomeTeam,3.Matchday,"Jul 31, 2015"
17,Lechia Gdansk,Pogon Szczecin,1,1,Draw,3.Matchday,"Jul 31, 2015"
18,Podbeskidzie Bielsko-Biala,Cracovia,0,1,AwayTeam,3.Matchday,"Aug 1, 2015"
19,Wisla Kraków,Lech Poznan,2,0,HomeTeam,3.Matchday,"Aug 1, 2015"
20,Slask Wroclaw,Bruk-Bet Termalica Nieciecza,2,0,HomeTeam,3.Matchday,"Aug 2, 2015"
21,Jagiellonia Bialystok,Zaglebie Lubin,1,2,AwayTeam,3.Matchday,"Aug 2, 2015"
22,Gornik Leczna,Legia Warszawa,0,2,AwayTeam,3.Matchday,"Aug 2, 2015"
23,Korona Kielce,Ruch Chorzow,1,2,AwayTeam,3.Matchday,"Aug 3, 2015"
24,Cracovia,Piast Gliwice,1,2,AwayTeam,4.Matchday,"Aug 7, 2015"
25,Bruk-Bet Termalica Nieciecza,Zaglebie Lubin,1,0,HomeTeam,4.Matchday,"Aug 7, 2015"
26,Górnik Zabrze,Jagiellonia Bialystok,1,3,AwayTeam,4.Matchday,"Aug 8, 2015"
27,Pogon Szczecin,Gornik Leczna,0,0,Draw,4.Matchday,"Aug 8, 2015"
28,Lech Poznan,Korona Kielce,0,0,Draw,4.Matchday,"Aug 8, 2015"
29,Slask Wroclaw,Lechia Gdansk,0,0,Draw,4.Matchday,"Aug 9, 2015"
30,Legia Warszawa,Wisla Kraków,1,1,Draw,4.Matchday,"Aug 9, 2015"
31,Ruch Chorzow,Podbeskidzie Bielsko-Biala,1,1,Draw,4.Matchday,"Aug 10, 2015"
32,Korona Kielce,Cracovia,0,3,AwayTeam,5.Matchday,"Aug 14, 2015"
33,Zaglebie Lubin,Lech Poznan,2,1,HomeTeam,5.Matchday,"Aug 14, 2015"
34,Bruk-Bet Termalica Nieciecza,Górnik Zabrze,3,0,HomeTeam,5.Matchday,"Aug 15, 2015"
35,Gornik Leczna,Slask Wroclaw,2,3,AwayTeam,5.Matchday,"Aug 15, 2015"
36,Piast Gliwice,Legia Warszawa,2,1,HomeTeam,5.Matchday,"Aug 15, 2015"
37,Jagiellonia Bialystok,Ruch Chorzow,2,1,HomeTeam,5.Matchday,"Aug 16, 2015"
