,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,StageWinner,Date
0,Rapid Vienna,Bayern Munich,0,1,AwayTeam,Group A,-,"Sep 14, 2005"
1,Club Brugge KV,Juventus FC,1,2,AwayTeam,Group A,-,"Sep 14, 2005"
2,Bayern Munich,Club Brugge KV,1,0,HomeTeam,Group A,-,"Sep 27, 2005"
3,Juventus FC,Rapid Vienna,3,0,HomeTeam,Group A,-,"Sep 27, 2005"
4,Bayern Munich,Juventus FC,2,1,HomeTeam,Group A,-,"Oct 18, 2005"
5,Rapid Vienna,Club Brugge KV,0,1,AwayTeam,Group A,-,"Oct 18, 2005"
6,Club Brugge KV,Rapid Vienna,3,2,HomeTeam,Group A,-,"Nov 2, 2005"
7,Juventus FC,Bayern Munich,2,1,HomeTeam,Group A,-,"Nov 2, 2005"
8,Bayern Munich,Rapid Vienna,4,0,HomeTeam,Group A,-,"Nov 22, 2005"
9,Juventus FC,Club Brugge KV,1,0,HomeTeam,Group A,-,"Nov 22, 2005"
10,Club Brugge KV,Bayern Munich,1,1,Draw,Group A,-,"Dec 7, 2005"
11,Rapid Vienna,Juventus FC,1,3,AwayTeam,Group A,-,"Dec 7, 2005"
12,Arsenal FC,FC Thun,2,1,HomeTeam,Group B,-,"Sep 14, 2005"
13,AC Sparta Praha,Ajax Amsterdam,1,1,Draw,Group B,-,"Sep 14, 2005"
14,FC Thun,AC Sparta Praha,1,0,HomeTeam,Group B,-,"Sep 27, 2005"
15,Ajax Amsterdam,Arsenal FC,1,2,AwayTeam,Group B,-,"Sep 27, 2005"
16,AC Sparta Praha,Arsenal FC,0,2,AwayTeam,Group B,-,"Oct 18, 2005"
17,Ajax Amsterdam,FC Thun,2,0,HomeTeam,Group B,-,"Oct 18, 2005"
18,FC Thun,Ajax Amsterdam,2,4,AwayTeam,Group B,-,"Nov 2, 2005"
19,Arsenal FC,AC Sparta Praha,3,0,HomeTeam,Group B,-,"Nov 2, 2005"
20,FC Thun,Arsenal FC,0,1,AwayTeam,Group B,-,"Nov 22, 2005"
21,Ajax Amsterdam,AC Sparta Praha,2,1,HomeTeam,Group B,-,"Nov 22, 2005"
22,AC Sparta Praha,FC Thun,0,0,Draw,Group B,-,"Dec 7, 2005"
23,Arsenal FC,Ajax Amsterdam,0,0,Draw,Group B,-,"Dec 7, 2005"
24,SV Werder Bremen,FC Barcelona,0,2,AwayTeam,Group C,-,"Sep 14, 2005"
25,Udinese Calcio,Panathinaikos Athens,3,0,HomeTeam,Group C,-,"Sep 14, 2005"
26,Panathinaikos Athens,SV Werder Bremen,2,1,HomeTeam,Group C,-,"Sep 27, 2005"
27,FC Barcelona,Udinese Calcio,4,1,HomeTeam,Group C,-,"Sep 27, 2005"
28,Udinese Calcio,SV Werder Bremen,1,1,Draw,Group C,-,"Oct 18, 2005"
29,Panathinaikos Athens,FC Barcelona,0,0,Draw,Group C,-,"Oct 18, 2005"
30,SV Werder Bremen,Udinese Calcio,4,3,HomeTeam,Group C,-,"Nov 2, 2005"
31,FC Barcelona,Panathinaikos Athens,5,0,HomeTeam,Group C,-,"Nov 2, 2005"
