,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,Zorya Lugansk,FK Sevastopol,0,0,Draw,1.Matchday,"Jul 9, 2010"
1,Arsenal Kyiv,Metalurg Zaporizhya,1,0,HomeTeam,1.Matchday,"Jul 9, 2010"
2,Ilyichivets Mariupol,MetallurgDonetsk,1,1,Draw,1.Matchday,"Jul 9, 2010"
3,Obolon Kyiv,Dynamo Kyiv,2,2,Draw,1.Matchday,"Jul 9, 2010"
4,Volyn Lutsk,Vorskla Poltava,0,4,AwayTeam,1.Matchday,"Jul 10, 2010"
5,SK Tavriya Simferopol,Metalist Kharkiv,0,1,AwayTeam,1.Matchday,"Jul 10, 2010"
6,Dnipro Dnipropetrovsk,Karpaty Lviv,1,0,HomeTeam,1.Matchday,"Jul 10, 2010"
7,Shakhtar Donetsk,Kryvbas Kryvyi Rig,2,0,HomeTeam,1.Matchday,"Jul 10, 2010"
8,MetallurgDonetsk,Obolon Kyiv,3,0,HomeTeam,2.Matchday,"Jul 16, 2010"
9,FK Sevastopol,Metalist Kharkiv,0,0,Draw,2.Matchday,"Jul 17, 2010"
10,Vorskla Poltava,Ilyichivets Mariupol,1,3,AwayTeam,2.Matchday,"Jul 17, 2010"
11,Dynamo Kyiv,SK Tavriya Simferopol,2,1,HomeTeam,2.Matchday,"Jul 17, 2010"
12,Zorya Lugansk,Arsenal Kyiv,0,2,AwayTeam,2.Matchday,"Jul 18, 2010"
13,Dnipro Dnipropetrovsk,Volyn Lutsk,2,0,HomeTeam,2.Matchday,"Jul 18, 2010"
14,Metalurg Zaporizhya,Shakhtar Donetsk,1,1,Draw,2.Matchday,"Jul 18, 2010"
15,Kryvbas Kryvyi Rig,Karpaty Lviv,0,0,Draw,2.Matchday,"Jul 18, 2010"
16,Volyn Lutsk,Kryvbas Kryvyi Rig,0,0,Draw,3.Matchday,"Jul 23, 2010"
