,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,Hellas Verona,AC Milan,2,1,HomeTeam,1.Matchday,"Aug 24, 2013"
1,UC Sampdoria,Juventus FC,0,1,AwayTeam,1.Matchday,"Aug 24, 2013"
2,FC Internazionale,Genoa CFC,2,0,HomeTeam,1.Matchday,"Aug 25, 2013"
3,Cagliari Calcio,Atalanta BC,2,1,HomeTeam,1.Matchday,"Aug 25, 2013"
4,SS Lazio,Udinese Calcio,2,1,HomeTeam,1.Matchday,"Aug 25, 2013"
5,AS Livorno,AS Roma,0,2,AwayTeam,1.Matchday,"Aug 25, 2013"
6,SSC Napoli,Bologna FC 1909,3,0,HomeTeam,1.Matchday,"Aug 25, 2013"
7,Parma FC,Chievo Verona,0,0,Draw,1.Matchday,"Aug 25, 2013"
8,Torino FC,US Sassuolo,2,0,HomeTeam,1.Matchday,"Aug 25, 2013"
9,ACF Fiorentina,Calcio Catania,2,1,HomeTeam,1.Matchday,"Aug 26, 2013"
10,Chievo Verona,SSC Napoli,2,4,AwayTeam,2.Matchday,"Aug 31, 2013"
11,Juventus FC,SS Lazio,4,1,HomeTeam,2.Matchday,"Aug 31, 2013"
12,AS Roma,Hellas Verona,3,0,HomeTeam,2.Matchday,"Sep 1, 2013"
13,Atalanta BC,Torino FC,2,0,HomeTeam,2.Matchday,"Sep 1, 2013"
14,Bologna FC 1909,UC Sampdoria,2,2,Draw,2.Matchday,"Sep 1, 2013"
15,Calcio Catania,FC Internazionale,0,3,AwayTeam,2.Matchday,"Sep 1, 2013"
16,Genoa CFC,ACF Fiorentina,2,5,AwayTeam,2.Matchday,"Sep 1, 2013"
17,AC Milan,Cagliari Calcio,3,1,HomeTeam,2.Matchday,"Sep 1, 2013"
18,US Sassuolo,AS Livorno,1,4,AwayTeam,2.Matchday,"Sep 1, 2013"
19,Udinese Calcio,Parma FC,3,1,HomeTeam,2.Matchday,"Sep 1, 2013"
20,FC Internazionale,Juventus FC,1,1,Draw,3.Matchday,"Sep 14, 2013"
21,SSC Napoli,Atalanta BC,2,0,HomeTeam,3.Matchday,"Sep 14, 2013"
22,Torino FC,AC Milan,2,2,Draw,3.Matchday,"Sep 14, 2013"
23,ACF Fiorentina,Cagliari Calcio,1,1,Draw,3.Matchday,"Sep 15, 2013"
24,Hellas Verona,US Sassuolo,2,0,HomeTeam,3.Matchday,"Sep 15, 2013"
25,SS Lazio,Chievo Verona,3,0,HomeTeam,3.Matchday,"Sep 15, 2013"
26,AS Livorno,Calcio Catania,2,0,HomeTeam,3.Matchday,"Sep 15, 2013"
27,Udinese Calcio,Bologna FC 1909,1,1,Draw,3.Matchday,"Sep 15, 2013"
28,UC Sampdoria,Genoa CFC,0,3,AwayTeam,3.Matchday,"Sep 15, 2013"
29,Parma FC,AS Roma,1,3,AwayTeam,3.Matchday,"Sep 16, 2013"
30,Cagliari Calcio,UC Sampdoria,2,2,Draw,4.Matchday,"Sep 21, 2013"
31,Chievo Verona,Udinese Calcio,2,1,HomeTeam,4.Matchday,"Sep 21, 2013"
32,Genoa CFC,AS Livorno,0,0,Draw,4.Matchday,"Sep 21, 2013"
33,US Sassuolo,FC Internazionale,0,7,AwayTeam,4.Matchday,"Sep 22, 2013"
34,Atalanta BC,ACF Fiorentina,0,2,AwayTeam,4.Matchday,"Sep 22, 2013"
35,Bologna FC 1909,Torino FC,1,2,AwayTeam,4.Matchday,"Sep 22, 2013"
36,Calcio Catania,Parma FC,0,0,Draw,4.Matchday,"Sep 22, 2013"
37,Juventus FC,Hellas Verona,2,1,HomeTeam,4.Matchday,"Sep 22, 2013"
38,AS Roma,SS Lazio,2,0,HomeTeam,4.Matchday,"Sep 22, 2013"
39,AC Milan,SSC Napoli,1,2,AwayTeam,4.Matchday,"Sep 22, 2013"
40,Udinese Calcio,Genoa CFC,1,0,HomeTeam,5.Matchday,"Sep 24, 2013"
41,Chievo Verona,Juventus FC,1,2,AwayTeam,5.Matchday,"Sep 25, 2013"
42,Bologna FC 1909,AC Milan,3,3,Draw,5.Matchday,"Sep 25, 2013"
43,SS Lazio,Calcio Catania,3,1,HomeTeam,5.Matchday,"Sep 25, 2013"
44,AS Livorno,Cagliari Calcio,1,1,Draw,5.Matchday,"Sep 25, 2013"
45,SSC Napoli,US Sassuolo,1,1,Draw,5.Matchday,"Sep 25, 2013"
46,Parma FC,Atalanta BC,4,3,HomeTeam,5.Matchday,"Sep 25, 2013"
47,UC Sampdoria,AS Roma,0,2,AwayTeam,5.Matchday,"Sep 25, 2013"
48,Torino FC,Hellas Verona,2,2,Draw,5.Matchday,"Sep 25, 2013"
49,FC Internazionale,ACF Fiorentina,2,1,HomeTeam,5.Matchday,"Sep 26, 2013"
50,Genoa CFC,SSC Napoli,0,2,AwayTeam,6.Matchday,"Sep 28, 2013"
51,AC Milan,UC Sampdoria,1,0,HomeTeam,6.Matchday,"Sep 28, 2013"
52,Torino FC,Juventus FC,0,1,AwayTeam,6.Matchday,"Sep 29, 2013"
53,Atalanta BC,Udinese Calcio,2,0,HomeTeam,6.Matchday,"Sep 29, 2013"
54,Cagliari Calcio,FC Internazionale,1,1,Draw,6.Matchday,"Sep 29, 2013"
55,Calcio Catania,Chievo Verona,2,0,HomeTeam,6.Matchday,"Sep 29, 2013"
56,Hellas Verona,AS Livorno,2,1,HomeTeam,6.Matchday,"Sep 29, 2013"
57,US Sassuolo,SS Lazio,2,2,Draw,6.Matchday,"Sep 29, 2013"
58,AS Roma,Bologna FC 1909,5,0,HomeTeam,6.Matchday,"Sep 29, 2013"
59,ACF Fiorentina,Parma FC,2,2,Draw,6.Matchday,"Sep 30, 2013"
