,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,StageWinner,Date
0,Ajax Amsterdam,FC Timisoara,0,0,Draw,Group A,-,"Sep 17, 2009"
1,GNK Dinamo Zagreb,RSC Anderlecht,0,2,AwayTeam,Group A,-,"Sep 17, 2009"
2,FC Timisoara,GNK Dinamo Zagreb,0,3,AwayTeam,Group A,-,"Oct 1, 2009"
3,RSC Anderlecht,Ajax Amsterdam,1,1,Draw,Group A,-,"Oct 1, 2009"
4,Ajax Amsterdam,GNK Dinamo Zagreb,2,1,HomeTeam,Group A,-,"Oct 22, 2009"
5,FC Timisoara,RSC Anderlecht,0,0,Draw,Group A,-,"Oct 22, 2009"
6,GNK Dinamo Zagreb,Ajax Amsterdam,0,2,AwayTeam,Group A,-,"Nov 5, 2009"
7,RSC Anderlecht,FC Timisoara,3,1,HomeTeam,Group A,-,"Nov 5, 2009"
8,RSC Anderlecht,GNK Dinamo Zagreb,0,1,AwayTeam,Group A,-,"Dec 2, 2009"
9,FC Timisoara,Ajax Amsterdam,1,2,AwayTeam,Group A,-,"Dec 2, 2009"
10,GNK Dinamo Zagreb,FC Timisoara,1,2,AwayTeam,Group A,-,"Dec 17, 2009"
11,Ajax Amsterdam,RSC Anderlecht,1,3,AwayTeam,Group A,-,"Dec 17, 2009"
12,LOSC Lille,Valencia CF,1,1,Draw,Group B,-,"Sep 17, 2009"
13,Genoa CFC,SK Slavia Prague,2,0,HomeTeam,Group B,-,"Sep 17, 2009"
14,Valencia CF,Genoa CFC,3,2,HomeTeam,Group B,-,"Oct 1, 2009"
15,SK Slavia Prague,LOSC Lille,1,5,AwayTeam,Group B,-,"Oct 1, 2009"
16,LOSC Lille,Genoa CFC,3,0,HomeTeam,Group B,-,"Oct 22, 2009"
17,Valencia CF,SK Slavia Prague,1,1,Draw,Group B,-,"Oct 22, 2009"
18,SK Slavia Prague,Valencia CF,2,2,Draw,Group B,-,"Nov 5, 2009"
19,Genoa CFC,LOSC Lille,3,2,HomeTeam,Group B,-,"Nov 5, 2009"
20,SK Slavia Prague,Genoa CFC,0,0,Draw,Group B,-,"Dec 2, 2009"
21,Valencia CF,LOSC Lille,3,1,HomeTeam,Group B,-,"Dec 2, 2009"
22,Genoa CFC,Valencia CF,1,2,AwayTeam,Group B,-,"Dec 17, 2009"
23,LOSC Lille,SK Slavia Prague,3,1,HomeTeam,Group B,-,"Dec 17, 2009"
24,Hapoel Tel Aviv,Celtic FC,2,1,HomeTeam,Group C,-,"Sep 17, 2009"
25,Rapid Vienna,Hamburger SV,3,0,HomeTeam,Group C,-,"Sep 17, 2009"
26,Hamburger SV,Hapoel Tel Aviv,4,2,HomeTeam,Group C,-,"Oct 1, 2009"
27,Celtic FC,Rapid Vienna,1,1,Draw,Group C,-,"Oct 1, 2009"
28,Hapoel Tel Aviv,Rapid Vienna,5,1,HomeTeam,Group C,-,"Oct 22, 2009"
29,Celtic FC,Hamburger SV,0,1,AwayTeam,Group C,-,"Oct 22, 2009"
30,Rapid Vienna,Hapoel Tel Aviv,0,3,AwayTeam,Group C,-,"Nov 5, 2009"
31,Hamburger SV,Celtic FC,0,0,Draw,Group C,-,"Nov 5, 2009"
32,Hamburger SV,Rapid Vienna,2,0,HomeTeam,Group C,-,"Dec 2, 2009"
33,Celtic FC,Hapoel Tel Aviv,2,0,HomeTeam,Group C,-,"Dec 2, 2009"
34,Hapoel Tel Aviv,Hamburger SV,1,0,HomeTeam,Group C,-,"Dec 17, 2009"
35,Rapid Vienna,Celtic FC,3,3,Draw,Group C,-,"Dec 17, 2009"
36,SC Heerenveen,Sporting CP,2,3,AwayTeam,Group D,-,"Sep 17, 2009"
37,Hertha BSC,FK Ventspils,1,1,Draw,Group D,-,"Sep 17, 2009"
38,Sporting CP,Hertha BSC,1,0,HomeTeam,Group D,-,"Oct 1, 2009"
39,FK Ventspils,SC Heerenveen,0,0,Draw,Group D,-,"Oct 1, 2009"
40,Hertha BSC,SC Heerenveen,0,1,AwayTeam,Group D,-,"Oct 22, 2009"
41,FK Ventspils,Sporting CP,1,2,AwayTeam,Group D,-,"Oct 22, 2009"
42,Sporting CP,FK Ventspils,1,1,Draw,Group D,-,"Nov 5, 2009"
43,SC Heerenveen,Hertha BSC,2,3,AwayTeam,Group D,-,"Nov 5, 2009"
44,FK Ventspils,Hertha BSC,0,1,AwayTeam,Group D,-,"Dec 3, 2009"
45,Sporting CP,SC Heerenveen,1,1,Draw,Group D,-,"Dec 3, 2009"
46,SC Heerenveen,FK Ventspils,5,0,HomeTeam,Group D,-,"Dec 16, 2009"
47,Hertha BSC,Sporting CP,1,0,HomeTeam,Group D,-,"Dec 16, 2009"
48,FC Basel 1893,AS Roma,2,0,HomeTeam,Group E,-,"Sep 17, 2009"
49,CSKA Sofia,Fulham FC,1,1,Draw,Group E,-,"Sep 17, 2009"
50,AS Roma,CSKA Sofia,2,0,HomeTeam,Group E,-,"Oct 1, 2009"
51,Fulham FC,FC Basel 1893,1,0,HomeTeam,Group E,-,"Oct 1, 2009"
52,CSKA Sofia,FC Basel 1893,0,2,AwayTeam,Group E,-,"Oct 22, 2009"
53,Fulham FC,AS Roma,1,1,Draw,Group E,-,"Oct 22, 2009"
