,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
62,Motherwell FC,Inverness Caledonian Thistle FC,0,3,AwayTeam,11.Matchday,"Oct 26, 2016"
63,Rangers FC,St. Johnstone FC,1,1,Draw,11.Matchday,"Oct 26, 2016"
64,Ross County FC,Celtic FC,0,4,AwayTeam,11.Matchday,"Oct 26, 2016"
65,Dundee FC,Partick Thistle FC,0,2,AwayTeam,11.Matchday,"Oct 26, 2016"
66,Aberdeen FC,Celtic FC,0,1,AwayTeam,12.Matchday,"Oct 29, 2016"
67,Hamilton Academical FC,Dundee FC,0,1,AwayTeam,12.Matchday,"Oct 29, 2016"
68,St. Johnstone FC,Partick Thistle FC,1,2,AwayTeam,12.Matchday,"Oct 29, 2016"
69,Inverness Caledonian Thistle FC,Heart of Midlothian FC,3,3,Draw,12.Matchday,"Oct 29, 2016"
70,Rangers FC,Kilmarnock FC,3,0,HomeTeam,12.Matchday,"Oct 29, 2016"
71,Motherwell FC,Ross County FC,4,1,HomeTeam,12.Matchday,"Oct 29, 2016"
72,Partick Thistle FC,Aberdeen FC,1,2,AwayTeam,13.Matchday,"Nov 4, 2016"
73,Celtic FC,Inverness Caledonian Thistle FC,3,0,HomeTeam,13.Matchday,"Nov 5, 2016"
74,Kilmarnock FC,Hamilton Academical FC,0,0,Draw,13.Matchday,"Nov 5, 2016"
75,Dundee FC,Motherwell FC,2,0,HomeTeam,13.Matchday,"Nov 5, 2016"
76,Heart of Midlothian FC,St. Johnstone FC,2,2,Draw,13.Matchday,"Nov 5, 2016"
77,Ross County FC,Rangers FC,1,1,Draw,13.Matchday,"Nov 6, 2016"
78,Kilmarnock FC,Celtic FC,0,1,AwayTeam,14.Matchday,"Nov 18, 2016"
79,Motherwell FC,Partick Thistle FC,2,0,HomeTeam,14.Matchday,"Nov 19, 2016"
80,Rangers FC,Dundee FC,1,0,HomeTeam,14.Matchday,"Nov 19, 2016"
81,St. Johnstone FC,Ross County FC,2,4,AwayTeam,14.Matchday,"Nov 19, 2016"
82,Inverness Caledonian Thistle FC,Aberdeen FC,1,3,AwayTeam,14.Matchday,"Nov 19, 2016"
83,Hamilton Academical FC,Heart of Midlothian FC,3,3,Draw,14.Matchday,"Nov 21, 2016"
84,Partick Thistle FC,Rangers FC,1,2,AwayTeam,15.Matchday,"Nov 26, 2016"
85,Dundee FC,Inverness Caledonian Thistle FC,2,1,HomeTeam,15.Matchday,"Nov 26, 2016"
86,Heart of Midlothian FC,Motherwell FC,3,0,HomeTeam,15.Matchday,"Nov 26, 2016"
87,Ross County FC,Hamilton Academical FC,1,1,Draw,15.Matchday,"Nov 26, 2016"
88,Aberdeen FC,Kilmarnock FC,5,1,HomeTeam,15.Matchday,"Dec 6, 2016"
89,Celtic FC,St. Johnstone FC,1,0,HomeTeam,15.Matchday,"Jan 25, 2017"
90,Motherwell FC,Celtic FC,3,4,AwayTeam,16.Matchday,"Dec 3, 2016"
91,Hamilton Academical FC,Partick Thistle FC,1,1,Draw,16.Matchday,"Dec 3, 2016"
92,St. Johnstone FC,Inverness Caledonian Thistle FC,3,0,HomeTeam,16.Matchday,"Dec 3, 2016"
93,Ross County FC,Heart of Midlothian FC,2,2,Draw,16.Matchday,"Dec 3, 2016"
94,Rangers FC,Aberdeen FC,2,1,HomeTeam,16.Matchday,"Dec 3, 2016"
95,Kilmarnock FC,Dundee FC,2,0,HomeTeam,16.Matchday,"Dec 3, 2016"
96,Partick Thistle FC,Celtic FC,1,4,AwayTeam,17.Matchday,"Dec 9, 2016"
97,Aberdeen FC,St. Johnstone FC,0,0,Draw,17.Matchday,"Dec 10, 2016"
98,Dundee FC,Ross County FC,0,0,Draw,17.Matchday,"Dec 10, 2016"
99,Rangers FC,Heart of Midlothian FC,2,0,HomeTeam,17.Matchday,"Dec 10, 2016"
100,Inverness Caledonian Thistle FC,Hamilton Academical FC,1,1,Draw,17.Matchday,"Dec 10, 2016"
101,Motherwell FC,Kilmarnock FC,0,0,Draw,17.Matchday,"Dec 10, 2016"
102,Hamilton Academical FC,Rangers FC,1,2,AwayTeam,18.Matchday,"Dec 16, 2016"
103,St. Johnstone FC,Motherwell FC,1,1,Draw,18.Matchday,"Dec 17, 2016"
104,Ross County FC,Aberdeen FC,2,1,HomeTeam,18.Matchday,"Dec 17, 2016"
105,Heart of Midlothian FC,Partick Thistle FC,1,1,Draw,18.Matchday,"Dec 17, 2016"
106,Kilmarnock FC,Inverness Caledonian Thistle FC,1,1,Draw,18.Matchday,"Dec 17, 2016"
107,Celtic FC,Dundee FC,2,1,HomeTeam,18.Matchday,"Dec 17, 2016"
108,Motherwell FC,Aberdeen FC,1,3,AwayTeam,19.Matchday,"Dec 23, 2016"
109,Kilmarnock FC,St. Johnstone FC,0,1,AwayTeam,19.Matchday,"Dec 23, 2016"
110,Dundee FC,Heart of Midlothian FC,3,2,HomeTeam,19.Matchday,"Dec 23, 2016"
111,Ross County FC,Partick Thistle FC,1,3,AwayTeam,19.Matchday,"Dec 23, 2016"
112,Hamilton Academical FC,Celtic FC,0,3,AwayTeam,19.Matchday,"Dec 24, 2016"
113,Rangers FC,Inverness Caledonian Thistle FC,1,0,HomeTeam,19.Matchday,"Dec 24, 2016"
114,Aberdeen FC,Hamilton Academical FC,2,1,HomeTeam,20.Matchday,"Dec 27, 2016"
115,Heart of Midlothian FC,Kilmarnock FC,4,0,HomeTeam,20.Matchday,"Dec 27, 2016"
116,Inverness Caledonian Thistle FC,Motherwell FC,1,2,AwayTeam,20.Matchday,"Dec 28, 2016"
117,Celtic FC,Ross County FC,2,0,HomeTeam,20.Matchday,"Dec 28, 2016"
118,St. Johnstone FC,Rangers FC,1,1,Draw,20.Matchday,"Dec 28, 2016"
119,Partick Thistle FC,Dundee FC,2,0,HomeTeam,20.Matchday,"Dec 28, 2016"
120,Heart of Midlothian FC,Aberdeen FC,0,1,AwayTeam,21.Matchday,"Dec 30, 2016"
121,Rangers FC,Celtic FC,1,2,AwayTeam,21.Matchday,"Dec 31, 2016"
122,Hamilton Academical FC,Motherwell FC,1,1,Draw,21.Matchday,"Dec 31, 2016"
123,Partick Thistle FC,Kilmarnock FC,0,0,Draw,21.Matchday,"Dec 31, 2016"
124,Dundee FC,St. Johnstone FC,3,0,HomeTeam,21.Matchday,"Dec 31, 2016"
125,Ross County FC,Inverness Caledonian Thistle FC,3,2,HomeTeam,21.Matchday,"Dec 31, 2016"
126,Aberdeen FC,Dundee FC,3,0,HomeTeam,22.Matchday,"Jan 27, 2017"
127,Motherwell FC,Rangers FC,0,2,AwayTeam,22.Matchday,"Jan 28, 2017"
128,St. Johnstone FC,Hamilton Academical FC,3,0,HomeTeam,22.Matchday,"Jan 28, 2017"
129,Kilmarnock FC,Ross County FC,3,2,HomeTeam,22.Matchday,"Jan 28, 2017"
130,Inverness Caledonian Thistle FC,Partick Thistle FC,0,0,Draw,22.Matchday,"Jan 28, 2017"
131,Celtic FC,Heart of Midlothian FC,4,0,HomeTeam,22.Matchday,"Jan 29, 2017"
132,Hamilton Academical FC,Inverness Caledonian Thistle FC,3,0,HomeTeam,23.Matchday,"Jan 31, 2017"
133,Ross County FC,Motherwell FC,1,2,AwayTeam,23.Matchday,"Jan 31, 2017"
134,Celtic FC,Aberdeen FC,1,0,HomeTeam,23.Matchday,"Feb 1, 2017"
135,Heart of Midlothian FC,Rangers FC,4,1,HomeTeam,23.Matchday,"Feb 1, 2017"
136,Partick Thistle FC,St. Johnstone FC,0,1,AwayTeam,23.Matchday,"Feb 1, 2017"
137,Dundee FC,Kilmarnock FC,1,1,Draw,23.Matchday,"Feb 11, 2017"
138,Motherwell FC,Heart of Midlothian FC,0,3,AwayTeam,24.Matchday,"Feb 4, 2017"
139,Inverness Caledonian Thistle FC,Dundee FC,2,2,Draw,24.Matchday,"Feb 4, 2017"
140,Hamilton Academical FC,Kilmarnock FC,1,1,Draw,24.Matchday,"Feb 4, 2017"
141,Aberdeen FC,Partick Thistle FC,2,0,HomeTeam,24.Matchday,"Feb 4, 2017"
142,Rangers FC,Ross County FC,1,1,Draw,24.Matchday,"Feb 4, 2017"
143,St. Johnstone FC,Celtic FC,2,5,AwayTeam,24.Matchday,"Feb 5, 2017"
144,Celtic FC,Motherwell FC,2,0,HomeTeam,25.Matchday,"Feb 18, 2017"
145,Ross County FC,St. Johnstone FC,1,2,AwayTeam,25.Matchday,"Feb 18, 2017"
146,Heart of Midlothian FC,Inverness Caledonian Thistle FC,1,1,Draw,25.Matchday,"Feb 18, 2017"
147,Partick Thistle FC,Hamilton Academical FC,2,0,HomeTeam,25.Matchday,"Feb 18, 2017"
148,Kilmarnock FC,Aberdeen FC,1,2,AwayTeam,25.Matchday,"Feb 19, 2017"
149,Dundee FC,Rangers FC,2,1,HomeTeam,25.Matchday,"Feb 19, 2017"
150,Inverness Caledonian Thistle FC,Rangers FC,2,1,HomeTeam,26.Matchday,"Feb 24, 2017"
151,Aberdeen FC,Ross County FC,1,0,HomeTeam,26.Matchday,"Feb 25, 2017"
152,Celtic FC,Hamilton Academical FC,2,0,HomeTeam,26.Matchday,"Feb 25, 2017"
153,Motherwell FC,Dundee FC,1,5,AwayTeam,26.Matchday,"Feb 25, 2017"
154,Partick Thistle FC,Heart of Midlothian FC,2,0,HomeTeam,26.Matchday,"Feb 25, 2017"
155,St. Johnstone FC,Kilmarnock FC,0,2,AwayTeam,26.Matchday,"Feb 25, 2017"
156,Hamilton Academical FC,Aberdeen FC,1,0,HomeTeam,27.Matchday,"Feb 28, 2017"
157,Rangers FC,St. Johnstone FC,3,2,HomeTeam,27.Matchday,"Mar 1, 2017"
158,Inverness Caledonian Thistle FC,Celtic FC,0,4,AwayTeam,27.Matchday,"Mar 1, 2017"
159,Heart of Midlothian FC,Ross County FC,0,1,AwayTeam,27.Matchday,"Mar 1, 2017"
160,Dundee FC,Partick Thistle FC,0,1,AwayTeam,27.Matchday,"Mar 1, 2017"
161,Kilmarnock FC,Motherwell FC,1,2,AwayTeam,27.Matchday,"Mar 4, 2017"
162,Aberdeen FC,Motherwell FC,1,0,HomeTeam,28.Matchday,"Mar 11, 2017"
163,Partick Thistle FC,Inverness Caledonian Thistle FC,1,1,Draw,28.Matchday,"Mar 11, 2017"
164,Heart of Midlothian FC,Hamilton Academical FC,4,0,HomeTeam,28.Matchday,"Mar 11, 2017"
165,Ross County FC,Kilmarnock FC,1,2,AwayTeam,28.Matchday,"Mar 11, 2017"
166,St. Johnstone FC,Dundee FC,2,0,HomeTeam,28.Matchday,"Mar 11, 2017"
167,Celtic FC,Rangers FC,1,1,Draw,28.Matchday,"Mar 12, 2017"
168,Aberdeen FC,Heart of Midlothian FC,2,0,HomeTeam,29.Matchday,"Mar 18, 2017"
169,Inverness Caledonian Thistle FC,Ross County FC,1,1,Draw,29.Matchday,"Mar 18, 2017"
170,Kilmarnock FC,Partick Thistle FC,1,1,Draw,29.Matchday,"Mar 18, 2017"
171,Motherwell FC,St. Johnstone FC,1,2,AwayTeam,29.Matchday,"Mar 18, 2017"
172,Rangers FC,Hamilton Academical FC,4,0,HomeTeam,29.Matchday,"Mar 18, 2017"
173,Dundee FC,Celtic FC,1,2,AwayTeam,29.Matchday,"Mar 19, 2017"
174,Dundee FC,Aberdeen FC,0,7,AwayTeam,30.Matchday,"Mar 31, 2017"
175,Inverness Caledonian Thistle FC,Kilmarnock FC,1,1,Draw,30.Matchday,"Apr 1, 2017"
176,Rangers FC,Motherwell FC,1,1,Draw,30.Matchday,"Apr 1, 2017"
177,Hamilton Academical FC,St. Johnstone FC,1,0,HomeTeam,30.Matchday,"Apr 1, 2017"
178,Partick Thistle FC,Ross County FC,2,1,HomeTeam,30.Matchday,"Apr 1, 2017"
179,Heart of Midlothian FC,Celtic FC,0,5,AwayTeam,30.Matchday,"Apr 2, 2017"
180,Aberdeen FC,Inverness Caledonian Thistle FC,1,0,HomeTeam,31.Matchday,"Apr 4, 2017"
181,Ross County FC,Dundee FC,2,1,HomeTeam,31.Matchday,"Apr 4, 2017"
182,Celtic FC,Partick Thistle FC,1,1,Draw,31.Matchday,"Apr 5, 2017"
183,Kilmarnock FC,Rangers FC,0,0,Draw,31.Matchday,"Apr 5, 2017"
184,St. Johnstone FC,Heart of Midlothian FC,1,0,HomeTeam,31.Matchday,"Apr 5, 2017"
185,Motherwell FC,Hamilton Academical FC,0,0,Draw,31.Matchday,"Apr 5, 2017"
186,Inverness Caledonian Thistle FC,St. Johnstone FC,0,3,AwayTeam,32.Matchday,"Apr 8, 2017"
187,Partick Thistle FC,Motherwell FC,1,0,HomeTeam,32.Matchday,"Apr 8, 2017"
188,Celtic FC,Kilmarnock FC,3,1,HomeTeam,32.Matchday,"Apr 8, 2017"
189,Hamilton Academical FC,Ross County FC,1,1,Draw,32.Matchday,"Apr 8, 2017"
190,Heart of Midlothian FC,Dundee FC,1,0,HomeTeam,32.Matchday,"Apr 8, 2017"
191,Aberdeen FC,Rangers FC,0,3,AwayTeam,32.Matchday,"Apr 9, 2017"
192,Kilmarnock FC,Heart of Midlothian FC,0,0,Draw,33.Matchday,"Apr 14, 2017"
193,Motherwell FC,Inverness Caledonian Thistle FC,4,2,HomeTeam,33.Matchday,"Apr 15, 2017"
194,St. Johnstone FC,Aberdeen FC,1,2,AwayTeam,33.Matchday,"Apr 15, 2017"
195,Dundee FC,Hamilton Academical FC,0,2,AwayTeam,33.Matchday,"Apr 15, 2017"
196,Rangers FC,Partick Thistle FC,2,0,HomeTeam,33.Matchday,"Apr 15, 2017"
197,Ross County FC,Celtic FC,2,2,Draw,33.Matchday,"Apr 16, 2017"
198,Ross County FC,Inverness Caledonian Thistle FC,4,0,HomeTeam,34.Matchday,"Apr 28, 2017"
199,Rangers FC,Celtic FC,1,5,AwayTeam,34.Matchday,"Apr 29, 2017"
200,Hamilton Academical FC,Kilmarnock FC,0,2,AwayTeam,34.Matchday,"Apr 29, 2017"
201,Motherwell FC,Dundee FC,2,3,AwayTeam,34.Matchday,"Apr 29, 2017"
202,Aberdeen FC,St. Johnstone FC,0,2,AwayTeam,34.Matchday,"Apr 29, 2017"
203,Heart of Midlothian FC,Partick Thistle FC,2,2,Draw,34.Matchday,"Apr 29, 2017"
204,Inverness Caledonian Thistle FC,Hamilton Academical FC,2,1,HomeTeam,35.Matchday,"May 6, 2017"
205,Kilmarnock FC,Dundee FC,0,1,AwayTeam,35.Matchday,"May 6, 2017"
206,Motherwell FC,Ross County FC,0,1,AwayTeam,35.Matchday,"May 6, 2017"
207,Celtic FC,St. Johnstone FC,4,1,HomeTeam,35.Matchday,"May 6, 2017"
208,Partick Thistle FC,Rangers FC,1,2,AwayTeam,35.Matchday,"May 7, 2017"
209,Heart of Midlothian FC,Aberdeen FC,1,2,AwayTeam,35.Matchday,"May 7, 2017"
210,Aberdeen FC,Celtic FC,1,3,AwayTeam,36.Matchday,"May 12, 2017"
211,Rangers FC,Heart of Midlothian FC,2,1,HomeTeam,36.Matchday,"May 13, 2017"
212,Dundee FC,Ross County FC,1,1,Draw,36.Matchday,"May 13, 2017"
213,Hamilton Academical FC,Motherwell FC,0,1,AwayTeam,36.Matchday,"May 13, 2017"
214,Kilmarnock FC,Inverness Caledonian Thistle FC,2,1,HomeTeam,36.Matchday,"May 13, 2017"
215,St. Johnstone FC,Partick Thistle FC,1,0,HomeTeam,36.Matchday,"May 13, 2017"
216,Motherwell FC,Kilmarnock FC,3,1,HomeTeam,37.Matchday,"May 16, 2017"
217,Ross County FC,Hamilton Academical FC,3,2,HomeTeam,37.Matchday,"May 16, 2017"
218,Dundee FC,Inverness Caledonian Thistle FC,0,2,AwayTeam,37.Matchday,"May 17, 2017"
219,Rangers FC,Aberdeen FC,1,2,AwayTeam,37.Matchday,"May 17, 2017"
220,St. Johnstone FC,Heart of Midlothian FC,1,0,HomeTeam,37.Matchday,"May 17, 2017"
221,Partick Thistle FC,Celtic FC,0,5,AwayTeam,37.Matchday,"May 18, 2017"
222,Hamilton Academical FC,Dundee FC,4,0,HomeTeam,38.Matchday,"May 20, 2017"
223,Inverness Caledonian Thistle FC,Motherwell FC,3,2,HomeTeam,38.Matchday,"May 20, 2017"
224,Kilmarnock FC,Ross County FC,1,2,AwayTeam,38.Matchday,"May 20, 2017"
225,Celtic FC,Heart of Midlothian FC,2,0,HomeTeam,38.Matchday,"May 21, 2017"
226,Partick Thistle FC,Aberdeen FC,0,6,AwayTeam,38.Matchday,"May 21, 2017"
227,St. Johnstone FC,Rangers FC,1,2,AwayTeam,38.Matchday,"May 21, 2017"
