,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
60,NK Lokomotiva Zagreb,NK Zadar,2,1,HomeTeam,11.Matchday,"Oct 5, 2012"
61,NK Zagreb,NK Inter Zapresic,1,1,Draw,11.Matchday,"Oct 5, 2012"
62,HNK Hajduk Split,HNK Cibalia Vinkovci,4,0,HomeTeam,11.Matchday,"Oct 5, 2012"
63,NK Osijek,RNK Split,2,2,Draw,11.Matchday,"Oct 6, 2012"
64,HNK Rijeka,NK Istra 1961,2,1,HomeTeam,11.Matchday,"Oct 6, 2012"
65,Slaven Belupo Koprivnica,GNK Dinamo Zagreb,1,4,AwayTeam,11.Matchday,"Oct 7, 2012"
66,NK Lokomotiva Zagreb,NK Zagreb,1,1,Draw,12.Matchday,"Oct 19, 2012"
67,NK Inter Zapresic,GNK Dinamo Zagreb,0,2,AwayTeam,12.Matchday,"Oct 20, 2012"
68,Slaven Belupo Koprivnica,HNK Cibalia Vinkovci,2,1,HomeTeam,12.Matchday,"Oct 20, 2012"
69,NK Osijek,NK Zadar,2,0,HomeTeam,12.Matchday,"Oct 20, 2012"
70,HNK Rijeka,RNK Split,2,3,AwayTeam,12.Matchday,"Oct 20, 2012"
71,HNK Hajduk Split,NK Istra 1961,0,1,AwayTeam,12.Matchday,"Oct 21, 2012"
72,NK Lokomotiva Zagreb,NK Inter Zapresic,2,3,AwayTeam,13.Matchday,"Oct 26, 2012"
73,NK Zagreb,NK Osijek,2,1,HomeTeam,13.Matchday,"Oct 26, 2012"
74,NK Istra 1961,Slaven Belupo Koprivnica,0,0,Draw,13.Matchday,"Oct 26, 2012"
75,HNK Cibalia Vinkovci,GNK Dinamo Zagreb,0,1,AwayTeam,13.Matchday,"Oct 27, 2012"
76,NK Zadar,HNK Rijeka,2,4,AwayTeam,13.Matchday,"Oct 27, 2012"
77,RNK Split,HNK Hajduk Split,0,1,AwayTeam,13.Matchday,"Oct 28, 2012"
78,GNK Dinamo Zagreb,NK Istra 1961,3,1,HomeTeam,14.Matchday,"Nov 2, 2012"
79,HNK Rijeka,NK Zagreb,1,0,HomeTeam,14.Matchday,"Nov 3, 2012"
80,Slaven Belupo Koprivnica,RNK Split,2,2,Draw,14.Matchday,"Nov 3, 2012"
81,NK Inter Zapresic,HNK Cibalia Vinkovci,0,0,Draw,14.Matchday,"Nov 3, 2012"
82,HNK Hajduk Split,NK Zadar,3,0,HomeTeam,14.Matchday,"Nov 3, 2012"
83,NK Osijek,NK Lokomotiva Zagreb,1,2,AwayTeam,14.Matchday,"Nov 4, 2012"
