,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,Arka Gdynia,Legia Warszawa,0,0,Draw,1.Matchday,"Jul 24, 2005"
1,Korona Kielce,Cracovia,0,0,Draw,1.Matchday,"Jul 26, 2005"
2,Odra Wodzislaw Slaski,Zaglebie Lubin,0,0,Draw,1.Matchday,"Jul 26, 2005"
3,Pogon Szczecin,Wisla Plock,2,0,HomeTeam,1.Matchday,"Jul 26, 2005"
4,Lech Poznan,Polonia Warsaw,1,2,AwayTeam,1.Matchday,"Jul 26, 2005"
5,Gornik Leczna,Wisla Kraków,1,1,Draw,1.Matchday,"Jul 26, 2005"
6,GKS Belchatow,Górnik Zabrze,0,0,Draw,1.Matchday,"Jul 26, 2005"
7,Dyskobolia Grodzisk Wielkopolski,Amica Wronki,2,2,Draw,1.Matchday,"Jul 27, 2005"
8,Lech Poznan,Arka Gdynia,1,1,Draw,2.Matchday,"Jul 29, 2005"
9,Korona Kielce,Odra Wodzislaw Slaski,0,1,AwayTeam,2.Matchday,"Jul 30, 2005"
10,Polonia Warsaw,Wisla Plock,0,1,AwayTeam,2.Matchday,"Jul 30, 2005"
11,Wisla Kraków,GKS Belchatow,3,0,HomeTeam,2.Matchday,"Jul 30, 2005"
12,Zaglebie Lubin,Pogon Szczecin,1,1,Draw,2.Matchday,"Jul 30, 2005"
13,Górnik Zabrze,Dyskobolia Grodzisk Wielkopolski,0,0,Draw,2.Matchday,"Jul 30, 2005"
14,Gornik Leczna,Legia Warszawa,0,0,Draw,2.Matchday,"Jul 30, 2005"
15,Cracovia,Amica Wronki,1,0,HomeTeam,2.Matchday,"Jul 31, 2005"
16,GKS Belchatow,Legia Warszawa,0,3,AwayTeam,3.Matchday,"Aug 5, 2005"
17,Dyskobolia Grodzisk Wielkopolski,Wisla Kraków,2,4,AwayTeam,3.Matchday,"Aug 5, 2005"
18,Arka Gdynia,Gornik Leczna,1,1,Draw,3.Matchday,"Aug 6, 2005"
19,Górnik Zabrze,Cracovia,3,0,HomeTeam,3.Matchday,"Aug 6, 2005"
20,Odra Wodzislaw Slaski,Amica Wronki,0,4,AwayTeam,3.Matchday,"Aug 6, 2005"
21,Polonia Warsaw,Zaglebie Lubin,1,1,Draw,3.Matchday,"Aug 6, 2005"
22,Lech Poznan,Wisla Plock,3,2,HomeTeam,3.Matchday,"Aug 6, 2005"
23,Pogon Szczecin,Korona Kielce,4,2,HomeTeam,3.Matchday,"Aug 7, 2005"
24,Korona Kielce,Polonia Warsaw,3,2,HomeTeam,4.Matchday,"Aug 20, 2005"
25,Legia Warszawa,Dyskobolia Grodzisk Wielkopolski,0,2,AwayTeam,4.Matchday,"Aug 20, 2005"
26,Wisla Plock,Arka Gdynia,1,1,Draw,4.Matchday,"Aug 20, 2005"
27,Zaglebie Lubin,Lech Poznan,4,5,AwayTeam,4.Matchday,"Aug 20, 2005"
28,Gornik Leczna,GKS Belchatow,0,2,AwayTeam,4.Matchday,"Aug 20, 2005"
29,Górnik Zabrze,Odra Wodzislaw Slaski,1,1,Draw,4.Matchday,"Aug 20, 2005"
30,Amica Wronki,Pogon Szczecin,4,1,HomeTeam,4.Matchday,"Aug 21, 2005"
31,Wisla Kraków,Cracovia,3,0,HomeTeam,4.Matchday,"Nov 22, 2005"
32,Lech Poznan,Korona Kielce,0,0,Draw,5.Matchday,"Aug 26, 2005"
33,Odra Wodzislaw Slaski,Wisla Kraków,1,1,Draw,5.Matchday,"Aug 27, 2005"
34,Pogon Szczecin,Górnik Zabrze,1,1,Draw,5.Matchday,"Aug 27, 2005"
35,Polonia Warsaw,Amica Wronki,0,0,Draw,5.Matchday,"Aug 27, 2005"
36,GKS Belchatow,Arka Gdynia,1,1,Draw,5.Matchday,"Aug 27, 2005"
37,Dyskobolia Grodzisk Wielkopolski,Gornik Leczna,1,1,Draw,5.Matchday,"Aug 28, 2005"
38,Wisla Plock,Zaglebie Lubin,3,2,HomeTeam,5.Matchday,"Aug 28, 2005"
39,Cracovia,Legia Warszawa,1,1,Draw,5.Matchday,"Aug 28, 2005"
40,GKS Belchatow,Dyskobolia Grodzisk Wielkopolski,2,2,Draw,6.Matchday,"Sep 9, 2005"
41,Korona Kielce,Wisla Plock,2,3,AwayTeam,6.Matchday,"Sep 10, 2005"
42,Gornik Leczna,Cracovia,1,1,Draw,6.Matchday,"Sep 10, 2005"
