,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,Rio Ave FC,FC Porto,1,3,AwayTeam,1.Matchday,"Aug 12, 2016"
1,Moreirense FC,FC Paços de Ferreira,1,1,Draw,1.Matchday,"Aug 13, 2016"
2,Sporting CP,CS Marítimo,2,0,HomeTeam,1.Matchday,"Aug 13, 2016"
3,CD Tondela,SL Benfica,0,2,AwayTeam,1.Matchday,"Aug 13, 2016"
4,Boavista Porto FC,FC Arouca,2,0,HomeTeam,1.Matchday,"Aug 14, 2016"
5,Vitória Setúbal FC,Belenenses SAD,2,0,HomeTeam,1.Matchday,"Aug 14, 2016"
6,Vitória Guimarães SC,SC Braga,0,1,AwayTeam,1.Matchday,"Aug 14, 2016"
7,Estoril Praia,CD Feirense,0,2,AwayTeam,1.Matchday,"Aug 15, 2016"
8,CD Nacional,GD Chaves,0,1,AwayTeam,1.Matchday,"Sep 4, 2016"
9,Belenenses SAD,Boavista Porto FC,0,0,Draw,2.Matchday,"Aug 19, 2016"
10,CS Marítimo,Vitória Guimarães SC,0,2,AwayTeam,2.Matchday,"Aug 20, 2016"
11,GD Chaves,CD Tondela,1,1,Draw,2.Matchday,"Aug 20, 2016"
12,FC Paços de Ferreira,Sporting CP,0,1,AwayTeam,2.Matchday,"Aug 20, 2016"
13,FC Porto,Estoril Praia,1,0,HomeTeam,2.Matchday,"Aug 20, 2016"
14,CD Feirense,Moreirense FC,0,3,AwayTeam,2.Matchday,"Aug 21, 2016"
15,FC Arouca,CD Nacional,2,0,HomeTeam,2.Matchday,"Aug 21, 2016"
16,SL Benfica,Vitória Setúbal FC,1,1,Draw,2.Matchday,"Aug 21, 2016"
17,SC Braga,Rio Ave FC,1,1,Draw,2.Matchday,"Aug 22, 2016"
18,Vitória Guimarães SC,FC Paços de Ferreira,5,3,HomeTeam,3.Matchday,"Aug 26, 2016"
19,CD Tondela,Belenenses SAD,0,1,AwayTeam,3.Matchday,"Aug 27, 2016"
20,Estoril Praia,SC Braga,1,3,AwayTeam,3.Matchday,"Aug 27, 2016"
21,CD Nacional,SL Benfica,1,3,AwayTeam,3.Matchday,"Aug 27, 2016"
22,Boavista Porto FC,GD Chaves,2,2,Draw,3.Matchday,"Aug 28, 2016"
23,Moreirense FC,CS Marítimo,0,1,AwayTeam,3.Matchday,"Aug 28, 2016"
24,Sporting CP,FC Porto,2,1,HomeTeam,3.Matchday,"Aug 28, 2016"
25,Rio Ave FC,CD Feirense,1,0,HomeTeam,3.Matchday,"Aug 28, 2016"
26,Vitória Setúbal FC,FC Arouca,2,0,HomeTeam,3.Matchday,"Aug 28, 2016"
27,FC Arouca,SL Benfica,1,2,AwayTeam,4.Matchday,"Sep 9, 2016"
28,Belenenses SAD,CD Nacional,2,1,HomeTeam,4.Matchday,"Sep 10, 2016"
29,Sporting CP,Moreirense FC,3,0,HomeTeam,4.Matchday,"Sep 10, 2016"
30,FC Porto,Vitória Guimarães SC,3,0,HomeTeam,4.Matchday,"Sep 10, 2016"
31,FC Paços de Ferreira,Estoril Praia,0,0,Draw,4.Matchday,"Sep 11, 2016"
32,CS Marítimo,Rio Ave FC,0,1,AwayTeam,4.Matchday,"Sep 11, 2016"
33,SC Braga,Boavista Porto FC,3,0,HomeTeam,4.Matchday,"Sep 11, 2016"
34,GD Chaves,Vitória Setúbal FC,0,0,Draw,4.Matchday,"Sep 11, 2016"
35,CD Feirense,CD Tondela,2,1,HomeTeam,4.Matchday,"Sep 12, 2016"
36,CD Nacional,CS Marítimo,2,0,HomeTeam,5.Matchday,"Sep 16, 2016"
37,Estoril Praia,Moreirense FC,2,0,HomeTeam,5.Matchday,"Sep 17, 2016"
38,Vitória Setúbal FC,FC Paços de Ferreira,1,4,AwayTeam,5.Matchday,"Sep 17, 2016"
39,Vitória Guimarães SC,Belenenses SAD,1,1,Draw,5.Matchday,"Sep 17, 2016"
40,FC Arouca,GD Chaves,0,1,AwayTeam,5.Matchday,"Sep 18, 2016"
41,Boavista Porto FC,CD Feirense,1,2,AwayTeam,5.Matchday,"Sep 18, 2016"
42,CD Tondela,FC Porto,0,0,Draw,5.Matchday,"Sep 18, 2016"
43,Rio Ave FC,Sporting CP,3,1,HomeTeam,5.Matchday,"Sep 18, 2016"
44,SL Benfica,SC Braga,3,1,HomeTeam,5.Matchday,"Sep 19, 2016"
45,FC Porto,Boavista Porto FC,3,1,HomeTeam,6.Matchday,"Sep 23, 2016"
46,Sporting CP,Estoril Praia,4,2,HomeTeam,6.Matchday,"Sep 23, 2016"
47,CD Feirense,CD Nacional,0,3,AwayTeam,6.Matchday,"Sep 24, 2016"
48,GD Chaves,SL Benfica,0,2,AwayTeam,6.Matchday,"Sep 24, 2016"
49,SC Braga,Vitória Setúbal FC,2,1,HomeTeam,6.Matchday,"Sep 24, 2016"
50,CS Marítimo,CD Tondela,2,0,HomeTeam,6.Matchday,"Sep 25, 2016"
51,FC Paços de Ferreira,Rio Ave FC,2,1,HomeTeam,6.Matchday,"Sep 25, 2016"
52,Moreirense FC,Vitória Guimarães SC,0,1,AwayTeam,6.Matchday,"Sep 25, 2016"
53,Belenenses SAD,FC Arouca,1,1,Draw,6.Matchday,"Sep 26, 2016"
54,CD Tondela,FC Paços de Ferreira,2,1,HomeTeam,7.Matchday,"Sep 30, 2016"
55,Rio Ave FC,Estoril Praia,1,2,AwayTeam,7.Matchday,"Oct 1, 2016"
56,GD Chaves,Belenenses SAD,3,1,HomeTeam,7.Matchday,"Oct 1, 2016"
57,Vitória Guimarães SC,Sporting CP,3,3,Draw,7.Matchday,"Oct 1, 2016"
58,CD Nacional,FC Porto,0,4,AwayTeam,7.Matchday,"Oct 1, 2016"
59,SL Benfica,CD Feirense,4,0,HomeTeam,7.Matchday,"Oct 2, 2016"
60,Vitória Setúbal FC,CS Marítimo,0,1,AwayTeam,7.Matchday,"Oct 2, 2016"
61,Boavista Porto FC,Moreirense FC,2,0,HomeTeam,7.Matchday,"Oct 2, 2016"
62,FC Arouca,SC Braga,1,1,Draw,7.Matchday,"Oct 2, 2016"
63,FC Paços de Ferreira,CD Nacional,1,1,Draw,8.Matchday,"Oct 21, 2016"
64,CS Marítimo,Boavista Porto FC,1,1,Draw,8.Matchday,"Oct 21, 2016"
65,CD Feirense,Vitória Setúbal FC,1,1,Draw,8.Matchday,"Oct 22, 2016"
66,Sporting CP,CD Tondela,1,1,Draw,8.Matchday,"Oct 22, 2016"
67,FC Porto,FC Arouca,3,0,HomeTeam,8.Matchday,"Oct 22, 2016"
68,Moreirense FC,Rio Ave FC,1,1,Draw,8.Matchday,"Oct 23, 2016"
69,Estoril Praia,Vitória Guimarães SC,0,2,AwayTeam,8.Matchday,"Oct 23, 2016"
70,Belenenses SAD,SL Benfica,0,2,AwayTeam,8.Matchday,"Oct 23, 2016"
71,SC Braga,GD Chaves,1,0,HomeTeam,8.Matchday,"Oct 24, 2016"
72,SL Benfica,FC Paços de Ferreira,3,0,HomeTeam,9.Matchday,"Oct 28, 2016"
73,CD Nacional,Sporting CP,0,0,Draw,9.Matchday,"Oct 28, 2016"
74,CD Tondela,Moreirense FC,1,2,AwayTeam,9.Matchday,"Oct 29, 2016"
75,Vitória Setúbal FC,FC Porto,0,0,Draw,9.Matchday,"Oct 29, 2016"
76,Boavista Porto FC,Estoril Praia,0,0,Draw,9.Matchday,"Oct 29, 2016"
77,FC Arouca,CS Marítimo,1,0,HomeTeam,9.Matchday,"Oct 30, 2016"
78,Rio Ave FC,Vitória Guimarães SC,0,3,AwayTeam,9.Matchday,"Oct 30, 2016"
79,SC Braga,Belenenses SAD,2,1,HomeTeam,9.Matchday,"Oct 30, 2016"
80,GD Chaves,CD Feirense,1,1,Draw,9.Matchday,"Oct 31, 2016"
81,Vitória Guimarães SC,CD Nacional,2,1,HomeTeam,10.Matchday,"Nov 4, 2016"
82,Estoril Praia,CD Tondela,2,0,HomeTeam,10.Matchday,"Nov 5, 2016"
83,FC Paços de Ferreira,GD Chaves,1,1,Draw,10.Matchday,"Nov 5, 2016"
84,CD Feirense,Belenenses SAD,0,1,AwayTeam,10.Matchday,"Nov 5, 2016"
85,Rio Ave FC,Boavista Porto FC,1,2,AwayTeam,10.Matchday,"Nov 5, 2016"
86,Moreirense FC,Vitória Setúbal FC,1,2,AwayTeam,10.Matchday,"Nov 6, 2016"
87,FC Porto,SL Benfica,1,1,Draw,10.Matchday,"Nov 6, 2016"
88,Sporting CP,FC Arouca,3,0,HomeTeam,10.Matchday,"Nov 6, 2016"
89,CS Marítimo,SC Braga,1,0,HomeTeam,10.Matchday,"Nov 6, 2016"
90,Vitória Setúbal FC,Rio Ave FC,0,1,AwayTeam,11.Matchday,"Nov 25, 2016"
91,GD Chaves,CS Marítimo,0,0,Draw,11.Matchday,"Nov 26, 2016"
92,CD Nacional,Estoril Praia,0,1,AwayTeam,11.Matchday,"Nov 26, 2016"
93,Boavista Porto FC,Sporting CP,0,1,AwayTeam,11.Matchday,"Nov 26, 2016"
94,Belenenses SAD,FC Porto,0,0,Draw,11.Matchday,"Nov 26, 2016"
95,FC Arouca,FC Paços de Ferreira,1,0,HomeTeam,11.Matchday,"Nov 27, 2016"
96,SL Benfica,Moreirense FC,3,0,HomeTeam,11.Matchday,"Nov 27, 2016"
97,CD Tondela,Vitória Guimarães SC,2,1,HomeTeam,11.Matchday,"Nov 27, 2016"
98,SC Braga,CD Feirense,6,2,HomeTeam,11.Matchday,"Nov 28, 2016"
99,CS Marítimo,SL Benfica,2,1,HomeTeam,12.Matchday,"Dec 2, 2016"
100,Rio Ave FC,CD Tondela,3,1,HomeTeam,12.Matchday,"Dec 3, 2016"
101,Sporting CP,Vitória Setúbal FC,2,0,HomeTeam,12.Matchday,"Dec 3, 2016"
102,FC Porto,SC Braga,1,0,HomeTeam,12.Matchday,"Dec 3, 2016"
103,Moreirense FC,CD Nacional,3,1,HomeTeam,12.Matchday,"Dec 4, 2016"
104,CD Feirense,FC Arouca,0,2,AwayTeam,12.Matchday,"Dec 4, 2016"
105,Estoril Praia,Belenenses SAD,1,1,Draw,12.Matchday,"Dec 4, 2016"
106,Vitória Guimarães SC,GD Chaves,1,1,Draw,12.Matchday,"Dec 4, 2016"
107,FC Paços de Ferreira,Boavista Porto FC,2,1,HomeTeam,12.Matchday,"Dec 5, 2016"
108,Vitória Setúbal FC,Estoril Praia,2,0,HomeTeam,13.Matchday,"Dec 9, 2016"
109,Belenenses SAD,CS Marítimo,1,0,HomeTeam,13.Matchday,"Dec 10, 2016"
