,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,FC Zbrojovka Brno,FC Banik Ostrava,1,3,AwayTeam,1.Matchday,"Jul 28, 2017"
1,MFK Karvina,FC Vysocina Jihlava,2,0,HomeTeam,1.Matchday,"Jul 29, 2017"
2,1.FC Slovácko,FK Jablonec,1,1,Draw,1.Matchday,"Jul 29, 2017"
3,FC Viktoria Plzen,FK Dukla Prag,4,0,HomeTeam,1.Matchday,"Jul 29, 2017"
4,SK Slavia Prague,FK Teplice,1,0,HomeTeam,1.Matchday,"Jul 29, 2017"
5,FK Mladá Boleslav,SK Sigma Olomouc,1,2,AwayTeam,1.Matchday,"Jul 30, 2017"
6,FC Slovan Liberec,FC FASTAV Zlin,1,0,HomeTeam,1.Matchday,"Jul 30, 2017"
7,AC Sparta Praha,FC Bohemians Prag 1905,1,1,Draw,1.Matchday,"Jul 30, 2017"
8,FC Bohemians Prag 1905,MFK Karvina,2,1,HomeTeam,2.Matchday,"Aug 5, 2017"
9,SK Sigma Olomouc,FC Slovan Liberec,2,1,HomeTeam,2.Matchday,"Aug 5, 2017"
10,FK Teplice,FK Dukla Prag,3,1,HomeTeam,2.Matchday,"Aug 5, 2017"
11,FC FASTAV Zlin,FC Zbrojovka Brno,2,1,HomeTeam,2.Matchday,"Aug 5, 2017"
12,FK Jablonec,FC Viktoria Plzen,0,1,AwayTeam,2.Matchday,"Aug 6, 2017"
13,FC Vysocina Jihlava,1.FC Slovácko,0,0,Draw,2.Matchday,"Aug 6, 2017"
14,FC Banik Ostrava,SK Slavia Prague,0,0,Draw,2.Matchday,"Aug 6, 2017"
15,FK Mladá Boleslav,AC Sparta Praha,0,1,AwayTeam,2.Matchday,"Aug 7, 2017"
16,SK Slavia Prague,FC Vysocina Jihlava,2,0,HomeTeam,3.Matchday,"Aug 11, 2017"
17,FC Zbrojovka Brno,FC Bohemians Prag 1905,0,0,Draw,3.Matchday,"Aug 12, 2017"
18,FC Viktoria Plzen,SK Sigma Olomouc,1,0,HomeTeam,3.Matchday,"Aug 12, 2017"
19,1.FC Slovácko,FC Banik Ostrava,5,2,HomeTeam,3.Matchday,"Aug 12, 2017"
20,FK Teplice,FK Jablonec,1,1,Draw,3.Matchday,"Aug 13, 2017"
21,FK Dukla Prag,FC FASTAV Zlin,1,0,HomeTeam,3.Matchday,"Aug 13, 2017"
22,MFK Karvina,FK Mladá Boleslav,1,1,Draw,3.Matchday,"Aug 13, 2017"
23,FC Slovan Liberec,AC Sparta Praha,1,1,Draw,3.Matchday,"Aug 13, 2017"
24,AC Sparta Praha,1.FC Slovácko,1,0,HomeTeam,4.Matchday,"Aug 18, 2017"
25,FC Banik Ostrava,FK Teplice,3,3,Draw,4.Matchday,"Aug 19, 2017"
26,FC FASTAV Zlin,MFK Karvina,1,0,HomeTeam,4.Matchday,"Aug 19, 2017"
27,FC Bohemians Prag 1905,SK Slavia Prague,0,0,Draw,4.Matchday,"Aug 19, 2017"
28,FK Mladá Boleslav,FC Slovan Liberec,0,3,AwayTeam,4.Matchday,"Aug 19, 2017"
29,FK Jablonec,FK Dukla Prag,2,2,Draw,4.Matchday,"Aug 20, 2017"
30,SK Sigma Olomouc,FC Zbrojovka Brno,3,0,HomeTeam,4.Matchday,"Aug 20, 2017"
31,FC Vysocina Jihlava,FC Viktoria Plzen,1,2,AwayTeam,4.Matchday,"Aug 20, 2017"
32,FK Dukla Prag,FC Bohemians Prag 1905,2,0,HomeTeam,5.Matchday,"Aug 25, 2017"
33,MFK Karvina,FC Slovan Liberec,0,1,AwayTeam,5.Matchday,"Aug 26, 2017"
34,FC Zbrojovka Brno,AC Sparta Praha,2,0,HomeTeam,5.Matchday,"Aug 26, 2017"
35,1.FC Slovácko,SK Sigma Olomouc,0,0,Draw,5.Matchday,"Aug 26, 2017"
36,FK Jablonec,FC FASTAV Zlin,2,0,HomeTeam,5.Matchday,"Aug 27, 2017"
37,SK Slavia Prague,FK Mladá Boleslav,4,0,HomeTeam,5.Matchday,"Aug 27, 2017"
38,FK Teplice,FC Vysocina Jihlava,3,1,HomeTeam,5.Matchday,"Aug 27, 2017"
39,FC Viktoria Plzen,FC Banik Ostrava,3,0,HomeTeam,5.Matchday,"Aug 27, 2017"
40,FC Slovan Liberec,FC Viktoria Plzen,0,3,AwayTeam,6.Matchday,"Sep 9, 2017"
41,FC Banik Ostrava,FK Jablonec,2,2,Draw,6.Matchday,"Sep 9, 2017"
42,FC Bohemians Prag 1905,1.FC Slovácko,1,0,HomeTeam,6.Matchday,"Sep 9, 2017"
43,FC FASTAV Zlin,FK Teplice,2,0,HomeTeam,6.Matchday,"Sep 9, 2017"
44,SK Sigma Olomouc,SK Slavia Prague,1,1,Draw,6.Matchday,"Sep 9, 2017"
45,FK Mladá Boleslav,FC Zbrojovka Brno,3,0,HomeTeam,6.Matchday,"Sep 10, 2017"
46,AC Sparta Praha,MFK Karvina,2,0,HomeTeam,6.Matchday,"Sep 10, 2017"
47,FC Vysocina Jihlava,FK Dukla Prag,3,2,HomeTeam,6.Matchday,"Sep 10, 2017"
48,FK Dukla Prag,FC Banik Ostrava,2,0,HomeTeam,7.Matchday,"Sep 15, 2017"
49,FK Teplice,FC Bohemians Prag 1905,0,0,Draw,7.Matchday,"Sep 15, 2017"
50,FC Zbrojovka Brno,FC Slovan Liberec,1,2,AwayTeam,7.Matchday,"Sep 16, 2017"
51,MFK Karvina,SK Sigma Olomouc,3,5,AwayTeam,7.Matchday,"Sep 16, 2017"
52,1.FC Slovácko,FK Mladá Boleslav,0,1,AwayTeam,7.Matchday,"Sep 16, 2017"
53,FK Jablonec,FC Vysocina Jihlava,5,0,HomeTeam,7.Matchday,"Sep 17, 2017"
54,SK Slavia Prague,AC Sparta Praha,2,0,HomeTeam,7.Matchday,"Sep 17, 2017"
55,FC Viktoria Plzen,FC FASTAV Zlin,2,1,HomeTeam,7.Matchday,"Sep 18, 2017"
56,FC FASTAV Zlin,SK Slavia Prague,1,1,Draw,8.Matchday,"Sep 23, 2017"
57,FC Bohemians Prag 1905,FK Jablonec,0,1,AwayTeam,8.Matchday,"Sep 23, 2017"
58,SK Sigma Olomouc,FK Dukla Prag,3,0,HomeTeam,8.Matchday,"Sep 23, 2017"
59,FK Mladá Boleslav,FC Viktoria Plzen,0,2,AwayTeam,8.Matchday,"Sep 23, 2017"
60,MFK Karvina,FC Zbrojovka Brno,2,1,HomeTeam,8.Matchday,"Sep 24, 2017"
61,FC Vysocina Jihlava,FC Banik Ostrava,2,1,HomeTeam,8.Matchday,"Sep 24, 2017"
62,AC Sparta Praha,FK Teplice,3,0,HomeTeam,8.Matchday,"Sep 24, 2017"
63,FC Slovan Liberec,1.FC Slovácko,1,1,Draw,8.Matchday,"Sep 25, 2017"
64,FK Teplice,FC Slovan Liberec,2,1,HomeTeam,9.Matchday,"Sep 29, 2017"
65,1.FC Slovácko,MFK Karvina,0,0,Draw,9.Matchday,"Sep 30, 2017"
66,FK Dukla Prag,AC Sparta Praha,0,0,Draw,9.Matchday,"Sep 30, 2017"
67,FC Viktoria Plzen,FC Bohemians Prag 1905,2,1,HomeTeam,9.Matchday,"Oct 1, 2017"
68,FK Jablonec,FK Mladá Boleslav,3,1,HomeTeam,9.Matchday,"Oct 1, 2017"
69,FC Banik Ostrava,FC FASTAV Zlin,2,2,Draw,9.Matchday,"Oct 1, 2017"
70,FC Vysocina Jihlava,SK Sigma Olomouc,0,1,AwayTeam,9.Matchday,"Oct 1, 2017"
71,SK Slavia Prague,FC Zbrojovka Brno,2,0,HomeTeam,9.Matchday,"Oct 1, 2017"
72,FC Bohemians Prag 1905,FC Banik Ostrava,2,1,HomeTeam,10.Matchday,"Oct 13, 2017"
73,FC Zbrojovka Brno,1.FC Slovácko,2,1,HomeTeam,10.Matchday,"Oct 14, 2017"
74,FK Mladá Boleslav,FK Teplice,2,2,Draw,10.Matchday,"Oct 14, 2017"
75,SK Sigma Olomouc,FK Jablonec,0,0,Draw,10.Matchday,"Oct 14, 2017"
76,FC Slovan Liberec,FK Dukla Prag,3,0,HomeTeam,10.Matchday,"Oct 14, 2017"
77,FC FASTAV Zlin,FC Vysocina Jihlava,2,1,HomeTeam,10.Matchday,"Oct 14, 2017"
78,MFK Karvina,SK Slavia Prague,0,2,AwayTeam,10.Matchday,"Oct 14, 2017"
79,AC Sparta Praha,FC Viktoria Plzen,0,1,AwayTeam,10.Matchday,"Oct 15, 2017"
80,FK Dukla Prag,1.FC Slovácko,1,1,Draw,11.Matchday,"Oct 19, 2017"
81,FC Vysocina Jihlava,FC Bohemians Prag 1905,2,4,AwayTeam,11.Matchday,"Oct 20, 2017"
82,FC Banik Ostrava,SK Sigma Olomouc,1,1,Draw,11.Matchday,"Oct 20, 2017"
83,FK Teplice,MFK Karvina,1,0,HomeTeam,11.Matchday,"Oct 21, 2017"
84,FK Jablonec,AC Sparta Praha,0,3,AwayTeam,11.Matchday,"Oct 21, 2017"
85,FC Viktoria Plzen,FC Zbrojovka Brno,3,0,HomeTeam,11.Matchday,"Oct 22, 2017"
86,FC FASTAV Zlin,FK Mladá Boleslav,1,5,AwayTeam,11.Matchday,"Oct 22, 2017"
87,SK Slavia Prague,FC Slovan Liberec,1,2,AwayTeam,11.Matchday,"Oct 22, 2017"
88,MFK Karvina,FC Viktoria Plzen,1,3,AwayTeam,12.Matchday,"Oct 27, 2017"
89,FC Bohemians Prag 1905,FC FASTAV Zlin,1,1,Draw,12.Matchday,"Oct 28, 2017"
90,FC Zbrojovka Brno,FK Dukla Prag,0,0,Draw,12.Matchday,"Oct 28, 2017"
91,SK Sigma Olomouc,FK Teplice,1,0,HomeTeam,12.Matchday,"Oct 28, 2017"
92,FC Slovan Liberec,FK Jablonec,4,1,HomeTeam,12.Matchday,"Oct 28, 2017"
93,FK Mladá Boleslav,FC Vysocina Jihlava,2,1,HomeTeam,12.Matchday,"Oct 29, 2017"
94,1.FC Slovácko,SK Slavia Prague,0,3,AwayTeam,12.Matchday,"Oct 29, 2017"
95,AC Sparta Praha,FC Banik Ostrava,3,2,HomeTeam,12.Matchday,"Oct 29, 2017"
96,FC Banik Ostrava,FK Mladá Boleslav,0,1,AwayTeam,13.Matchday,"Nov 4, 2017"
97,FK Dukla Prag,MFK Karvina,3,2,HomeTeam,13.Matchday,"Nov 4, 2017"
98,FK Teplice,1.FC Slovácko,3,0,HomeTeam,13.Matchday,"Nov 4, 2017"
