,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,StageWinner,Date
0,AS Livorno,Rangers FC,2,3,AwayTeam,Group A,-,"Oct 19, 2006"
1,Maccabi Haifa,AJ Auxerre,3,1,HomeTeam,Group A,-,"Oct 19, 2006"
2,FK Partizan Belgrade,AS Livorno,1,1,Draw,Group A,-,"Nov 2, 2006"
3,Rangers FC,Maccabi Haifa,2,0,HomeTeam,Group A,-,"Nov 2, 2006"
4,AJ Auxerre,Rangers FC,2,2,Draw,Group A,-,"Nov 23, 2006"
5,Maccabi Haifa,FK Partizan Belgrade,1,0,HomeTeam,Group A,-,"Nov 23, 2006"
6,AS Livorno,Maccabi Haifa,1,1,Draw,Group A,-,"Nov 29, 2006"
7,FK Partizan Belgrade,AJ Auxerre,1,4,AwayTeam,Group A,-,"Nov 29, 2006"
8,AJ Auxerre,AS Livorno,0,1,AwayTeam,Group A,-,"Dec 14, 2006"
9,Rangers FC,FK Partizan Belgrade,1,0,HomeTeam,Group A,-,"Dec 14, 2006"
10,Besiktas JK,Tottenham Hotspur,0,2,AwayTeam,Group B,-,"Oct 19, 2006"
11,Club Brugge KV,Bayer 04 Leverkusen,1,1,Draw,Group B,-,"Oct 19, 2006"
12,Dinamo Bukarest,Besiktas JK,2,1,HomeTeam,Group B,-,"Nov 2, 2006"
13,Tottenham Hotspur,Club Brugge KV,3,1,HomeTeam,Group B,-,"Nov 2, 2006"
14,Bayer 04 Leverkusen,Tottenham Hotspur,0,1,AwayTeam,Group B,-,"Nov 23, 2006"
15,Club Brugge KV,Dinamo Bukarest,1,1,Draw,Group B,-,"Nov 23, 2006"
16,Dinamo Bukarest,Bayer 04 Leverkusen,2,1,HomeTeam,Group B,-,"Nov 29, 2006"
17,Besiktas JK,Club Brugge KV,2,1,HomeTeam,Group B,-,"Nov 29, 2006"
18,Bayer 04 Leverkusen,Besiktas JK,2,1,HomeTeam,Group B,-,"Dec 14, 2006"
19,Tottenham Hotspur,Dinamo Bukarest,3,1,HomeTeam,Group B,-,"Dec 14, 2006"
20,AZ Alkmaar,SC Braga,3,0,HomeTeam,Group C,-,"Oct 19, 2006"
21,FC Slovan Liberec,Sevilla FC,0,0,Draw,Group C,-,"Oct 19, 2006"
22,Grasshopper Club Zurich,AZ Alkmaar,2,5,AwayTeam,Group C,-,"Nov 2, 2006"
23,SC Braga,FC Slovan Liberec,4,0,HomeTeam,Group C,-,"Nov 2, 2006"
24,FC Slovan Liberec,Grasshopper Club Zurich,4,1,HomeTeam,Group C,-,"Nov 23, 2006"
25,Sevilla FC,SC Braga,2,0,HomeTeam,Group C,-,"Nov 23, 2006"
26,AZ Alkmaar,FC Slovan Liberec,2,2,Draw,Group C,-,"Nov 29, 2006"
27,Grasshopper Club Zurich,Sevilla FC,0,4,AwayTeam,Group C,-,"Nov 29, 2006"
28,SC Braga,Grasshopper Club Zurich,2,0,HomeTeam,Group C,-,"Dec 14, 2006"
29,Sevilla FC,AZ Alkmaar,1,2,AwayTeam,Group C,-,"Dec 14, 2006"
30,CA Osasuna,SC Heerenveen,0,0,Draw,Group D,-,"Oct 19, 2006"
31,Odense Boldklub,Parma FC,1,2,AwayTeam,Group D,-,"Oct 19, 2006"
32,SC Heerenveen,Odense Boldklub,0,2,AwayTeam,Group D,-,"Nov 2, 2006"
33,RC Lens,CA Osasuna,3,1,HomeTeam,Group D,-,"Nov 2, 2006"
34,Odense Boldklub,RC Lens,1,1,Draw,Group D,-,"Nov 23, 2006"
35,Parma FC,SC Heerenveen,2,1,HomeTeam,Group D,-,"Nov 23, 2006"
36,CA Osasuna,Odense Boldklub,3,1,HomeTeam,Group D,-,"Nov 29, 2006"
37,RC Lens,Parma FC,1,2,AwayTeam,Group D,-,"Nov 29, 2006"
38,Parma FC,CA Osasuna,0,3,AwayTeam,Group D,-,"Dec 14, 2006"
39,SC Heerenveen,RC Lens,1,0,HomeTeam,Group D,-,"Dec 14, 2006"
40,Wisla Kraków,Blackburn Rovers,1,2,AwayTeam,Group E,-,"Oct 19, 2006"
41,FC Basel 1893,Feyenoord Rotterdam,1,1,Draw,Group E,-,"Oct 19, 2006"
42,AS Nancy-Lorraine,Wisla Kraków,2,1,HomeTeam,Group E,-,"Nov 2, 2006"
43,Blackburn Rovers,FC Basel 1893,3,0,HomeTeam,Group E,-,"Nov 2, 2006"
44,FC Basel 1893,AS Nancy-Lorraine,2,2,Draw,Group E,-,"Nov 23, 2006"
45,Feyenoord Rotterdam,Blackburn Rovers,0,0,Draw,Group E,-,"Nov 23, 2006"
46,AS Nancy-Lorraine,Feyenoord Rotterdam,3,0,HomeTeam,Group E,-,"Nov 30, 2006"
