,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,StageWinner,Date
0,Olympique Marseille,Besiktas JK,2,0,HomeTeam,Group A,-,"Sep 18, 2007"
1,FC Porto,Liverpool FC,1,1,Draw,Group A,-,"Sep 18, 2007"
2,Besiktas JK,FC Porto,0,1,AwayTeam,Group A,-,"Oct 3, 2007"
3,Liverpool FC,Olympique Marseille,0,1,AwayTeam,Group A,-,"Oct 3, 2007"
4,Olympique Marseille,FC Porto,1,1,Draw,Group A,-,"Oct 24, 2007"
5,Besiktas JK,Liverpool FC,2,1,HomeTeam,Group A,-,"Oct 24, 2007"
6,FC Porto,Olympique Marseille,2,1,HomeTeam,Group A,-,"Nov 6, 2007"
7,Liverpool FC,Besiktas JK,8,0,HomeTeam,Group A,-,"Nov 6, 2007"
8,Liverpool FC,FC Porto,4,1,HomeTeam,Group A,-,"Nov 28, 2007"
9,Besiktas JK,Olympique Marseille,2,1,HomeTeam,Group A,-,"Nov 28, 2007"
10,Olympique Marseille,Liverpool FC,0,4,AwayTeam,Group A,-,"Dec 11, 2007"
11,FC Porto,Besiktas JK,2,0,HomeTeam,Group A,-,"Dec 11, 2007"
12,FC Schalke 04,Valencia CF,0,1,AwayTeam,Group B,-,"Sep 18, 2007"
13,Chelsea FC,Rosenborg BK,1,1,Draw,Group B,-,"Sep 18, 2007"
14,Rosenborg BK,FC Schalke 04,0,2,AwayTeam,Group B,-,"Oct 3, 2007"
15,Valencia CF,Chelsea FC,1,2,AwayTeam,Group B,-,"Oct 3, 2007"
16,Rosenborg BK,Valencia CF,2,0,HomeTeam,Group B,-,"Oct 24, 2007"
17,Chelsea FC,FC Schalke 04,2,0,HomeTeam,Group B,-,"Oct 24, 2007"
18,FC Schalke 04,Chelsea FC,0,0,Draw,Group B,-,"Nov 6, 2007"
19,Valencia CF,Rosenborg BK,0,2,AwayTeam,Group B,-,"Nov 6, 2007"
20,Valencia CF,FC Schalke 04,0,0,Draw,Group B,-,"Nov 28, 2007"
21,Rosenborg BK,Chelsea FC,0,4,AwayTeam,Group B,-,"Nov 28, 2007"
22,Chelsea FC,Valencia CF,0,0,Draw,Group B,-,"Dec 11, 2007"
23,FC Schalke 04,Rosenborg BK,3,1,HomeTeam,Group B,-,"Dec 11, 2007"
24,Real Madrid,SV Werder Bremen,2,1,HomeTeam,Group C,-,"Sep 18, 2007"
