,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,FK Cukaricki,FK Javor-Matis Ivanjica,0,1,AwayTeam,1.Matchday,"Aug 15, 2009"
1,FK BSK Borca,Mladi Radnik Pozarevac,2,3,AwayTeam,1.Matchday,"Aug 15, 2009"
2,FK Spartak Subotica,OFK Beograd,0,1,AwayTeam,1.Matchday,"Aug 15, 2009"
3,FK Jagodina,Red Star Belgrade,0,3,AwayTeam,1.Matchday,"Aug 15, 2009"
4,FK Napredak Krusevac,FK Metalac Gornji Milanovac,2,0,HomeTeam,1.Matchday,"Aug 15, 2009"
5,FK Partizan Belgrade,FK Borac Cacak,5,0,HomeTeam,1.Matchday,"Aug 15, 2009"
6,FK Hajduk Kula,FK Vojvodina Novi Sad,0,3,AwayTeam,1.Matchday,"Aug 16, 2009"
7,FK Rad,FK Smederevo,3,2,HomeTeam,1.Matchday,"Aug 16, 2009"
8,FK Vojvodina Novi Sad,FK Metalac Gornji Milanovac,1,0,HomeTeam,2.Matchday,"Aug 22, 2009"
9,FK Smederevo,FK Napredak Krusevac,1,0,HomeTeam,2.Matchday,"Aug 22, 2009"
10,OFK Beograd,FK Jagodina,1,0,HomeTeam,2.Matchday,"Aug 22, 2009"
11,Mladi Radnik Pozarevac,FK Spartak Subotica,1,1,Draw,2.Matchday,"Aug 22, 2009"
12,FK Borac Cacak,FK BSK Borca,2,0,HomeTeam,2.Matchday,"Aug 22, 2009"
13,FK Javor-Matis Ivanjica,FK Partizan Belgrade,1,1,Draw,2.Matchday,"Aug 23, 2009"
14,FK Hajduk Kula,FK Cukaricki,2,1,HomeTeam,2.Matchday,"Aug 23, 2009"
15,Red Star Belgrade,FK Rad,1,0,HomeTeam,2.Matchday,"Aug 23, 2009"
16,FK Cukaricki,FK Vojvodina Novi Sad,1,3,AwayTeam,3.Matchday,"Aug 29, 2009"
17,FK BSK Borca,FK Javor-Matis Ivanjica,1,0,HomeTeam,3.Matchday,"Aug 29, 2009"
18,FK Spartak Subotica,FK Borac Cacak,1,0,HomeTeam,3.Matchday,"Aug 29, 2009"
19,FK Jagodina,Mladi Radnik Pozarevac,2,0,HomeTeam,3.Matchday,"Aug 29, 2009"
20,FK Metalac Gornji Milanovac,FK Smederevo,0,2,AwayTeam,3.Matchday,"Aug 29, 2009"
21,FK Rad,OFK Beograd,0,2,AwayTeam,3.Matchday,"Aug 30, 2009"
22,FK Partizan Belgrade,FK Hajduk Kula,1,0,HomeTeam,3.Matchday,"Aug 30, 2009"
