,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,StageWinner,Date
0,Chelsea FC,SV Werder Bremen,2,0,HomeTeam,Group A,-,"Sep 12, 2006"
1,FC Barcelona,Levski Sofia,5,0,HomeTeam,Group A,-,"Sep 12, 2006"
2,Levski Sofia,Chelsea FC,1,3,AwayTeam,Group A,-,"Sep 27, 2006"
3,SV Werder Bremen,FC Barcelona,1,1,Draw,Group A,-,"Sep 27, 2006"
4,SV Werder Bremen,Levski Sofia,2,0,HomeTeam,Group A,-,"Oct 18, 2006"
5,Chelsea FC,FC Barcelona,1,0,HomeTeam,Group A,-,"Oct 18, 2006"
6,Levski Sofia,SV Werder Bremen,0,3,AwayTeam,Group A,-,"Oct 31, 2006"
7,FC Barcelona,Chelsea FC,2,2,Draw,Group A,-,"Oct 31, 2006"
8,SV Werder Bremen,Chelsea FC,1,0,HomeTeam,Group A,-,"Nov 22, 2006"
9,Levski Sofia,FC Barcelona,0,2,AwayTeam,Group A,-,"Nov 22, 2006"
10,Chelsea FC,Levski Sofia,2,0,HomeTeam,Group A,-,"Dec 5, 2006"
11,FC Barcelona,SV Werder Bremen,2,0,HomeTeam,Group A,-,"Dec 5, 2006"
12,Bayern Munich,Spartak Moscow,4,0,HomeTeam,Group B,-,"Sep 12, 2006"
13,Sporting CP,FC Internazionale,1,0,HomeTeam,Group B,-,"Sep 12, 2006"
14,Spartak Moscow,Sporting CP,1,1,Draw,Group B,-,"Sep 27, 2006"
15,FC Internazionale,Bayern Munich,0,2,AwayTeam,Group B,-,"Sep 27, 2006"
16,Sporting CP,Bayern Munich,0,1,AwayTeam,Group B,-,"Oct 18, 2006"
17,FC Internazionale,Spartak Moscow,2,1,HomeTeam,Group B,-,"Oct 18, 2006"
18,Spartak Moscow,FC Internazionale,0,1,AwayTeam,Group B,-,"Oct 31, 2006"
19,Bayern Munich,Sporting CP,0,0,Draw,Group B,-,"Oct 31, 2006"
20,Spartak Moscow,Bayern Munich,2,2,Draw,Group B,-,"Nov 22, 2006"
21,FC Internazionale,Sporting CP,1,0,HomeTeam,Group B,-,"Nov 22, 2006"
22,Bayern Munich,FC Internazionale,1,1,Draw,Group B,-,"Dec 5, 2006"
23,Sporting CP,Spartak Moscow,1,3,AwayTeam,Group B,-,"Dec 5, 2006"
24,PSV Eindhoven,Liverpool FC,0,0,Draw,Group C,-,"Sep 12, 2006"
25,Galatasaray SK,FC Girondins Bordeaux,0,0,Draw,Group C,-,"Sep 12, 2006"
26,Liverpool FC,Galatasaray SK,3,2,HomeTeam,Group C,-,"Sep 27, 2006"
