,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,StageWinner,Date
0,Club Brugge KV,Borussia Dortmund,0,1,AwayTeam,Group A,-,"Sep 18, 2018"
1,AS Monaco,Atlético Madrid,1,2,AwayTeam,Group A,-,"Sep 18, 2018"
2,Borussia Dortmund,AS Monaco,3,0,HomeTeam,Group A,-,"Oct 3, 2018"
3,Atlético Madrid,Club Brugge KV,3,1,HomeTeam,Group A,-,"Oct 3, 2018"
4,Club Brugge KV,AS Monaco,1,1,Draw,Group A,-,"Oct 24, 2018"
5,Borussia Dortmund,Atlético Madrid,4,0,HomeTeam,Group A,-,"Oct 24, 2018"
6,AS Monaco,Club Brugge KV,0,4,AwayTeam,Group A,-,"Nov 6, 2018"
7,Atlético Madrid,Borussia Dortmund,2,0,HomeTeam,Group A,-,"Nov 6, 2018"
8,Atlético Madrid,AS Monaco,2,0,HomeTeam,Group A,-,"Nov 28, 2018"
9,Borussia Dortmund,Club Brugge KV,0,0,Draw,Group A,-,"Nov 28, 2018"
10,AS Monaco,Borussia Dortmund,0,2,AwayTeam,Group A,-,"Dec 11, 2018"
11,Club Brugge KV,Atlético Madrid,0,0,Draw,Group A,-,"Dec 11, 2018"
12,FC Barcelona,PSV Eindhoven,4,0,HomeTeam,Group B,-,"Sep 18, 2018"
13,Inter Milan,Tottenham Hotspur,2,1,HomeTeam,Group B,-,"Sep 18, 2018"
14,PSV Eindhoven,Inter Milan,1,2,AwayTeam,Group B,-,"Oct 3, 2018"
15,Tottenham Hotspur,FC Barcelona,2,4,AwayTeam,Group B,-,"Oct 3, 2018"
16,PSV Eindhoven,Tottenham Hotspur,2,2,Draw,Group B,-,"Oct 24, 2018"
17,FC Barcelona,Inter Milan,2,0,HomeTeam,Group B,-,"Oct 24, 2018"
18,Inter Milan,FC Barcelona,1,1,Draw,Group B,-,"Nov 6, 2018"
19,Tottenham Hotspur,PSV Eindhoven,2,1,HomeTeam,Group B,-,"Nov 6, 2018"
20,Tottenham Hotspur,Inter Milan,1,0,HomeTeam,Group B,-,"Nov 28, 2018"
21,PSV Eindhoven,FC Barcelona,1,2,AwayTeam,Group B,-,"Nov 28, 2018"
22,Inter Milan,PSV Eindhoven,1,1,Draw,Group B,-,"Dec 11, 2018"
23,FC Barcelona,Tottenham Hotspur,1,1,Draw,Group B,-,"Dec 11, 2018"
24,Red Star Belgrade,SSC Napoli,0,0,Draw,Group C,-,"Sep 18, 2018"
25,Liverpool FC,Paris Saint-Germain,3,2,HomeTeam,Group C,-,"Sep 18, 2018"
26,Paris Saint-Germain,Red Star Belgrade,6,1,HomeTeam,Group C,-,"Oct 3, 2018"
27,SSC Napoli,Liverpool FC,1,0,HomeTeam,Group C,-,"Oct 3, 2018"
28,Liverpool FC,Red Star Belgrade,4,0,HomeTeam,Group C,-,"Oct 24, 2018"
29,Paris Saint-Germain,SSC Napoli,2,2,Draw,Group C,-,"Oct 24, 2018"
30,Red Star Belgrade,Liverpool FC,2,0,HomeTeam,Group C,-,"Nov 6, 2018"
31,SSC Napoli,Paris Saint-Germain,1,1,Draw,Group C,-,"Nov 6, 2018"
32,SSC Napoli,Red Star Belgrade,3,1,HomeTeam,Group C,-,"Nov 28, 2018"
33,Paris Saint-Germain,Liverpool FC,2,1,HomeTeam,Group C,-,"Nov 28, 2018"
34,Liverpool FC,SSC Napoli,1,0,HomeTeam,Group C,-,"Dec 11, 2018"
35,Red Star Belgrade,Paris Saint-Germain,1,4,AwayTeam,Group C,-,"Dec 11, 2018"
36,FC Schalke 04,FC Porto,1,1,Draw,Group D,-,"Sep 18, 2018"
37,Galatasaray SK,Lokomotiv Moscow,3,0,HomeTeam,Group D,-,"Sep 18, 2018"
38,Lokomotiv Moscow,FC Schalke 04,0,1,AwayTeam,Group D,-,"Oct 3, 2018"
39,FC Porto,Galatasaray SK,1,0,HomeTeam,Group D,-,"Oct 3, 2018"
40,Galatasaray SK,FC Schalke 04,0,0,Draw,Group D,-,"Oct 24, 2018"
41,Lokomotiv Moscow,FC Porto,1,3,AwayTeam,Group D,-,"Oct 24, 2018"
42,FC Porto,Lokomotiv Moscow,4,1,HomeTeam,Group D,-,"Nov 6, 2018"
43,FC Schalke 04,Galatasaray SK,2,0,HomeTeam,Group D,-,"Nov 6, 2018"
44,Lokomotiv Moscow,Galatasaray SK,2,0,HomeTeam,Group D,-,"Nov 28, 2018"
45,FC Porto,FC Schalke 04,3,1,HomeTeam,Group D,-,"Nov 28, 2018"
46,Galatasaray SK,FC Porto,2,3,AwayTeam,Group D,-,"Dec 11, 2018"
47,FC Schalke 04,Lokomotiv Moscow,1,0,HomeTeam,Group D,-,"Dec 11, 2018"
48,Ajax Amsterdam,AEK Athens,3,0,HomeTeam,Group E,-,"Sep 19, 2018"
49,SL Benfica,Bayern Munich,0,2,AwayTeam,Group E,-,"Sep 19, 2018"
50,AEK Athens,SL Benfica,2,3,AwayTeam,Group E,-,"Oct 2, 2018"
51,Bayern Munich,Ajax Amsterdam,1,1,Draw,Group E,-,"Oct 2, 2018"
52,AEK Athens,Bayern Munich,0,2,AwayTeam,Group E,-,"Oct 23, 2018"
53,Ajax Amsterdam,SL Benfica,1,0,HomeTeam,Group E,-,"Oct 23, 2018"
54,SL Benfica,Ajax Amsterdam,1,1,Draw,Group E,-,"Nov 7, 2018"
55,Bayern Munich,AEK Athens,2,0,HomeTeam,Group E,-,"Nov 7, 2018"
56,AEK Athens,Ajax Amsterdam,0,2,AwayTeam,Group E,-,"Nov 27, 2018"
57,Bayern Munich,SL Benfica,5,1,HomeTeam,Group E,-,"Nov 27, 2018"
58,Ajax Amsterdam,Bayern Munich,3,3,Draw,Group E,-,"Dec 12, 2018"
