,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,StageWinner,Date
0,Borussia Mönchengladbach,Villarreal CF,1,1,Draw,Group A,-,"Sep 18, 2014"
1,Apollon Limassol,FC Zürich,3,2,HomeTeam,Group A,-,"Sep 18, 2014"
2,Villarreal CF,Apollon Limassol,4,0,HomeTeam,Group A,-,"Oct 2, 2014"
3,FC Zürich,Borussia Mönchengladbach,1,1,Draw,Group A,-,"Oct 2, 2014"
4,Borussia Mönchengladbach,Apollon Limassol,5,0,HomeTeam,Group A,-,"Oct 23, 2014"
5,Villarreal CF,FC Zürich,4,1,HomeTeam,Group A,-,"Oct 23, 2014"
6,Apollon Limassol,Borussia Mönchengladbach,0,2,AwayTeam,Group A,-,"Nov 6, 2014"
7,FC Zürich,Villarreal CF,3,2,HomeTeam,Group A,-,"Nov 6, 2014"
8,FC Zürich,Apollon Limassol,3,1,HomeTeam,Group A,-,"Nov 27, 2014"
9,Villarreal CF,Borussia Mönchengladbach,2,2,Draw,Group A,-,"Nov 27, 2014"
10,Borussia Mönchengladbach,FC Zürich,3,0,HomeTeam,Group A,-,"Dec 11, 2014"
11,Apollon Limassol,Villarreal CF,0,2,AwayTeam,Group A,-,"Dec 11, 2014"
12,Club Brugge KV,Torino FC,0,0,Draw,Group B,-,"Sep 18, 2014"
13,FC Copenhagen,HJK Helsinki,2,0,HomeTeam,Group B,-,"Sep 18, 2014"
14,HJK Helsinki,Club Brugge KV,0,3,AwayTeam,Group B,-,"Oct 2, 2014"
15,Torino FC,FC Copenhagen,1,0,HomeTeam,Group B,-,"Oct 2, 2014"
16,Torino FC,HJK Helsinki,2,0,HomeTeam,Group B,-,"Oct 23, 2014"
17,Club Brugge KV,FC Copenhagen,1,1,Draw,Group B,-,"Oct 23, 2014"
18,HJK Helsinki,Torino FC,2,1,HomeTeam,Group B,-,"Nov 6, 2014"
19,FC Copenhagen,Club Brugge KV,0,4,AwayTeam,Group B,-,"Nov 6, 2014"
20,Torino FC,Club Brugge KV,0,0,Draw,Group B,-,"Nov 27, 2014"
21,HJK Helsinki,FC Copenhagen,2,1,HomeTeam,Group B,-,"Nov 27, 2014"
22,Club Brugge KV,HJK Helsinki,2,1,HomeTeam,Group B,-,"Dec 11, 2014"
23,FC Copenhagen,Torino FC,1,5,AwayTeam,Group B,-,"Dec 11, 2014"
24,FK Partizan Belgrade,Tottenham Hotspur,0,0,Draw,Group C,-,"Sep 18, 2014"
25,Besiktas JK,Asteras Tripolis,1,1,Draw,Group C,-,"Sep 18, 2014"
26,Asteras Tripolis,FK Partizan Belgrade,2,0,HomeTeam,Group C,-,"Oct 2, 2014"
27,Tottenham Hotspur,Besiktas JK,1,1,Draw,Group C,-,"Oct 2, 2014"
28,Tottenham Hotspur,Asteras Tripolis,5,1,HomeTeam,Group C,-,"Oct 23, 2014"
29,FK Partizan Belgrade,Besiktas JK,0,4,AwayTeam,Group C,-,"Oct 23, 2014"
30,Besiktas JK,FK Partizan Belgrade,2,1,HomeTeam,Group C,-,"Nov 6, 2014"
31,Asteras Tripolis,Tottenham Hotspur,1,2,AwayTeam,Group C,-,"Nov 6, 2014"
32,Tottenham Hotspur,FK Partizan Belgrade,1,0,HomeTeam,Group C,-,"Nov 27, 2014"
33,Asteras Tripolis,Besiktas JK,2,2,Draw,Group C,-,"Nov 27, 2014"
34,FK Partizan Belgrade,Asteras Tripolis,0,0,Draw,Group C,-,"Dec 11, 2014"
35,Besiktas JK,Tottenham Hotspur,1,0,HomeTeam,Group C,-,"Dec 11, 2014"
36,Red Bull Salzburg,Celtic FC,2,2,Draw,Group D,-,"Sep 18, 2014"
37,GNK Dinamo Zagreb,Astra Giurgiu,5,1,HomeTeam,Group D,-,"Sep 18, 2014"
38,Celtic FC,GNK Dinamo Zagreb,1,0,HomeTeam,Group D,-,"Oct 2, 2014"
39,Astra Giurgiu,Red Bull Salzburg,1,2,AwayTeam,Group D,-,"Oct 2, 2014"
40,Celtic FC,Astra Giurgiu,2,1,HomeTeam,Group D,-,"Oct 23, 2014"
41,Red Bull Salzburg,GNK Dinamo Zagreb,4,2,HomeTeam,Group D,-,"Oct 23, 2014"
42,Astra Giurgiu,Celtic FC,1,1,Draw,Group D,-,"Nov 6, 2014"
43,GNK Dinamo Zagreb,Red Bull Salzburg,1,5,AwayTeam,Group D,-,"Nov 6, 2014"
44,Astra Giurgiu,GNK Dinamo Zagreb,1,0,HomeTeam,Group D,-,"Nov 27, 2014"
45,Celtic FC,Red Bull Salzburg,1,3,AwayTeam,Group D,-,"Nov 27, 2014"
46,Red Bull Salzburg,Astra Giurgiu,5,1,HomeTeam,Group D,-,"Dec 11, 2014"
47,GNK Dinamo Zagreb,Celtic FC,4,3,HomeTeam,Group D,-,"Dec 11, 2014"
48,Panathinaikos Athens,Dinamo Moscow,1,2,AwayTeam,Group E,-,"Sep 18, 2014"
49,PSV Eindhoven,Estoril Praia,1,0,HomeTeam,Group E,-,"Sep 18, 2014"
50,Dinamo Moscow,PSV Eindhoven,1,0,HomeTeam,Group E,-,"Oct 2, 2014"
51,Estoril Praia,Panathinaikos Athens,2,0,HomeTeam,Group E,-,"Oct 2, 2014"
52,PSV Eindhoven,Panathinaikos Athens,1,1,Draw,Group E,-,"Oct 23, 2014"
