,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,StageWinner,Date
0,Bayern Munich,Celtic FC,2,1,HomeTeam,Group A,-,"Sep 17, 2003"
1,Olympique Lyon,RSC Anderlecht,1,0,HomeTeam,Group A,-,"Sep 17, 2003"
2,RSC Anderlecht,Bayern Munich,1,1,Draw,Group A,-,"Sep 30, 2003"
3,Celtic FC,Olympique Lyon,2,0,HomeTeam,Group A,-,"Sep 30, 2003"
4,RSC Anderlecht,Celtic FC,1,0,HomeTeam,Group A,-,"Oct 21, 2003"
5,Olympique Lyon,Bayern Munich,1,1,Draw,Group A,-,"Oct 21, 2003"
6,Bayern Munich,Olympique Lyon,1,2,AwayTeam,Group A,-,"Nov 5, 2003"
7,Celtic FC,RSC Anderlecht,3,1,HomeTeam,Group A,-,"Nov 5, 2003"
8,RSC Anderlecht,Olympique Lyon,1,0,HomeTeam,Group A,-,"Nov 25, 2003"
9,Celtic FC,Bayern Munich,0,0,Draw,Group A,-,"Nov 25, 2003"
10,Bayern Munich,RSC Anderlecht,1,0,HomeTeam,Group A,-,"Dec 10, 2003"
11,Olympique Lyon,Celtic FC,3,2,HomeTeam,Group A,-,"Dec 10, 2003"
12,Dynamo Kyiv,Lokomotiv Moscow,2,0,HomeTeam,Group B,-,"Sep 17, 2003"
13,Arsenal FC,FC Internazionale,0,3,AwayTeam,Group B,-,"Sep 17, 2003"
14,Lokomotiv Moscow,Arsenal FC,0,0,Draw,Group B,-,"Sep 30, 2003"
15,FC Internazionale,Dynamo Kyiv,2,1,HomeTeam,Group B,-,"Sep 30, 2003"
16,Lokomotiv Moscow,FC Internazionale,3,0,HomeTeam,Group B,-,"Oct 21, 2003"
17,Dynamo Kyiv,Arsenal FC,2,1,HomeTeam,Group B,-,"Oct 21, 2003"
18,FC Internazionale,Lokomotiv Moscow,1,1,Draw,Group B,-,"Nov 5, 2003"
19,Arsenal FC,Dynamo Kyiv,1,0,HomeTeam,Group B,-,"Nov 5, 2003"
20,Lokomotiv Moscow,Dynamo Kyiv,3,2,HomeTeam,Group B,-,"Nov 25, 2003"
21,FC Internazionale,Arsenal FC,1,5,AwayTeam,Group B,-,"Nov 25, 2003"
22,Dynamo Kyiv,FC Internazionale,1,1,Draw,Group B,-,"Dec 10, 2003"
