,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,NK Interblock Ljubljana,NK Nafta 1903,1,0,HomeTeam,1.Matchday,"Jul 20, 2007"
1,NK Celje,NK Primorje Ajdovscina,2,1,HomeTeam,1.Matchday,"Jul 21, 2007"
2,FC Koper,NK Ivancna Gorica,2,0,HomeTeam,1.Matchday,"Jul 22, 2007"
3,NK Drava Dakinda Ptuj,NK Maribor,1,3,AwayTeam,1.Matchday,"Jul 22, 2007"
4,ND Gorica,NK Domzale,1,1,Draw,1.Matchday,"Jul 22, 2007"
5,NK Interblock Ljubljana,NK Celje,1,1,Draw,2.Matchday,"Jul 27, 2007"
6,NK Maribor,ND Gorica,2,1,HomeTeam,2.Matchday,"Jul 28, 2007"
7,NK Nafta 1903,NK Ivancna Gorica,3,1,HomeTeam,2.Matchday,"Jul 28, 2007"
8,NK Domzale,FC Koper,0,0,Draw,2.Matchday,"Jul 28, 2007"
9,NK Primorje Ajdovscina,NK Drava Dakinda Ptuj,2,1,HomeTeam,2.Matchday,"Jul 29, 2007"
10,NK Celje,NK Nafta 1903,0,0,Draw,3.Matchday,"Aug 4, 2007"
11,FC Koper,NK Maribor,2,1,HomeTeam,3.Matchday,"Aug 5, 2007"
12,NK Drava Dakinda Ptuj,NK Interblock Ljubljana,2,0,HomeTeam,3.Matchday,"Aug 5, 2007"
13,ND Gorica,NK Primorje Ajdovscina,1,0,HomeTeam,3.Matchday,"Aug 6, 2007"
14,NK Ivancna Gorica,NK Domzale,0,1,AwayTeam,3.Matchday,"Aug 15, 2007"
15,NK Interblock Ljubljana,ND Gorica,0,1,AwayTeam,4.Matchday,"Aug 10, 2007"
16,NK Maribor,NK Ivancna Gorica,3,2,HomeTeam,4.Matchday,"Aug 11, 2007"
17,NK Nafta 1903,NK Domzale,0,6,AwayTeam,4.Matchday,"Aug 11, 2007"
18,NK Celje,NK Drava Dakinda Ptuj,6,0,HomeTeam,4.Matchday,"Aug 11, 2007"
19,NK Primorje Ajdovscina,FC Koper,2,0,HomeTeam,4.Matchday,"Aug 12, 2007"
20,FC Koper,NK Interblock Ljubljana,1,1,Draw,5.Matchday,"Aug 18, 2007"
21,NK Domzale,NK Maribor,4,0,HomeTeam,5.Matchday,"Aug 18, 2007"
22,NK Drava Dakinda Ptuj,NK Nafta 1903,2,2,Draw,5.Matchday,"Aug 19, 2007"
23,NK Ivancna Gorica,NK Primorje Ajdovscina,0,5,AwayTeam,5.Matchday,"Aug 19, 2007"
24,ND Gorica,NK Celje,0,0,Draw,5.Matchday,"Aug 19, 2007"
25,NK Interblock Ljubljana,NK Ivancna Gorica,5,1,HomeTeam,6.Matchday,"Aug 24, 2007"
26,NK Nafta 1903,NK Maribor,1,1,Draw,6.Matchday,"Aug 25, 2007"
27,NK Celje,FC Koper,0,1,AwayTeam,6.Matchday,"Aug 25, 2007"
28,NK Primorje Ajdovscina,NK Domzale,0,2,AwayTeam,6.Matchday,"Aug 26, 2007"
29,NK Drava Dakinda Ptuj,ND Gorica,1,0,HomeTeam,6.Matchday,"Aug 26, 2007"
30,ND Gorica,NK Nafta 1903,3,4,AwayTeam,7.Matchday,"Sep 1, 2007"
31,FC Koper,NK Drava Dakinda Ptuj,2,1,HomeTeam,7.Matchday,"Sep 1, 2007"
32,NK Maribor,NK Primorje Ajdovscina,0,0,Draw,7.Matchday,"Sep 1, 2007"
33,NK Domzale,NK Interblock Ljubljana,2,1,HomeTeam,7.Matchday,"Sep 1, 2007"
34,NK Ivancna Gorica,NK Celje,1,2,AwayTeam,7.Matchday,"Sep 2, 2007"
35,NK Nafta 1903,NK Primorje Ajdovscina,2,1,HomeTeam,8.Matchday,"Sep 15, 2007"
36,ND Gorica,FC Koper,2,3,AwayTeam,8.Matchday,"Sep 15, 2007"
37,NK Celje,NK Domzale,2,0,HomeTeam,8.Matchday,"Sep 15, 2007"
38,NK Interblock Ljubljana,NK Maribor,0,1,AwayTeam,8.Matchday,"Sep 16, 2007"
39,NK Drava Dakinda Ptuj,NK Ivancna Gorica,1,3,AwayTeam,8.Matchday,"Sep 16, 2007"
40,FC Koper,NK Nafta 1903,1,1,Draw,9.Matchday,"Sep 22, 2007"
41,NK Primorje Ajdovscina,NK Interblock Ljubljana,2,0,HomeTeam,9.Matchday,"Sep 22, 2007"
42,NK Ivancna Gorica,ND Gorica,0,1,AwayTeam,9.Matchday,"Sep 22, 2007"
43,NK Domzale,NK Drava Dakinda Ptuj,4,1,HomeTeam,9.Matchday,"Sep 22, 2007"
44,NK Maribor,NK Celje,0,1,AwayTeam,9.Matchday,"Sep 23, 2007"
45,NK Primorje Ajdovscina,NK Celje,0,2,AwayTeam,10.Matchday,"Sep 26, 2007"
46,NK Maribor,NK Drava Dakinda Ptuj,1,3,AwayTeam,10.Matchday,"Sep 26, 2007"
47,NK Nafta 1903,NK Interblock Ljubljana,1,3,AwayTeam,10.Matchday,"Sep 26, 2007"
48,NK Ivancna Gorica,FC Koper,1,6,AwayTeam,10.Matchday,"Sep 26, 2007"
49,NK Domzale,ND Gorica,2,3,AwayTeam,10.Matchday,"Sep 26, 2007"
50,FC Koper,NK Domzale,2,3,AwayTeam,11.Matchday,"Sep 29, 2007"
51,NK Drava Dakinda Ptuj,NK Primorje Ajdovscina,3,2,HomeTeam,11.Matchday,"Sep 29, 2007"
52,NK Ivancna Gorica,NK Nafta 1903,1,1,Draw,11.Matchday,"Sep 29, 2007"
53,NK Celje,NK Interblock Ljubljana,1,2,AwayTeam,11.Matchday,"Sep 29, 2007"
54,ND Gorica,NK Maribor,3,2,HomeTeam,11.Matchday,"Sep 30, 2007"
55,NK Primorje Ajdovscina,ND Gorica,1,2,AwayTeam,12.Matchday,"Oct 3, 2007"
