,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
63,Le Mans Union Club 72,FC Sochaux-Montbéliard,2,1,HomeTeam,7.Matchday,"Sep 17, 2005"
64,FC Nantes,FC Toulouse,2,0,HomeTeam,7.Matchday,"Sep 17, 2005"
65,RC Strasbourg Alsace,RC Lens,1,1,Draw,7.Matchday,"Sep 18, 2005"
66,AJ Auxerre,AC Ajaccio,2,0,HomeTeam,7.Matchday,"Sep 18, 2005"
67,Olympique Marseille,ES Troyes AC,2,1,HomeTeam,7.Matchday,"Sep 18, 2005"
68,AS Monaco,Stade Rennais FC,0,2,AwayTeam,7.Matchday,"Sep 18, 2005"
69,AS Saint-Étienne,Paris Saint-Germain,3,0,HomeTeam,7.Matchday,"Sep 18, 2005"
70,FC Toulouse,Olympique Marseille,1,0,HomeTeam,8.Matchday,"Sep 21, 2005"
71,OGC Nice,Le Mans Union Club 72,1,0,HomeTeam,8.Matchday,"Sep 21, 2005"
72,FC Metz,AJ Auxerre,1,2,AwayTeam,8.Matchday,"Sep 21, 2005"
73,AC Ajaccio,RC Strasbourg Alsace,0,0,Draw,8.Matchday,"Sep 21, 2005"
74,AS Saint-Étienne,AS Nancy-Lorraine,0,2,AwayTeam,8.Matchday,"Sep 21, 2005"
75,FC Sochaux-Montbéliard,FC Nantes,1,0,HomeTeam,8.Matchday,"Sep 21, 2005"
76,Stade Rennais FC,FC Girondins Bordeaux,2,2,Draw,8.Matchday,"Sep 21, 2005"
77,ES Troyes AC,AS Monaco,1,2,AwayTeam,8.Matchday,"Sep 21, 2005"
78,Paris Saint-Germain,LOSC Lille,2,1,HomeTeam,8.Matchday,"Sep 21, 2005"
79,Olympique Lyon,RC Lens,1,1,Draw,8.Matchday,"Sep 22, 2005"
80,AS Monaco,OGC Nice,0,0,Draw,9.Matchday,"Sep 24, 2005"
81,Olympique Marseille,FC Metz,3,1,HomeTeam,9.Matchday,"Sep 24, 2005"
82,RC Strasbourg Alsace,FC Toulouse,2,4,AwayTeam,9.Matchday,"Sep 24, 2005"
83,AS Nancy-Lorraine,ES Troyes AC,2,1,HomeTeam,9.Matchday,"Sep 24, 2005"
84,LOSC Lille,AS Saint-Étienne,2,0,HomeTeam,9.Matchday,"Sep 24, 2005"
85,AJ Auxerre,FC Sochaux-Montbéliard,3,0,HomeTeam,9.Matchday,"Sep 24, 2005"
86,FC Girondins Bordeaux,AC Ajaccio,1,0,HomeTeam,9.Matchday,"Sep 24, 2005"
87,Le Mans Union Club 72,Paris Saint-Germain,0,0,Draw,9.Matchday,"Sep 24, 2005"
88,FC Nantes,Olympique Lyon,0,1,AwayTeam,9.Matchday,"Sep 25, 2005"
89,RC Lens,Stade Rennais FC,0,0,Draw,9.Matchday,"Sep 25, 2005"
90,Paris Saint-Germain,FC Nantes,2,0,HomeTeam,10.Matchday,"Oct 1, 2005"
91,FC Sochaux-Montbéliard,AS Nancy-Lorraine,0,2,AwayTeam,10.Matchday,"Oct 1, 2005"
92,AS Saint-Étienne,Le Mans Union Club 72,3,0,HomeTeam,10.Matchday,"Oct 1, 2005"
93,FC Metz,FC Girondins Bordeaux,0,1,AwayTeam,10.Matchday,"Oct 1, 2005"
94,Stade Rennais FC,Olympique Lyon,1,3,AwayTeam,10.Matchday,"Oct 2, 2005"
95,FC Toulouse,AJ Auxerre,2,0,HomeTeam,10.Matchday,"Oct 2, 2005"
96,ES Troyes AC,RC Strasbourg Alsace,1,1,Draw,10.Matchday,"Oct 2, 2005"
97,LOSC Lille,AS Monaco,0,1,AwayTeam,10.Matchday,"Oct 2, 2005"
98,OGC Nice,Olympique Marseille,0,1,AwayTeam,10.Matchday,"Oct 2, 2005"
99,AC Ajaccio,RC Lens,0,0,Draw,10.Matchday,"Nov 11, 2005"
100,FC Nantes,AS Saint-Étienne,1,1,Draw,11.Matchday,"Oct 15, 2005"
101,Le Mans Union Club 72,LOSC Lille,1,1,Draw,11.Matchday,"Oct 15, 2005"
102,RC Lens,OGC Nice,2,2,Draw,11.Matchday,"Oct 15, 2005"
103,AS Monaco,FC Metz,3,0,HomeTeam,11.Matchday,"Oct 15, 2005"
104,AS Nancy-Lorraine,FC Toulouse,2,0,HomeTeam,11.Matchday,"Oct 15, 2005"
105,RC Strasbourg Alsace,Stade Rennais FC,0,1,AwayTeam,11.Matchday,"Oct 15, 2005"
106,FC Girondins Bordeaux,FC Sochaux-Montbéliard,1,1,Draw,11.Matchday,"Oct 15, 2005"
107,AJ Auxerre,ES Troyes AC,3,0,HomeTeam,11.Matchday,"Oct 15, 2005"
108,Olympique Lyon,AC Ajaccio,3,2,HomeTeam,11.Matchday,"Oct 16, 2005"
109,Olympique Marseille,Paris Saint-Germain,1,0,HomeTeam,11.Matchday,"Oct 16, 2005"
110,FC Metz,Olympique Lyon,0,4,AwayTeam,12.Matchday,"Oct 22, 2005"
111,LOSC Lille,FC Nantes,2,0,HomeTeam,12.Matchday,"Oct 22, 2005"
112,OGC Nice,AJ Auxerre,1,0,HomeTeam,12.Matchday,"Oct 22, 2005"
113,Paris Saint-Germain,AS Nancy-Lorraine,1,0,HomeTeam,12.Matchday,"Oct 22, 2005"
114,FC Toulouse,FC Girondins Bordeaux,1,1,Draw,12.Matchday,"Oct 22, 2005"
115,AC Ajaccio,Stade Rennais FC,0,1,AwayTeam,12.Matchday,"Oct 23, 2005"
116,Le Mans Union Club 72,RC Strasbourg Alsace,2,0,HomeTeam,12.Matchday,"Oct 23, 2005"
117,FC Sochaux-Montbéliard,AS Monaco,2,1,HomeTeam,12.Matchday,"Oct 23, 2005"
118,ES Troyes AC,RC Lens,1,1,Draw,12.Matchday,"Oct 23, 2005"
119,AS Saint-Étienne,Olympique Marseille,2,1,HomeTeam,12.Matchday,"Oct 23, 2005"
120,Olympique Marseille,LOSC Lille,1,1,Draw,13.Matchday,"Oct 29, 2005"
121,FC Girondins Bordeaux,ES Troyes AC,2,0,HomeTeam,13.Matchday,"Oct 29, 2005"
122,RC Lens,FC Toulouse,1,0,HomeTeam,13.Matchday,"Oct 29, 2005"
123,Olympique Lyon,FC Sochaux-Montbéliard,1,0,HomeTeam,13.Matchday,"Oct 29, 2005"
124,AS Monaco,AC Ajaccio,3,0,HomeTeam,13.Matchday,"Oct 29, 2005"
125,FC Nantes,Le Mans Union Club 72,1,0,HomeTeam,13.Matchday,"Oct 29, 2005"
126,Stade Rennais FC,FC Metz,2,1,HomeTeam,13.Matchday,"Oct 29, 2005"
127,RC Strasbourg Alsace,AS Saint-Étienne,0,1,AwayTeam,13.Matchday,"Oct 29, 2005"
128,AS Nancy-Lorraine,OGC Nice,0,0,Draw,13.Matchday,"Oct 30, 2005"
129,AJ Auxerre,Paris Saint-Germain,2,0,HomeTeam,13.Matchday,"Oct 30, 2005"
130,FC Toulouse,Olympique Lyon,0,1,AwayTeam,14.Matchday,"Nov 5, 2005"
131,Le Mans Union Club 72,Olympique Marseille,3,0,HomeTeam,14.Matchday,"Nov 5, 2005"
132,FC Metz,AC Ajaccio,2,0,HomeTeam,14.Matchday,"Nov 5, 2005"
133,FC Nantes,AS Nancy-Lorraine,3,0,HomeTeam,14.Matchday,"Nov 5, 2005"
134,OGC Nice,FC Girondins Bordeaux,0,1,AwayTeam,14.Matchday,"Nov 5, 2005"
135,AS Saint-Étienne,AJ Auxerre,1,1,Draw,14.Matchday,"Nov 5, 2005"
136,LOSC Lille,RC Strasbourg Alsace,2,0,HomeTeam,14.Matchday,"Nov 6, 2005"
137,FC Sochaux-Montbéliard,RC Lens,1,1,Draw,14.Matchday,"Nov 6, 2005"
138,ES Troyes AC,Stade Rennais FC,2,1,HomeTeam,14.Matchday,"Nov 6, 2005"
139,Paris Saint-Germain,AS Monaco,0,0,Draw,14.Matchday,"Nov 6, 2005"
140,Olympique Marseille,FC Nantes,2,1,HomeTeam,15.Matchday,"Nov 19, 2005"
141,AS Monaco,AS Saint-Étienne,1,0,HomeTeam,15.Matchday,"Nov 19, 2005"
142,AC Ajaccio,FC Sochaux-Montbéliard,0,1,AwayTeam,15.Matchday,"Nov 19, 2005"
143,AJ Auxerre,LOSC Lille,3,2,HomeTeam,15.Matchday,"Nov 19, 2005"
144,RC Lens,FC Metz,0,0,Draw,15.Matchday,"Nov 19, 2005"
145,Olympique Lyon,ES Troyes AC,2,1,HomeTeam,15.Matchday,"Nov 19, 2005"
146,AS Nancy-Lorraine,Le Mans Union Club 72,1,0,HomeTeam,15.Matchday,"Nov 19, 2005"
147,RC Strasbourg Alsace,OGC Nice,0,0,Draw,15.Matchday,"Nov 19, 2005"
148,Stade Rennais FC,FC Toulouse,4,1,HomeTeam,15.Matchday,"Nov 20, 2005"
149,FC Girondins Bordeaux,Paris Saint-Germain,0,2,AwayTeam,15.Matchday,"Nov 20, 2005"
150,Le Mans Union Club 72,AJ Auxerre,0,2,AwayTeam,16.Matchday,"Nov 25, 2005"
151,AS Saint-Étienne,FC Girondins Bordeaux,1,1,Draw,16.Matchday,"Nov 26, 2005"
152,LOSC Lille,AS Nancy-Lorraine,1,0,HomeTeam,16.Matchday,"Nov 26, 2005"
153,OGC Nice,Olympique Lyon,1,1,Draw,16.Matchday,"Nov 26, 2005"
154,FC Sochaux-Montbéliard,Stade Rennais FC,1,0,HomeTeam,16.Matchday,"Nov 26, 2005"
155,FC Toulouse,AC Ajaccio,3,0,HomeTeam,16.Matchday,"Nov 26, 2005"
156,ES Troyes AC,FC Metz,0,0,Draw,16.Matchday,"Nov 26, 2005"
157,FC Nantes,RC Strasbourg Alsace,4,3,HomeTeam,16.Matchday,"Nov 27, 2005"
158,Paris Saint-Germain,RC Lens,3,4,AwayTeam,16.Matchday,"Nov 27, 2005"
159,Olympique Marseille,AS Monaco,2,1,HomeTeam,16.Matchday,"Nov 27, 2005"
160,Olympique Lyon,Paris Saint-Germain,2,0,HomeTeam,17.Matchday,"Dec 3, 2005"
161,AC Ajaccio,ES Troyes AC,0,1,AwayTeam,17.Matchday,"Dec 3, 2005"
162,AJ Auxerre,FC Nantes,4,0,HomeTeam,17.Matchday,"Dec 3, 2005"
163,FC Girondins Bordeaux,LOSC Lille,1,0,HomeTeam,17.Matchday,"Dec 3, 2005"
164,FC Metz,FC Toulouse,2,2,Draw,17.Matchday,"Dec 3, 2005"
165,AS Monaco,Le Mans Union Club 72,2,0,HomeTeam,17.Matchday,"Dec 3, 2005"
166,RC Strasbourg Alsace,FC Sochaux-Montbéliard,0,0,Draw,17.Matchday,"Dec 3, 2005"
167,AS Nancy-Lorraine,Olympique Marseille,1,1,Draw,17.Matchday,"Dec 4, 2005"
168,Stade Rennais FC,OGC Nice,1,0,HomeTeam,17.Matchday,"Dec 4, 2005"
169,RC Lens,AS Saint-Étienne,2,1,HomeTeam,17.Matchday,"Dec 4, 2005"
170,LOSC Lille,RC Lens,0,0,Draw,18.Matchday,"Dec 10, 2005"
171,Le Mans Union Club 72,FC Girondins Bordeaux,1,0,HomeTeam,18.Matchday,"Dec 10, 2005"
172,Olympique Marseille,AJ Auxerre,1,0,HomeTeam,18.Matchday,"Dec 10, 2005"
173,AS Nancy-Lorraine,RC Strasbourg Alsace,1,2,AwayTeam,18.Matchday,"Dec 10, 2005"
174,OGC Nice,AC Ajaccio,1,0,HomeTeam,18.Matchday,"Dec 10, 2005"
175,Paris Saint-Germain,Stade Rennais FC,2,0,HomeTeam,18.Matchday,"Dec 10, 2005"
176,FC Sochaux-Montbéliard,FC Metz,1,1,Draw,18.Matchday,"Dec 10, 2005"
177,FC Toulouse,ES Troyes AC,2,1,HomeTeam,18.Matchday,"Dec 10, 2005"
178,FC Nantes,AS Monaco,0,0,Draw,18.Matchday,"Dec 11, 2005"
179,AS Saint-Étienne,Olympique Lyon,0,0,Draw,18.Matchday,"Dec 11, 2005"
180,Olympique Lyon,LOSC Lille,1,3,AwayTeam,19.Matchday,"Dec 16, 2005"
181,AC Ajaccio,Paris Saint-Germain,1,1,Draw,19.Matchday,"Dec 17, 2005"
182,AJ Auxerre,AS Nancy-Lorraine,0,1,AwayTeam,19.Matchday,"Dec 17, 2005"
183,FC Girondins Bordeaux,FC Nantes,0,0,Draw,19.Matchday,"Dec 17, 2005"
184,FC Metz,OGC Nice,1,0,HomeTeam,19.Matchday,"Dec 17, 2005"
185,Stade Rennais FC,AS Saint-Étienne,0,1,AwayTeam,19.Matchday,"Dec 17, 2005"
186,RC Strasbourg Alsace,Olympique Marseille,0,1,AwayTeam,19.Matchday,"Dec 17, 2005"
187,ES Troyes AC,FC Sochaux-Montbéliard,2,1,HomeTeam,19.Matchday,"Dec 17, 2005"
188,RC Lens,Le Mans Union Club 72,2,0,HomeTeam,19.Matchday,"Dec 18, 2005"
189,AS Monaco,FC Toulouse,1,0,HomeTeam,19.Matchday,"Dec 18, 2005"
190,RC Strasbourg Alsace,Olympique Lyon,0,4,AwayTeam,20.Matchday,"Jan 4, 2006"
191,Le Mans Union Club 72,FC Metz,2,0,HomeTeam,20.Matchday,"Jan 4, 2006"
192,LOSC Lille,AC Ajaccio,2,0,HomeTeam,20.Matchday,"Jan 4, 2006"
193,AS Nancy-Lorraine,FC Girondins Bordeaux,0,0,Draw,20.Matchday,"Jan 4, 2006"
194,FC Nantes,Stade Rennais FC,0,2,AwayTeam,20.Matchday,"Jan 4, 2006"
195,OGC Nice,FC Toulouse,2,1,HomeTeam,20.Matchday,"Jan 4, 2006"
196,Paris Saint-Germain,FC Sochaux-Montbéliard,3,1,HomeTeam,20.Matchday,"Jan 4, 2006"
197,AS Saint-Étienne,ES Troyes AC,1,1,Draw,20.Matchday,"Jan 4, 2006"
198,Olympique Marseille,RC Lens,1,1,Draw,20.Matchday,"Jan 4, 2006"
199,AJ Auxerre,AS Monaco,2,1,HomeTeam,20.Matchday,"Jan 5, 2006"
200,FC Girondins Bordeaux,AJ Auxerre,1,0,HomeTeam,21.Matchday,"Jan 11, 2006"
201,AC Ajaccio,FC Nantes,0,2,AwayTeam,21.Matchday,"Jan 11, 2006"
202,RC Lens,AS Nancy-Lorraine,1,2,AwayTeam,21.Matchday,"Jan 11, 2006"
203,FC Metz,AS Saint-Étienne,0,1,AwayTeam,21.Matchday,"Jan 11, 2006"
204,AS Monaco,RC Strasbourg Alsace,1,1,Draw,21.Matchday,"Jan 11, 2006"
205,Stade Rennais FC,Le Mans Union Club 72,1,0,HomeTeam,21.Matchday,"Jan 11, 2006"
206,FC Sochaux-Montbéliard,OGC Nice,1,1,Draw,21.Matchday,"Jan 11, 2006"
207,ES Troyes AC,LOSC Lille,1,0,HomeTeam,21.Matchday,"Jan 11, 2006"
208,Olympique Lyon,Olympique Marseille,2,1,HomeTeam,21.Matchday,"Jan 11, 2006"
209,FC Toulouse,Paris Saint-Germain,1,0,HomeTeam,21.Matchday,"Jan 12, 2006"
210,AS Nancy-Lorraine,Olympique Lyon,0,2,AwayTeam,22.Matchday,"Jan 14, 2006"
211,AJ Auxerre,RC Lens,1,0,HomeTeam,22.Matchday,"Jan 14, 2006"
212,Le Mans Union Club 72,AC Ajaccio,1,0,HomeTeam,22.Matchday,"Jan 14, 2006"
213,LOSC Lille,FC Sochaux-Montbéliard,3,0,HomeTeam,22.Matchday,"Jan 14, 2006"
214,AS Monaco,FC Girondins Bordeaux,0,1,AwayTeam,22.Matchday,"Jan 14, 2006"
215,FC Nantes,OGC Nice,0,0,Draw,22.Matchday,"Jan 14, 2006"
216,RC Strasbourg Alsace,FC Metz,2,1,HomeTeam,22.Matchday,"Jan 14, 2006"
217,Paris Saint-Germain,ES Troyes AC,2,1,HomeTeam,22.Matchday,"Jan 15, 2006"
218,Olympique Marseille,Stade Rennais FC,1,0,HomeTeam,22.Matchday,"Jan 15, 2006"
219,AS Saint-Étienne,FC Toulouse,1,3,AwayTeam,22.Matchday,"Feb 1, 2006"
220,AC Ajaccio,Olympique Marseille,3,1,HomeTeam,23.Matchday,"Jan 21, 2006"
221,FC Girondins Bordeaux,RC Strasbourg Alsace,2,1,HomeTeam,23.Matchday,"Jan 21, 2006"
222,FC Metz,FC Nantes,1,4,AwayTeam,23.Matchday,"Jan 21, 2006"
223,OGC Nice,Paris Saint-Germain,1,0,HomeTeam,23.Matchday,"Jan 21, 2006"
224,Stade Rennais FC,AS Nancy-Lorraine,0,2,AwayTeam,23.Matchday,"Jan 21, 2006"
225,FC Sochaux-Montbéliard,AS Saint-Étienne,4,0,HomeTeam,23.Matchday,"Jan 21, 2006"
226,FC Toulouse,LOSC Lille,0,0,Draw,23.Matchday,"Jan 21, 2006"
227,ES Troyes AC,Le Mans Union Club 72,1,3,AwayTeam,23.Matchday,"Jan 21, 2006"
228,RC Lens,AS Monaco,1,1,Draw,23.Matchday,"Jan 22, 2006"
229,Olympique Lyon,AJ Auxerre,1,1,Draw,23.Matchday,"Jan 22, 2006"
230,FC Girondins Bordeaux,RC Lens,1,0,HomeTeam,24.Matchday,"Jan 28, 2006"
231,AJ Auxerre,Stade Rennais FC,2,0,HomeTeam,24.Matchday,"Jan 28, 2006"
232,Olympique Marseille,FC Sochaux-Montbéliard,0,0,Draw,24.Matchday,"Jan 28, 2006"
233,AS Nancy-Lorraine,AC Ajaccio,0,0,Draw,24.Matchday,"Jan 28, 2006"
234,Le Mans Union Club 72,FC Toulouse,1,1,Draw,24.Matchday,"Jan 28, 2006"
235,LOSC Lille,FC Metz,3,1,HomeTeam,24.Matchday,"Jan 29, 2006"
236,RC Strasbourg Alsace,Paris Saint-Germain,1,1,Draw,24.Matchday,"Feb 8, 2006"
237,FC Nantes,ES Troyes AC,1,1,Draw,24.Matchday,"Feb 14, 2006"
238,AS Saint-Étienne,OGC Nice,0,1,AwayTeam,24.Matchday,"Feb 14, 2006"
239,AS Monaco,Olympique Lyon,2,1,HomeTeam,24.Matchday,"Apr 23, 2006"
240,Paris Saint-Germain,AS Saint-Étienne,2,2,Draw,25.Matchday,"Feb 4, 2006"
241,AC Ajaccio,AJ Auxerre,1,0,HomeTeam,25.Matchday,"Feb 4, 2006"
242,RC Lens,RC Strasbourg Alsace,2,1,HomeTeam,25.Matchday,"Feb 4, 2006"
243,OGC Nice,LOSC Lille,2,0,HomeTeam,25.Matchday,"Feb 4, 2006"
244,Stade Rennais FC,AS Monaco,1,3,AwayTeam,25.Matchday,"Feb 4, 2006"
245,FC Sochaux-Montbéliard,Le Mans Union Club 72,0,0,Draw,25.Matchday,"Feb 4, 2006"
246,FC Toulouse,FC Nantes,1,0,HomeTeam,25.Matchday,"Feb 4, 2006"
247,ES Troyes AC,Olympique Marseille,0,1,AwayTeam,25.Matchday,"Feb 5, 2006"
248,Olympique Lyon,FC Girondins Bordeaux,0,0,Draw,25.Matchday,"Feb 5, 2006"
249,FC Metz,AS Nancy-Lorraine,0,0,Draw,25.Matchday,"Mar 7, 2006"
250,RC Lens,Olympique Lyon,1,1,Draw,26.Matchday,"Feb 11, 2006"
251,AJ Auxerre,FC Metz,1,1,Draw,26.Matchday,"Feb 11, 2006"
252,FC Girondins Bordeaux,Stade Rennais FC,2,0,HomeTeam,26.Matchday,"Feb 11, 2006"
253,Le Mans Union Club 72,OGC Nice,2,0,HomeTeam,26.Matchday,"Feb 11, 2006"
254,AS Monaco,ES Troyes AC,1,1,Draw,26.Matchday,"Feb 11, 2006"
255,AS Nancy-Lorraine,AS Saint-Étienne,2,0,HomeTeam,26.Matchday,"Feb 11, 2006"
256,FC Nantes,FC Sochaux-Montbéliard,3,1,HomeTeam,26.Matchday,"Feb 11, 2006"
257,RC Strasbourg Alsace,AC Ajaccio,2,2,Draw,26.Matchday,"Feb 11, 2006"
258,Olympique Marseille,FC Toulouse,0,0,Draw,26.Matchday,"Feb 12, 2006"
259,LOSC Lille,Paris Saint-Germain,0,0,Draw,26.Matchday,"Feb 12, 2006"
260,Olympique Lyon,FC Nantes,3,1,HomeTeam,27.Matchday,"Feb 17, 2006"
261,OGC Nice,AS Monaco,2,0,HomeTeam,27.Matchday,"Feb 18, 2006"
262,AC Ajaccio,FC Girondins Bordeaux,0,2,AwayTeam,27.Matchday,"Feb 18, 2006"
263,Paris Saint-Germain,Le Mans Union Club 72,0,1,AwayTeam,27.Matchday,"Feb 18, 2006"
264,Stade Rennais FC,RC Lens,4,1,HomeTeam,27.Matchday,"Feb 18, 2006"
265,FC Sochaux-Montbéliard,AJ Auxerre,1,0,HomeTeam,27.Matchday,"Feb 18, 2006"
266,AS Saint-Étienne,LOSC Lille,0,2,AwayTeam,27.Matchday,"Feb 18, 2006"
267,FC Toulouse,RC Strasbourg Alsace,1,2,AwayTeam,27.Matchday,"Feb 18, 2006"
268,ES Troyes AC,AS Nancy-Lorraine,0,1,AwayTeam,27.Matchday,"Feb 18, 2006"
269,FC Metz,Olympique Marseille,1,0,HomeTeam,27.Matchday,"Feb 19, 2006"
270,FC Nantes,Paris Saint-Germain,0,0,Draw,28.Matchday,"Feb 25, 2006"
271,AJ Auxerre,FC Toulouse,2,0,HomeTeam,28.Matchday,"Feb 25, 2006"
272,FC Girondins Bordeaux,FC Metz,3,3,Draw,28.Matchday,"Feb 25, 2006"
273,Le Mans Union Club 72,AS Saint-Étienne,0,1,AwayTeam,28.Matchday,"Feb 25, 2006"
274,Olympique Lyon,Stade Rennais FC,1,4,AwayTeam,28.Matchday,"Feb 25, 2006"
275,AS Nancy-Lorraine,FC Sochaux-Montbéliard,0,3,AwayTeam,28.Matchday,"Feb 25, 2006"
