,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,ToNextStage,Date
0,Manchester United,Basel,3,0,HomeTeam,Group,-,-
1,Benfica,CSKA,1,2,AwayTeam,Group,-,-
2,Bayern,Anderlecht,3,0,HomeTeam,Group,-,-
3,Celtic,Paris,0,5,AwayTeam,Group,-,-
4,Chelsea,Qarabağ,6,0,HomeTeam,Group,-,-
5,Roma,Atlético,0,0,Draw,Group,-,-
6,Barcelona,Juventus,3,0,HomeTeam,Group,-,-
7,Olympiacos,Sporting CP,2,3,AwayTeam,Group,-,-
8,Liverpool,Sevilla,2,2,Draw,Group,-,-
9,Maribor,Spartak Moskva,1,1,Draw,Group,-,-
10,Feyenoord,Manchester City,0,4,AwayTeam,Group,-,-
11,Shakhtar,Napoli,2,1,HomeTeam,Group,-,-
12,Porto,Beşiktaş,1,3,AwayTeam,Group,-,-
13,RB Leipzig,Monaco,1,1,Draw,Group,-,-
14,Real Madrid,APOEL,3,0,HomeTeam,Group,-,-
15,Tottenham,Dortmund,3,1,HomeTeam,Group,-,-
16,Basel,Benfica,5,0,HomeTeam,Group,-,-
17,CSKA,Manchester United,1,4,AwayTeam,Group,-,-
18,Paris,Bayern,3,0,HomeTeam,Group,-,-
19,Anderlecht,Celtic,0,3,AwayTeam,Group,-,-
20,Qarabağ,Roma,1,2,AwayTeam,Group,-,-
21,Atlético Madrid,Chelsea,1,2,AwayTeam,Group,-,-
22,Sporting CP,Barcelona,0,1,AwayTeam,Group,-,-
23,Juventus,Olympiacos,2,0,HomeTeam,Group,-,-
24,Sevilla,Maribor,3,0,HomeTeam,Group,-,-
25,Spartak Moskva,Liverpool,1,1,Draw,Group,-,-
26,Manchester City,Shakhtar,2,0,HomeTeam,Group,-,-
27,Napoli,Feyenoord,3,1,HomeTeam,Group,-,-
28,Beşiktaş,RB Leipzig,2,0,HomeTeam,Group,-,-
29,Monaco,Porto,0,3,AwayTeam,Group,-,-
30,Dortmund,Real Madrid,1,3,AwayTeam,Group,-,-
31,APOEL,Tottenham,0,3,AwayTeam,Group,-,-
32,Benfica,Manchester United,0,1,AwayTeam,Group,-,-
33,CSKA Moskva,Basel,0,2,AwayTeam,Group,-,-
34,Bayern,Celtic,3,0,HomeTeam,Group,-,-
35,Anderlecht,Paris,0,4,AwayTeam,Group,-,-
36,Qarabağ,Atlético,0,0,Draw,Group,-,-
37,Chelsea,Roma,3,3,Draw,Group,-,-
38,Barcelona,Olympiacos,3,1,HomeTeam,Group,-,-
39,Juventus,Sporting CP,2,1,HomeTeam,Group,-,-
40,Maribor,Liverpool,0,7,AwayTeam,Group,-,-
41,Spartak Moskva,Sevilla,5,1,HomeTeam,Group,-,-
42,Feyenoord,Shakhtar,1,2,AwayTeam,Group,-,-
43,Manchester City,Napoli,2,1,HomeTeam,Group,-,-
44,RB Leipzig,Porto,3,2,HomeTeam,Group,-,-
45,Monaco,Beşiktaş,1,2,AwayTeam,Group,-,-
46,Real Madrid,Tottenham,1,1,Draw,Group,-,-
47,APOEL,Dortmund,1,1,Draw,Group,-,-
48,Manchester United,Benfica,2,0,HomeTeam,Group,-,-
49,Basel,CSKA Moskva,1,2,AwayTeam,Group,-,-
50,Celtic,Bayern,1,2,AwayTeam,Group,-,-
51,Paris,Anderlecht,5,0,HomeTeam,Group,-,-
52,Atlético,Qarabağ,1,1,Draw,Group,-,-
53,Roma,Chelsea,3,0,HomeTeam,Group,-,-
54,Olympiacos,Barcelona,0,0,Draw,Group,-,-
55,Sporting CP,Juventus,1,1,Draw,Group,-,-
56,Liverpool,Maribor,3,0,HomeTeam,Group,-,-
57,Sevilla,Spartak Moskva,2,1,HomeTeam,Group,-,-
58,Shakhtar,Feyenoord,3,1,HomeTeam,Group,-,-
59,Napoli,Manchester City,2,4,AwayTeam,Group,-,-
60,Porto,RB Leipzig,3,1,HomeTeam,Group,-,-
61,Beşiktaş,Monaco,1,1,Draw,Group,-,-
62,Tottenham,Real Madrid,3,1,HomeTeam,Group,-,-
63,Dortmund,APOEL,1,1,Draw,Group,-,-
