,Name,URL,Age,Rank
0,Mark Philippoussis,/en/players/mark-philippoussis/p338/overview,27,10
1,Younes El Aynaoui,/en/players/younes-el-aynaoui/e121/overview,32,22
2,Hicham Arazi,/en/players/hicham-arazi/a226/overview,30,41
3,Wayne Ferreira,/en/players/wayne-ferreira/f196/overview,32,48
4,Yevgeny Kafelnikov,/en/players/yevgeny-kafelnikov/k267/overview,30,50
5,Gregory Carraz,/en/players/gregory-carraz/c400/overview,28,54
6,Jan-Michael Gambill,/en/players/jan-michael-gambill/g352/overview,26,59
7,Todd Martin,/en/players/todd-martin/m442/overview,33,60
8,Antony Dupuis,/en/players/antony-dupuis/d272/overview,31,65
9,Karol Kucera,/en/players/karol-kucera/k237/overview,29,67
10,Nicolas Escude,/en/players/nicolas-escude/e140/overview,27,77
11,Galo Blanco,/en/players/galo-blanco/b518/overview,27,80
12,Alexander Popp,/en/players/alexander-popp/p395/overview,27,84
13,Albert Portas,/en/players/albert-portas/p305/overview,30,88
14,John van Lottum,/en/players/john-van-lottum/v201/overview,27,89
15,Alex Corretja,/en/players/alex-corretja/c344/overview,29,91
16,Fernando Vicente,/en/players/fernando-vicente/v195/overview,26,94
17,Dennis Van Scheppingen,/en/players/dennis-van-scheppingen/s559/overview,28,97
18,Harel Levy,/en/players/harel-levy/l336/overview,25,98
19,Jan Vacek,/en/players/jan-vacek/v220/overview,27,100
20,Pete Sampras,/en/players/pete-sampras/s402/overview,31,16
21,Marcelo Rios,/en/players/marcelo-rios/r286/overview,27,29
22,Vladimir Voltchkov,/en/players/vladimir-voltchkov/v211/overview,24,62
23,Michel Kratochvil,/en/players/michel-kratochvil/k319/overview,23,74
24,Adrian Voinea,/en/players/adrian-voinea/v166/overview,28,77
25,Andre Sa,/en/players/andre-sa/s604/overview,25,78
26,Richard Krajicek,/en/players/richard-krajicek/k214/overview,31,79
27,Brian Vahaly,/en/players/brian-vahaly/v303/overview,23,82
28,Franco Squillari,/en/players/franco-squillari/s568/overview,27,83
29,Jean-Rene Lisnard,/en/players/jean-rene-lisnard/l386/overview,23,87
30,Julien Boutter,/en/players/julien-boutter/b599/overview,28,91
31,Arnaud Di Pasquale,/en/players/arnaud-di-pasquale/d357/overview,24,92
32,Magnus Norman,/en/players/magnus-norman/n250/overview,26,93
33,Olivier Mutis,/en/players/olivier-mutis/m640/overview,25,95
34,Attila Savolt,/en/players/attila-savolt/s608/overview,27,98
35,Patrick Rafter,/en/players/patrick-rafter/r255/overview,28,11
36,Cedric Pioline,/en/players/cedric-pioline/p226/overview,31,20
37,Francisco Clavet,/en/players/francisco-clavet/c252/overview,32,31
38,David Prinosil,/en/players/david-prinosil/p273/overview,28,32
39,Michael Chang,/en/players/michael-chang/c274/overview,29,33
40,Andrew Ilie,/en/players/andrew-ilie/i052/overview,24,40
41,Gianluca Pozzi,/en/players/gianluca-pozzi/p045/overview,35,44
42,Andreas Vinciguerra,/en/players/andreas-vinciguerra/v250/overview,20,46
43,Byron Black,/en/players/byron-black/b397/overview,31,47
44,Andrei Medvedev,/en/players/andrei-medvedev/m475/overview,26,50
45,Bohdan Ulihrach,/en/players/bohdan-ulihrach/u032/overview,26,54
46,Marc Rosset,/en/players/marc-rosset/r214/overview,30,61
47,Michal Tabara,/en/players/michal-tabara/t243/overview,21,64
48,Juan Balcells,/en/players/juan-balcells/b487/overview,25,68
49,Jerome Golmard,/en/players/jerome-golmard/g319/overview,27,69
50,Jason Stoltenberg,/en/players/jason-stoltenberg/s331/overview,30,70
51,Sergi Bruguera,/en/players/sergi-bruguera/b350/overview,30,72
52,Karim Alami,/en/players/karim-alami/a203/overview,27,74
53,Magnus Gustafsson,/en/players/magnus-gustafsson/g182/overview,34,77
54,Slava Dosedel,/en/players/slava-dosedel/d198/overview,30,84
55,Jan Siemerink,/en/players/jan-siemerink/s381/overview,30,86
56,Chris Woodruff,/en/players/chris-woodruff/w212/overview,28,89
57,Fernando Meligeni,/en/players/fernando-meligeni/m443/overview,29,92
58,Andrei Stoliarov,/en/players/andrei-stoliarov/s688/overview,24,95
59,Andrea Gaudenzi,/en/players/andrea-gaudenzi/g254/overview,27,96
60,Daniel Elsner,/en/players/daniel-elsner/e155/overview,22,97
61,Sebastien Lareau,/en/players/sebastien-lareau/l226/overview,27,99
62,Magnus Larsson,/en/players/magnus-larsson/l206/overview,29,39
63,Daniel Vacek,/en/players/daniel-vacek/v141/overview,28,44
64,Jim Courier,/en/players/jim-courier/c243/overview,29,55
65,Richard Fromberg,/en/players/richard-fromberg/f164/overview,29,61
66,Alberto Berasategui,/en/players/alberto-berasategui/b428/overview,26,62
67,Mikael Tillstrom,/en/players/mikael-tillstrom/t166/overview,28,66
68,Hernan Gumy,/en/players/hernan-gumy/g247/overview,28,68
69,Goran Ivanisevic,/en/players/goran-ivanisevic/i034/overview,28,70
70,Jeff Tarango,/en/players/jeff-tarango/t136/overview,31,76
71,George Bastl,/en/players/george-bastl/b503/overview,24,79
72,Markus Hipfl,/en/players/markus-hipfl/h364/overview,21,84
73,Ronald Agenor,/en/players/ronald-agenor/a006/overview,35,90
74,Jacobo Diaz,/en/players/jacobo-diaz/d291/overview,23,91
75,Jens Knippschild,/en/players/jens-knippschild/k260/overview,25,95
76,Christian Ruud,/en/players/christian-ruud/r219/overview,27,96
77,Thomas Muster,/en/players/thomas-muster/m099/overview,31,24
78,Scott Draper,/en/players/scott-draper/d270/overview,24,47
79,Mark Woodforde,/en/players/mark-woodforde/w035/overview,33,49
80,Ramon Delgado,/en/players/ramon-delgado/d316/overview,22,55
81,Filip Dewulf,/en/players/filip-dewulf/d228/overview,26,62
82,Paul Haarhuis,/en/players/paul-haarhuis/h223/overview,33,67
83,Jan Kroslak,/en/players/jan-kroslak/k296/overview,24,70
84,Guillaume Raoux,/en/players/guillaume-raoux/r186/overview,29,71
85,Boris Becker,/en/players/boris-becker/b028/overview,31,78
86,Daniel Nestor,/en/players/daniel-nestor/n210/overview,26,82
87,Laurence Tieleman,/en/players/laurence-tieleman/t168/overview,26,85
88,Cecil Mamiit,/en/players/cecil-mamiit/m614/overview,22,86
89,Petr Korda,/en/players/petr-korda/k148/overview,31,88
90,Todd Woodbridge,/en/players/todd-woodbridge/w136/overview,27,91
91,Martin Rodriguez,/en/players/martin-rodriguez/r251/overview,29,92
92,Wayne Black,/en/players/wayne-black/b499/overview,25,96
93,Leander Paes,/en/players/leander-paes/p269/overview,25,97
94,Carlos Costa,/en/players/carlos-costa/c179/overview,30,98
95,Julian Alonso,/en/players/julian-alonso/a272/overview,20,43
96,Brett Steven,/en/players/brett-steven/s321/overview,28,47
97,Marcelo Filippini,/en/players/marcelo-filippini/f165/overview,30,49
98,Marc-Kevin Goellner,/en/players/marc-kevin-goellner/g252/overview,27,56
99,Lionel Roux,/en/players/lionel-roux/r280/overview,24,63
100,Javier Sanchez,/en/players/javier-sanchez/s015/overview,30,65
101,Johan Van Herck,/en/players/johan-van-herck/v167/overview,23,73
102,Grant Stafford,/en/players/grant-stafford/s406/overview,26,74
103,Michael Stich,/en/players/michael-stich/s351/overview,29,75
104,Juan Albert Viloca-Puig,/en/players/juan-albert-viloca-puig/v161/overview,25,78
105,Tomas Nydahl,/en/players/tomas-nydahl/n099/overview,29,79
106,Jordi Burillo,/en/players/jordi-burillo/b429/overview,25,85
107,Dinu Pescariu,/en/players/dinu-pescariu/p254/overview,23,86
108,Richey Reneberg,/en/players/richey-reneberg/r016/overview,32,90
109,Hendrik Dreekmann,/en/players/hendrik-dreekmann/d249/overview,23,94
110,Martin Sinner,/en/players/martin-sinner/s367/overview,30,95
111,Emilio Benfele Alvarez,/en/players/emilio-benfele-alvarez/a190/overview,25,98
112,Marcello Craca,/en/players/marcello-craca/c439/overview,23,99
113,Michael Tebbutt,/en/players/michael-tebbutt/t195/overview,27,100
114,Stefan Edberg,/en/players/stefan-edberg/e004/overview,31,17
115,MaliVai Washington,/en/players/malivai-washington/w124/overview,27,24
116,Arnaud Boetsch,/en/players/arnaud-boetsch/b053/overview,27,31
117,Alex O'Brien,/en/players/alex-o'brien/o099/overview,27,34
118,Jonathan Stark,/en/players/jonathan-stark/s403/overview,25,53
119,Alex Radulescu,/en/players/alex-radulescu/r284/overview,22,56
120,Bernd Karbacher,/en/players/bernd-karbacher/k190/overview,28,60
121,Sandon Stolle,/en/players/sandon-stolle/s443/overview,26,62
122,Roberto Carretero,/en/players/roberto-carretero/c383/overview,21,64
123,Nicklas Kulti,/en/players/nicklas-kulti/k181/overview,25,70
124,Andrei Chesnokov,/en/players/andrei-chesnokov/c031/overview,31,71
125,Renzo Furlan,/en/players/renzo-furlan/f192/overview,26,74
126,Gilbert Schaller,/en/players/gilbert-schaller/s315/overview,28,75
127,Alexander Volkov,/en/players/alexander-volkov/v037/overview,30,84
128,Tomas Carbonell,/en/players/tomas-carbonell/c216/overview,28,87
129,Patrik Fredriksson,/en/players/patrik-fredriksson/f278/overview,23,89
