,TeamName,Country,NoPlayers,AvgAge,NoForeigners,TotalPlayersValue,Coach,AgeCouch,Stadium,StadiumCapacity
208,FC Zbrojovka Brno,Czech Republic,24,"25,8",4,€5.35m,Miloslav Machalek,58 Years,Městský fotbalový stadion Srbská,12.550 Seats
209,FC Hradec Králové,Czech Republic,25,"24,1",2,€4.70m,Zdenko Frtala,49 Years,Všesportovní Stadion,7.200 Seats
210,FK Viktoria Zizkov,Czech Republic,29,"25,1",8,€4.68m,Zdenek Hasek,51 Years,Stadion Viktoria,5.600 Seats
211,FK Pardubice,Czech Republic,27,"23,7",3,€4.58m,Jiri Krejci,55 Years,Pod Vinicí,3.000 Seats
212,FK Dukla Prag,Czech Republic,25,"23,3",7,€4.25m,Roman Skuhravy,45 Years,Stadion Juliska,8.150 Seats
213,FC Vysocina Jihlava,Czech Republic,24,"24,6",7,€3.78m,Radim Kucera,46 Years,Stadion v Jiráskově ulici,4.500 Seats
214,FK Baník Sokolov,Czech Republic,22,"25,5",3,€3.60m,Bohuslav Pilny,47 Years,Sokolov,5.000 Seats
215,MFK Chrudim,Czech Republic,26,"25,9",1,€3.50m,Jaroslav Vesely,42 Years,Stadion Za Vodojemem,1.500 Seats
216,FC Sellier & Bellot Vlašim,Czech Republic,24,"24,3",3,€3.45m,Daniel Smejkal,49 Years,Kollárova ulice,1.200 Seats
217,FK Fotbal Trinec,Czech Republic,25,"27,0",5,€3.35m,Reinhold Mielke,82 Years,Stadion Rudolfa Labaje,2.200 Seats
218,FK Slavoj Vysehrad,Czech Republic,25,"24,8",3,€3.25m,Roman Vesely,46 Years,Stadion Evzena Rosickeho,19.032 Seats
219,1.SK Prostejov,Czech Republic,23,"27,2",2,€3.10m,Pavel Sustr,45 Years,Stadion Za Místním Nádražím,3.500 Seats
220,FK Ustí nad Labem,Czech Republic,18,"23,8",3,€2.98m,Ales Krecek,48 Years,Mestsky Stadion,3.500 Seats
221,FK Varnsdorf,Czech Republic,19,"24,3",2,€2.95m,David Oulehla,36 Years,Stadion v Kotlině,2.000 Seats
222,MFK Vitkovice,Czech Republic,22,"24,1",1,€2.70m,Ondrej Smetana,37 Years,Aréna Vítkovice,15.123 Seats
223,SK Lisen,Czech Republic,24,"24,5",3,€2.38m,Milan Valachovic,52 Years,Stadion SK Lisen,2.000 Seats
224,FC Copenhagen,Denmark,24,"27,6",13,€47.15m,Staale Solbakken,52 Years,Telia Parken,38.065 Seats
225,FC Midtjylland,Denmark,28,"25,1",13,€29.75m,Brian Priske,42 Years,MCH Arena,11.535 Seats
226,FC Nordsjaelland,Denmark,26,"21,2",14,€24.10m,Flemming Pedersen,56 Years,Right to Dream Park,10.300 Seats
227,Bröndby IF,Denmark,24,"24,4",9,€20.35m,Niels Frederiksen,51 Years,Brøndby Stadion,28.000 Seats
228,Esbjerg fB,Denmark,25,"25,7",11,€13.10m,Lars Olsen,59 Years,Blue Water Arena,16.942 Seats
229,Aarhus GF,Denmark,24,"24,4",9,€13.05m,David Nielsen,43 Years,Ceres Park,19.433 Seats
230,Aalborg BK,Denmark,24,"24,7",5,€12.65m,Jacob Friis,43 Years,Aalborg Portland Park,13.800 Seats
231,Odense Boldklub,Denmark,24,"25,2",8,€11.60m,Jakob Michelsen,39 Years,Nature Energy Park,15.790 Seats
232,SönderjyskE,Denmark,26,"26,1",10,€9.15m,Glen Riddersholm,47 Years,Sydbank Park,10.000 Seats
233,Randers FC,Denmark,23,"25,5",8,€9.10m,Thomas Thomasberg,45 Years,Cepheus Park Randers,10.300 Seats
234,Silkeborg IF,Denmark,27,"23,7",8,€8.25m,Kent Nielsen,58 Years,JYSK Park,10.000 Seats
235,AC Horsens,Denmark,23,"25,1",5,€6.85m,Bo Henriksen,45 Years,Casa Arena Horsens,10.400 Seats
236,Lyngby BK,Denmark,24,"26,3",1,€6.85m,Christian Nielsen,46 Years,Lyngby Stadion,10.000 Seats
237,Hobro IK,Denmark,25,"25,7",10,€6.75m,Peter Sörensen,47 Years,DS Arena,7.500 Seats
238,Vejle Boldklub,Denmark,28,"23,9",14,€5.73m,Constantin Galca,48 Years,Vejle Stadion,10.418 Seats
239,Vendsyssel FF,Denmark,24,"25,0",6,€5.38m,Johnny Mölby,51 Years,Nord Energi Arena,10.000 Seats
240,Viborg FF,Denmark,23,"25,5",8,€5.25m,Jacob Neestrup,32 Years,Viborg Stadion,9.566 Seats
241,FC Fredericia,Denmark,21,"25,4",3,€4.50m,Jonas Dal Andersen,43 Years,Monjasa Park,4.000 Seats
242,HB Köge,Denmark,24,"24,4",10,€3.95m,Auri Skarbalius,46 Years,"Capelli Sport Stadion, Køge Idrætspark",4.000 Seats
243,Naestved Boldklub,Denmark,30,"23,6",18,€3.68m,Maximilian Dentz,31 Years,ProfaGroupPark,10.000 Seats
244,BK Fremad Amager,Denmark,25,"23,7",12,€3.45m,Azrudin Valentic,48 Years,Sundby Idrætspark,7.200 Seats
245,Skive IK,Denmark,26,"23,9",0,€3.00m,Thomas Röll,43 Years,Sparbank Arena,10.000 Seats
246,Hvidovre IF,Denmark,24,"26,4",3,€2.98m,Per Frandsen,50 Years,PRO VENTILATION Arena,12.000 Seats
247,Kolding IF,Denmark,22,"25,4",0,€2.85m,Morten Mölkjaer,"Jan 1, 2020",Autocentralen Park,12.000 Seats
248,Nyköbing FC,Denmark,21,"25,8",2,€2.80m,Claus Jensen,42 Years,CM Arena,10.000 Seats
249,FC Roskilde,Denmark,25,"22,9",3,€2.60m,Martin Jungsgaard,45 Years,Roskilde Idrætspark,6.000 Seats
250,Manchester City,United Kingdom,24,"27,8",19,€1.02bn,Pep Guardiola,49 Years,Etihad Stadium,55.017 Seats
251,Liverpool FC,United Kingdom,25,"27,7",16,€966.95m,Jürgen Klopp,52 Years,Anfield,54.074 Seats
252,Tottenham Hotspur,United Kingdom,25,"26,0",17,€699.00m,José Mourinho,57 Years,Tottenham Hotspur Stadium,62.062 Seats
253,Chelsea FC,United Kingdom,27,"26,2",19,€679.90m,Frank Lampard,41 Years,Stamford Bridge,40.853 Seats
254,Manchester United,United Kingdom,27,"25,8",17,€646.70m,Ole Gunnar Solskjaer,47 Years,Old Trafford,74.879 Seats
255,Arsenal FC,United Kingdom,27,"25,5",19,€579.35m,Mikel Arteta,38 Years,Emirates Stadium,60.704 Seats
256,Everton FC,United Kingdom,25,"27,4",17,€407.85m,Carlo Ancelotti,60 Years,Goodison Park,39.571 Seats
257,Leicester City,United Kingdom,26,"27,2",16,€403.40m,Brendan Rodgers,47 Years,King Power Stadium,32.273 Seats
258,Wolverhampton Wanderers,United Kingdom,24,"25,4",20,€296.60m,Nuno Espírito Santo,46 Years,Molineux Stadium,32.050 Seats
259,West Ham United,United Kingdom,25,"28,4",17,€287.25m,David Moyes,56 Years,London Stadium,60.000 Seats
260,AFC Bournemouth,United Kingdom,29,"26,2",12,€270.30m,Eddie Howe,42 Years,Vitality Stadium,11.329 Seats
261,Newcastle United,United Kingdom,31,"27,5",20,€246.18m,Steve Bruce,59 Years,St James' Park,52.338 Seats
262,Aston Villa,United Kingdom,27,"27,1",17,€218.25m,Dean Smith,49 Years,Villa Park,42.682 Seats
263,Watford FC,United Kingdom,29,"27,9",21,€191.85m,Nigel Pearson,56 Years,Vicarage Road,21.577 Seats
264,Brighton & Hove Albion,United Kingdom,26,"27,1",17,€183.90m,Graham Potter,44 Years,AMEX Stadium,30.666 Seats
265,Southampton FC,United Kingdom,21,"25,7",11,€182.20m,Ralph Hasenhüttl,52 Years,St Mary's Stadium,32.384 Seats
266,Crystal Palace,United Kingdom,21,"29,9",15,€171.90m,Roy Hodgson,72 Years,Selhurst Park,26.047 Seats
267,Burnley FC,United Kingdom,24,"29,1",9,€158.75m,Sean Dyche,48 Years,Turf Moor,21.994 Seats
268,Norwich City,United Kingdom,22,"27,7",18,€132.50m,Daniel Farke,43 Years,Carrow Road,27.244 Seats
269,Sheffield United,United Kingdom,27,"28,0",13,€130.70m,Chris Wilder,52 Years,Bramall Lane,32.702 Seats
270,Fulham FC,United Kingdom,28,"26,4",19,€113.60m,Scott Parker,39 Years,Craven Cottage,19.000 Seats
271,Leeds United,United Kingdom,26,"25,3",15,€84.10m,Marcelo Bielsa,64 Years,Elland Road,37.890 Seats
272,West Bromwich Albion,United Kingdom,29,"27,5",13,€84.08m,Slaven Bilic,51 Years,The Hawthorns,26.850 Seats
273,Bristol City,United Kingdom,26,"27,1",16,€69.70m,Lee Johnson,38 Years,Ashton Gate,27.000 Seats
274,Brentford FC,United Kingdom,30,"23,8",22,€69.60m,Thomas Frank,46 Years,Griffin Park,12.763 Seats
275,Middlesbrough FC,United Kingdom,24,"26,2",11,€56.03m,Jonathan Woodgate,40 Years,Riverside Stadium,33.746 Seats
276,Stoke City,United Kingdom,26,"27,3",13,€54.30m,Michael O'Neill,50 Years,bet365 Stadium,30.089 Seats
277,Nottingham Forest,United Kingdom,28,"27,0",17,€54.15m,Sabri Lamouchi,48 Years,City Ground,30.602 Seats
278,Huddersfield Town,United Kingdom,25,"26,2",10,€53.28m,Danny Cowley,41 Years,John Smith's Stadium,24.500 Seats
279,Cardiff City,United Kingdom,26,"28,4",24,€51.50m,Neil Harris,42 Years,Cardiff City Stadium,33.280 Seats
280,Swansea City,United Kingdom,23,"25,0",20,€51.00m,Steve Cooper,40 Years,Liberty Stadium,21.088 Seats
281,Birmingham City,United Kingdom,25,"26,9",13,€47.03m,Pep Clotet,42 Years,St Andrew's Trillion Trophy Stadium,29.409 Seats
282,Derby County,United Kingdom,25,"26,8",10,€46.20m,Phillip Cocu,49 Years,Pride Park Stadium,33.597 Seats
283,Reading FC,United Kingdom,29,"26,2",16,€42.83m,Mark Bowen,56 Years,Madejski,24.161 Seats
284,Queens Park Rangers,United Kingdom,24,"25,6",13,€35.53m,Mark Warburton,57 Years,Loftus Road Stadium,18.360 Seats
285,Sheffield Wednesday,United Kingdom,30,"27,6",14,€34.50m,Garry Monk,41 Years,Hillsborough,39.859 Seats
286,Blackburn Rovers,United Kingdom,25,"26,8",9,€30.70m,Tony Mowbray,56 Years,Ewood Park,31.367 Seats
287,Preston North End,United Kingdom,30,"26,3",11,€29.90m,Alex Neil,38 Years,Deepdale,23.408 Seats
288,Hull City,United Kingdom,28,"24,8",12,€25.88m,Grant McCann,39 Years,KCOM Stadium,24.983 Seats
289,Wigan Athletic,United Kingdom,31,"25,8",16,€25.53m,Paul Cook,53 Years,DW Stadium,25.133 Seats
290,Millwall FC,United Kingdom,23,"27,7",11,€22.55m,Gary Rowett,46 Years,The Den,20.146 Seats
291,Luton Town,United Kingdom,31,"26,4",9,€19.80m,Graeme Jones,50 Years,Kenilworth Road,10.226 Seats
292,Charlton Athletic,United Kingdom,27,"26,6",11,€16.80m,Lee Bowyer,43 Years,The Valley,26.875 Seats
293,Barnsley FC,United Kingdom,24,"23,4",15,€14.85m,Gerhard Struber,43 Years,Oakwell Stadium,24.009 Seats
294,Sunderland AFC,United Kingdom,26,"26,8",13,€17.05m,Phil Parkinson,52 Years,Stadium of Light,48.707 Seats
295,Ipswich Town,United Kingdom,27,"26,0",7,€13.68m,Paul Lambert,50 Years,Portman Road,30.311 Seats
296,Oxford United,United Kingdom,24,"25,2",6,€12.40m,Karl Robinson,39 Years,Kassam Stadium,12.500 Seats
297,Blackpool FC,United Kingdom,27,"25,7",5,€11.45m,Neil Critchley,41 Years,Bloomfield Road,16.220 Seats
298,Fleetwood Town,United Kingdom,26,"25,5",11,€8.58m,Joey Barton,37 Years,Highbury Stadium,5.327 Seats
299,Shrewsbury Town,United Kingdom,26,"26,1",9,€8.40m,Sam Ricketts,38 Years,Montgomery Waters Meadow,9.875 Seats
300,Bolton Wanderers,United Kingdom,28,"24,8",8,€7.80m,Keith Hill,50 Years,University of Bolton Stadium,28.723 Seats
301,Rotherham United,United Kingdom,24,"26,3",12,€6.83m,Paul Warne,46 Years,New York Stadium,12.000 Seats
302,Milton Keynes Dons,United Kingdom,28,"25,5",6,€6.35m,Russell Martin,34 Years,Stadium mk,30.500 Seats
303,Portsmouth FC,United Kingdom,27,"25,7",8,€6.10m,Kenny Jackett,58 Years,Fratton Park,20.688 Seats
304,Burton Albion,United Kingdom,28,"26,0",12,€5.28m,Nigel Clough,54 Years,Pirelli Stadium,6.912 Seats
305,Bristol Rovers,United Kingdom,32,"25,4",8,€5.00m,Ben Garner,39 Years,Memorial Stadium,12.000 Seats
306,Coventry City,United Kingdom,26,"24,6",10,€4.73m,Mark Robins,50 Years,St Andrew's Stadium,30.016 Seats
307,Peterborough United,United Kingdom,26,"24,2",6,€4.68m,Darren Ferguson,48 Years,Weston Homes Stadium,15.314 Seats
308,Wycombe Wanderers,United Kingdom,26,"27,0",10,€4.58m,Gareth Ainsworth,46 Years,Adams Park,10.000 Seats
309,Lincoln City,United Kingdom,26,"24,6",11,€4.38m,Michael Appleton,44 Years,LNER Stadium,10.130 Seats
310,Rochdale AFC,United Kingdom,27,"25,8",12,€4.20m,Brian Barry-Murphy,41 Years,Crown Oil Arena,10.249 Seats
311,Southend United,United Kingdom,24,"25,3",8,€3.85m,Sol Campbell,45 Years,Roots Hall,12.392 Seats
312,Gillingham FC,United Kingdom,20,"25,7",5,€3.48m,Steve Evans,57 Years,Priestfield Stadium,11.582 Seats
313,Tranmere Rovers,United Kingdom,29,"28,0",6,€3.33m,Micky Mellon,48 Years,Prenton Park,16.789 Seats
314,Doncaster Rovers,United Kingdom,29,"23,7",7,€3.25m,Darren Moore,45 Years,Keepmoat Stadium,15.231 Seats
315,Accrington Stanley,United Kingdom,37,"24,2",9,€2.38m,John Coleman,57 Years,The Wham Stadium,5.450 Seats
316,AFC Wimbledon,United Kingdom,27,"23,7",7,€2.20m,Glyn Hodges,56 Years,Kingsmeadow,4.850 Seats
317,HJK Helsinki,Finland,23,"25,9",8,€5.58m,Toni Koskela,37 Years,Telia 5G Areena,10.770 Seats
318,Kuopion Palloseura,Finland,28,"23,3",11,€4.53m,Arne Erlandsen,60 Years,Savon Sanomat Areena,4.700 Seats
319,Ilves Tampere,Finland,26,"22,8",5,€3.25m,Jarkko Wiss,47 Years,Tammelan Stadion,5.050 Seats
320,SJK Seinäjoki,Finland,25,"25,7",9,€3.13m,Jani Honkavaara,44 Years,OmaSp Stadion,5.900 Seats
321,FC Honka,Finland,22,"26,5",10,€2.98m,Vesa Vasara,43 Years,Tapiolan Urheilupuisto,3.000 Seats
322,FC Lahti,Finland,22,"23,8",5,€2.90m,Ilir Zeneli,36 Years,Lahden Stadion,15.000 Seats
323,FC Inter Turku,Finland,18,"25,9",6,€2.80m,Jose Riveiro,44 Years,Veritas Stadion,9.000 Seats
324,Helsinki IFK,Finland,25,"25,1",8,€2.43m,Tor Thodesen,54 Years,Telia 5G Areena,10.770 Seats
325,IFK Mariehamn,Finland,22,"24,7",9,€2.35m,Lukas Syberyjski,38 Years,Wiklöf Holding Arena,4.000 Seats
326,FC Haka,Finland,21,"23,8",5,€2.13m,Teemu Tainio,40 Years,Tehtaan kenttä,6.400 Seats
327,Turun Palloseura,Finland,25,"25,0",8,€1.70m,Tommi Pikkarainen,50 Years,Veritas Stadion,9.372 Seats
328,Rovaniemen Palloseura,Finland,22,"23,9",6,€1.48m,Vesa Tauriainen,52 Years,Rovaniemen keskuskenttä,5.000 Seats
329,Kokkolan Pallo-Veikot,Finland,25,"24,2",5,€1.93m,Jani Uotinen,41 Years,Kokkolan keskuskenttä,3.000 Seats
330,FC KTP,Finland,20,"22,2",5,€950k,-,-,-,-
331,Mikkelin Palloilijat,Finland,25,"22,6",5,€875k,Juha Pasoja,43 Years,Mikkelin Urheiluopisto,7.000 Seats
332,Vaasan Palloseura,Finland,23,"23,0",3,€850k,Christian Sund,41 Years,Elisa Stadion,6.005 Seats
333,AC Kajaani,Finland,20,"22,6",6,€750k,Mika Lumijärvi,49 Years,Kajaanin liikuntapuisto,1.200 Seats
334,IF Gnistan,Finland,26,"25,6",6,€725k,Roberto Nuccio,53 Years,Mustapekka Areena,1.100 Seats
335,Myllykosken Pallo -47,Finland,21,"22,7",3,€675k,Ilkka Mäkelä,56 Years,Kymenlaakson Sähkö Stadion (Saviniemi),4.067 Seats
336,AC Oulu,Finland,23,"23,7",2,€675k,Jyrki Ahola,"Jan 1, 2020",Raatin stadion,4.392 Seats
337,Ekenäs IF,Finland,20,"22,6",4,€675k,Guillem Santesmases,"Jul 1, 2019",Ekenäs Centrumplan,2.500 Seats
338,FF Jaro,Finland,19,"23,7",1,€625k,Niklas Käcko,"Aug 14, 2018",Pietarsaaren keskuskenttä,5.000 Seats
339,SJK Seinäjoki II,Finland,23,"19,6",0,€575k,Tommy Dunne,47 Years,OmaSpStadion,5.900 Seats
340,Musan Salama,Finland,20,"24,0",2,€500k,Ville Ulanen,37 Years,Porin Stadion,12.000 Seats
341,Paris Saint-Germain,France,29,"26,0",20,€843.65m,Thomas Tuchel,46 Years,Parc des Princes,49.691 Seats
342,Olympique Lyon,France,29,"24,8",18,€379.05m,Rudi Garcia,56 Years,Groupama Stadium,59.186 Seats
343,AS Monaco,France,29,"25,6",29,€283.20m,Robert Moreno,42 Years,Stade Louis-II,18.523 Seats
344,LOSC Lille,France,22,"25,0",15,€235.98m,Christophe Galtier,53 Years,Stade Pierre-Mauroy,50.186 Seats
345,Olympique Marseille,France,27,"25,7",9,€210.65m,André Villas-Boas,42 Years,Orange Vélodrome,67.394 Seats
346,Stade Rennais FC,France,29,"25,3",9,€165.58m,Julien Stéphan,39 Years,Roazhon Park,29.778 Seats
347,OGC Nice,France,25,"23,7",10,€160.38m,Patrick Vieira,43 Years,Allianz Riviera,36.178 Seats
348,FC Girondins Bordeaux,France,25,"26,3",14,€104.85m,Paulo Sousa,49 Years,Matmut Atlantique,42.052 Seats
349,AS Saint-Étienne,France,30,"26,4",9,€98.68m,Claude Puel,58 Years,Stade Geoffroy-Guichard,42.000 Seats
350,FC Nantes,France,31,"25,1",15,€83.93m,Christian Gourcuff,65 Years,Stade de la Beaujoire,37.463 Seats
351,HSC Montpellier,France,26,"26,5",11,€79.15m,Michel Der Zakarian,57 Years,Stade de la Mosson,32.939 Seats
352,RC Strasbourg Alsace,France,24,"26,7",9,€75.73m,Thierry Laurey,56 Years,Stade de la Meinau,29.000 Seats
353,Stade Reims,France,27,"24,2",14,€71.08m,David Guion,52 Years,Stade Auguste-Delaune,21.684 Seats
354,FC Toulouse,France,30,"24,1",11,€67.88m,Denis Zanko,55 Years,Stadium Municipal,33.150 Seats
355,SCO Angers,France,26,"26,5",12,€64.90m,Stéphane Moulin,52 Years,Stade Raymond Kopa,16.381 Seats
356,SC Amiens,France,31,"26,0",15,€55.75m,Luka Elsner,37 Years,Stade de la Licorne,12.999 Seats
357,FC Metz,France,25,"25,5",15,€52.45m,Vincent Hognon,45 Years,Stade Saint-Symphorien,26.700 Seats
358,Stade Brest 29,France,26,"26,5",6,€47.13m,Olivier Dall'Oglio,55 Years,Stade Francis-Le Blé,15.097 Seats
359,Nîmes Olympique,France,25,"25,0",8,€46.08m,Bernard Blaquart,62 Years,Stade des Costières,18.364 Seats
360,FCO Dijon,France,24,"26,9",14,€42.63m,Stéphane Jobard,49 Years,Stade Gaston-Gérard,16.098 Seats
361,ES Troyes AC,France,29,"25,1",13,€22.75m,Laurent Batlles,44 Years,Stade de l'Aube,21.877 Seats
362,FC Lorient,France,27,"26,5",3,€21.98m,Christophe Pélissier,54 Years,Stade du Moustoir,19.010 Seats
363,AC Le Havre,France,24,"24,8",11,€20.10m,Paul Le Guen,56 Years,Stade Océane,25.178 Seats
364,RC Lens,France,26,"26,3",10,€19.75m,Franck Haise,48 Years,Stade Bollaert-Delelis,38.223 Seats
365,EA Guingamp,France,25,"26,1",7,€19.25m,Sylvain Didot,44 Years,Stade du Roudourou,18.120 Seats
366,SM Caen,France,28,"24,9",11,€17.05m,Pascal Dupraz,57 Years,Stade Michel-d'Ornano,20.500 Seats
367,FC Sochaux-Montbéliard,France,29,"24,2",10,€14.03m,Omar Daf,43 Years,Stade Auguste-Bonal,20.005 Seats
368,Paris FC,France,29,"26,6",13,€13.70m,René Girard,66 Years,Stade Charléty,20.000 Seats
369,Valenciennes FC,France,27,"24,9",10,€13.48m,Olivier Guégan,47 Years,Stade du Hainaut,25.000 Seats
370,AJ Auxerre,France,28,"26,2",9,€12.85m,Jean-Marc Furlan,62 Years,Stade de l'Abbé-Deschamps,18.541 Seats
371,LB Châteauroux,France,25,"25,8",11,€12.60m,Nicolas Usaï,45 Years,Stade Gaston-Petit,17.072 Seats
372,FC Chamois Niort,France,28,"24,0",10,€12.35m,Franck Passi,54 Years,Stade René-Gaillard,10.406 Seats
373,AC Ajaccio,France,27,"25,5",12,€12.20m,Olivier Pantaloni,53 Years,Stade François-Coty,10.446 Seats
374,FC Le Mans,France,26,"27,2",8,€12.08m,Reinhold Mielke,82 Years,MMArena,25.064 Seats
375,AS Nancy-Lorraine,France,27,"26,4",12,€11.88m,Jean-Louis Garcia,57 Years,Stade Marcel-Picot,20.087 Seats
376,US Orléans,France,29,"25,9",9,€11.58m,Gilbert Zoonekynd,63 Years,Stade de la Source,7.533 Seats
377,Clermont Foot Auvergne 63,France,24,"25,4",10,€11.05m,Pascal Gastien,56 Years,Stade Gabriel-Montpied,10.670 Seats
378,Grenoble Foot 38,France,23,"27,1",13,€10.10m,Philippe Hinschberger,60 Years,Stade des Alpes,20.068 Seats
379,Rodez AF,France,28,"26,1",4,€8.83m,Laurent Peyrelade,50 Years,Stade Paul-Lignon,5.955 Seats
380,FC Chambly,France,30,"28,8",4,€8.53m,Bruno Luzi,54 Years,Stade des Marais,3.012 Seats
381,Dinamo Tbilisi,Georgia,28,"25,1",6,€8.48m,Kakhaber Chkhetiani,42 Years,Dinamo Arena,55.000 Seats
382,Dinamo Batumi,Georgia,23,"27,2",7,€6.20m,George Geguchadze,54 Years,Angisa Base,1.500 Seats
383,FC Saburtalo,Georgia,25,"24,1",5,€6.05m,Giorgi Tsetsadze,45 Years,Mikheil Meskhi,24.680 Seats
384,FC Locomotive Tbilisi,Georgia,26,"23,0",1,€4.03m,Levan Korgalidze,40 Years,Mikheil Meskhi Stadium II,2.500 Seats
385,FC Dila Gori,Georgia,22,"23,6",8,€3.63m,Giorgi Nemsadze,47 Years,Tengiz Burjanadze Stadium,8.000 Seats
386,FC Samtredia,Georgia,28,"26,0",9,€3.58m,Kakhaber Kacharava,53 Years,Erosi Manjgaladze Stadium,4.000 Seats
387,Torpedo Kutaisi,Georgia,24,"25,3",3,€3.58m,Mikhail Ashvetia,42 Years,Ramaz Shengelia Stadium,14.700 Seats
388,FC Telavi,Georgia,24,"25,0",5,€2.73m,Revaz Gotsiridze,39 Years,Telavi Rugby Stadium,2.000 Seats
389,Chikhura Sachkhere,Georgia,21,"26,7",1,€2.33m,Vakhtang Turmanidze,47 Years,Sachkhere Stadium,2.000 Seats
390,FC Merani Tbilisi,Georgia,23,"30,0",1,€2.18m,Giorgi Daraselia,51 Years,0,0 Seats
391,Bayern Munich,Germany,29,"25,1",15,€756.58m,Hans-Dieter Flick,55 Years,Allianz Arena,75.024 Seats
392,Borussia Dortmund,Germany,26,"25,5",15,€586.05m,Lucien Favre,62 Years,SIGNAL IDUNA PARK,81.365 Seats
393,RB Leipzig,Germany,29,"23,6",21,€522.58m,Julian Nagelsmann,32 Years,Red Bull Arena,42.146 Seats
394,Bayer 04 Leverkusen,Germany,24,"26,3",14,€383.15m,Peter Bosz,56 Years,BayArena,30.210 Seats
395,Borussia Mönchengladbach,Germany,26,"27,5",15,€249.53m,Marco Rose,43 Years,Stadion im Borussia-Park,54.022 Seats
396,FC Schalke 04,Germany,26,"24,6",20,€212.85m,David Wagner,48 Years,Veltins-Arena,62.271 Seats
397,TSG 1899 Hoffenheim,Germany,27,"26,6",18,€192.43m,Alfred Schreuder,47 Years,PreZero Arena,30.150 Seats
398,Hertha BSC,Germany,31,"25,8",16,€188.08m,Alexander Nouri,40 Years,Olympiastadion Berlin,74.649 Seats
399,VfL Wolfsburg,Germany,25,"26,4",18,€186.15m,Oliver Glasner,45 Years,Volkswagen Arena,30.000 Seats
400,Eintracht Frankfurt,Germany,30,"27,5",19,€178.93m,Adi Hütter,50 Years,Commerzbank Arena,51.500 Seats
401,SV Werder Bremen,Germany,32,"26,8",17,€133.75m,Florian Kohfeldt,37 Years,WOHNINVEST-Weserstadion,42.100 Seats
402,1.FSV Mainz 05,Germany,33,"24,1",17,€119.63m,Achim Beierlorzer,52 Years,Opel Arena,34.000 Seats
403,SC Freiburg,Germany,27,"26,1",9,€118.05m,Christian Streich,54 Years,Schwarzwald-Stadion,24.000 Seats
404,FC Augsburg,Germany,33,"26,0",17,€106.33m,Heiko Herrlich,48 Years,WWK ARENA,30.660 Seats
405,1. FC Köln,Germany,29,"26,0",9,€92.05m,Markus Gisdol,50 Years,RheinEnergieStadion,50.000 Seats
406,Fortuna Düsseldorf,Germany,36,"26,4",16,€68.78m,Uwe Rösler,51 Years,MERKUR SPIEL-ARENA,54.600 Seats
407,1.FC Union Berlin,Germany,32,"26,7",11,€40.45m,Urs Fischer,54 Years,An der Alten Försterei,22.012 Seats
408,SC Paderborn 07,Germany,28,"25,2",11,€26.53m,Steffen Baumgart,48 Years,Benteler-Arena,15.000 Seats
409,VfB Stuttgart,Germany,29,"24,4",14,€59.40m,Pellegrino Matarazzo,42 Years,Mercedes-Benz Arena,60.449 Seats
410,Hamburger SV,Germany,30,"25,5",14,€46.75m,Dieter Hecking,55 Years,Volksparkstadion,57.000 Seats
411,Hannover 96,Germany,31,"26,1",8,€34.13m,Kenan Kocak,39 Years,HDI-Arena,49.000 Seats
412,1.FC Nuremberg,Germany,28,"26,3",11,€28.28m,Jens Keller,49 Years,Max-Morlock-Stadion,50.000 Seats
413,Arminia Bielefeld,Germany,29,"26,0",9,€20.35m,Uwe Neuhaus,60 Years,SchücoArena,26.515 Seats
414,1.FC Heidenheim 1846,Germany,27,"26,0",1,€18.63m,Frank Schmidt,46 Years,Voith-Arena,15.000 Seats
415,Holstein Kiel,Germany,27,"24,9",7,€18.30m,Ole Werner,31 Years,Holstein-Stadion,15.034 Seats
416,FC St. Pauli,Germany,32,"25,9",13,€17.75m,Jos Luhukay,56 Years,Millerntor-Stadion,29.546 Seats
417,VfL Bochum,Germany,30,"25,6",10,€16.63m,Thomas Reis,46 Years,Vonovia Ruhrstadion,27.599 Seats
418,SG Dynamo Dresden,Germany,29,"25,8",8,€14.43m,Markus Kauczinski,50 Years,Rudolf-Harbig-Stadion,32.123 Seats
419,SV Darmstadt 98,Germany,31,"26,1",6,€13.50m,Dimitrios Grammozis,41 Years,Merck-Stadion am Böllenfalltor,17.400 Seats
420,FC Erzgebirge Aue,Germany,27,"26,9",8,€13.33m,Dirk Schuster,52 Years,Erzgebirgsstadion,16.080 Seats
421,SpVgg Greuther Fürth,Germany,27,"24,7",7,€12.90m,Reinhold Mielke,82 Years,Sportpark Ronhof | Thomas Sommer,15.606 Seats
422,VfL Osnabrück,Germany,28,"26,5",7,€11.38m,Daniel Thioune,45 Years,Bremer Brücke,16.667 Seats
423,SSV Jahn Regensburg,Germany,27,"26,7",3,€11.25m,Mersad Selimbegovic,37 Years,Arena Regensburg,15.210 Seats
424,SV Sandhausen,Germany,28,"28,2",10,€11.15m,Uwe Koschinat,48 Years,BWT-Stadion am Hardtwald,15.414 Seats
425,SV Wehen Wiesbaden,Germany,34,"24,9",3,€10.25m,Rüdiger Rehm,41 Years,BRITA-Arena,12.566 Seats
426,Karlsruher SC,Germany,28,"26,7",10,€9.20m,Christian Eichner,37 Years,Wildparkstadion,15.330 Seats
