,FootballTeam,Country,City,Stadium,Capacity
94,Portsmouth,England,Portsmouth,Fratton Park,"21,178"
95,Preston North End,England,Preston,Deepdale,"23,404"
96,Reading,England,Reading,Madejski Stadium,"24,161"
97,Rochdale AFC,England,Rochdale,Crown Oil Arena,"12,249"
98,Rotherham United,England,Rotherham,New York Stadium,"12,000"
99,Scunthorpe United,England,Scunthorpe,Glanford Park,"9,088"
100,Sheffield United,England,Sheffield,Bramall Lane,"32,609"
101,Sheffield Wednesday,England,Sheffield,Hillsborough,"39,732"
102,Shrewsbury Town,England,Shrewsbury,Montgomery Waters Stadium,"9,875"
103,Southampton,England,Southampton,St Mary's Stadium,"32,689"
104,Southend United,England,Southend-on-Sea,Roots Hall Stadium,"13,392"
105,Stevenage FC,England,Stevenage,The Lamex Stadium,"6,490"
106,Stoke City,England,Stoke-on-Trent,bet365 Stadium,"27,743"
107,Sunderland,England,Sunderland,Stadium of Light,"49,000"
108,Watford,England,Watford,Vicarage Road,"21,500"
109,West Bromwich Albion,England,West Bromwich,The Hawthorns,"26,287"
110,Wigan Athletic,England,Wigan,DW Stadium,"25,133"
111,Wolverhampton Wanderers,England,Wolverhampton,Molineux Stadium,"31,700"
112,AC Ajaccio,France,Ajaccio,Stade Francois Coty,"10,660"
113,Amiens SC,France,Amiens,Stade de la Licorne,"12,097"
114,Angers SCO,France,Angers,Stade Raymond Kopa,"16,500"
115,FC Annecy,France,Annecy,Parc des Sports,"15,660"
116,AJ Auxerre,France,Auxerre,Stade Abbe Deschamps,"21,379"
117,SC Bastia,France,Bastia,Stade Armand Cesari,"16,480"
118,Girondins de Bordeaux,France,Bordeaux,Matmut Atlantique,"42,115"
119,--,France,Bordeaux,Stade Chaban-Delmas,"34,263"
120,FBBP 01,France,Bourg-en-Bresse,Stade Marcel Verchere,"11,500"
121,Stade Brestois 29,France,Brest,Stade Francis-Le Ble,"15,097"
122,Stade Malherbe Caen,France,Caen,Stade Michel d'Ornano,"21,000"
123,Dijon FCO,France,Dijon,Stade Gaston-Gerard,"16,000"
124,Grenoble Foot 38,France,Grenoble,Stade des Alpes,"20,000"
125,EA Guingamp,France,Guingamp,Stade du Roudourou,"18,250"
126,Havre AC,France,Le Havre,Stade Oceane,"25,278"
127,Le Mans FC,France,Le Mans,MMArena,"25,000"
128,RC Lens,France,Lens,Stade Bollaert-Delelis,"38,223"
129,Lille OSC,France,Lille,Stade Pierre Mauroy,"50,000"
130,FC Lorient,France,Lorient,Stade Yves Allainmat,"18,500"
131,Olympique Lyonnais,France,Lyon,Groupama Stadium,"59,186"
132,--,France,Lyon,Stade Gerland,"40,494"
133,Olympique de Marseille,France,Marseille,Orange Velodrome,"67,000"
134,FC Metz,France,Metz,Stade Saint-Symphorien,"26,600"
135,AS Monaco FC,France,Monaco,Stade Louis II,"18,523"
136,FC Sochaux,France,Montbeliard,Stade Auguste Bonal,"20,000"
137,Montpellier HSC,France,Montpellier,Stade de la Mosson,"32,900"
138,AS Nancy Lorraine,France,Nancy,Stade Marcel-Picot,"20,087"
139,FC Nantes,France,Nantes,Stade de La Beaujoire,"37,473"
140,OGC Nice,France,Nice,Allianz Riviera,"35,624"
141,Nimes Olympique,France,Nimes,Stade des Costieres,"29,487"
142,Paris FC,France,Paris,Stade Charlety,"20,000"
143,Paris Saint-Germain,France,Paris,Parc des Princes,"48,527"
144,Stade de Reims,France,Reims,Stade Auguste Delaune,"21,684"
145,Stade Rennais FC,France,Rennes,Stade de la Route de Lorient,"29,778"
146,--,France,Saint-Denis,Stade de France,"80,000"
147,AS Saint-Etienne,France,Saint-Etienne,Stade Geoffroy Guichard,"41,500"
148,RC Strasbourg Alsace,France,Strasbourg,Stade de la Meinau,"27,500"
149,Toulouse FC,France,Toulouse,Stadium de Toulouse,"35,472"
150,ES Troyes AC,France,Troyes,Stade de l'Aube,"20,400"
151,Valenciennes FC,France,Valenciennes,Stade du Hainaut,"24,926"
152,Alemannia Aachen,Germany,Aachen,Tivoli,"32,960"
153,Erzgebirge Aue,Germany,Aue,Sparkassen-Erzgebirgsstadion,"15,690"
154,FC Augsburg,Germany,Augsburg,WWK Arena,"30,660"
155,FC Union Berlin,Germany,Berlin,Stadion An der Alten Försterei,"22,012"
156,Hertha BSC,Germany,Berlin,Olympiastadion,"74,649"
157,Arminia Bielefeld,Germany,Bielefeld,SchucoArena,"26,515"
158,VFL Bochum,Germany,Bochum,Vonovia Ruhrstadion,"29,299"
159,Werder Bremen,Germany,Bremen,Weserstadion,"42,100"
160,Eintracht Braunschweig,Germany,Brunswick,Eintracht-Stadion,"23,325"
161,1. FC Koln,Germany,Cologne,RheinEnergieStadion,"50,000"
162,Energie Cottbus,Germany,Cottbus,Stadion der Freundschaft,"22,528"
163,SV Darmstadt 98,Germany,Darmstadt,Stadion am Bollenfalltor,"17,400"
164,Borussia Dortmund,Germany,Dortmund,Signal Iduna Park,"81,359"
165,Dynamo Dresden,Germany,Dresden,DDV-Stadion,"32,066"
166,MSV Duisburg,Germany,Duisburg,Schauinsland-Reisen-Stadion,"31,500"
167,Fortuna Dusseldorf,Germany,Dusseldorf,ESPRIT Arena,"54,600"
168,Rot-Weiss Essen,Germany,Essen,Stadion Essen,"20,650"
169,Eintracht Frankfurt,Germany,Frankfurt,Commerzbank-Arena,"51,500"
170,SC Freiburg,Germany,Freiburg,Schwarzwald-Stadion,"24,000"
171,Greuther Furth,Germany,Furth,Sportpark Ronhof,"18,000"
172,FC Schalke 04,Germany,Gelsenkirchen,VELTINS-Arena,"61,673"
173,Hamburger SV,Germany,Hamburg,Volksparkstadion,"57,000"
174,St. Pauli,Germany,Hamburg,Millerntor-Stadion,"29,546"
175,Hannover 96,Germany,Hanover,HDI Arena,"49,000"
176,FC Ingolstadt 04,Germany,Ingolstadt,Audi Sportpark,"15,800"
177,1. FC Kaiserslautern,Germany,Kaiserslautern,Fritz-Walter-Stadion,"49,780"
