,FootballTeam,Country,City,Stadium,Capacity
379,CA Osasuna,Spain,Pamplona,Estadio Reyno de Navarra,"19,800"
380,SD Ponferradina,Spain,Ponferrada,Estadio Municipal El Toralin,"8,400"
381,CE Sabadell FC,Spain,Sabadell,Estadi Municipal de la Nova Creu Alta,"20,000"
382,Real Sociedad,Spain,San Sebastian,Estadio Anoeta,"32,000"
383,CD Tenerife,Spain,Santa Cruz de Tenerife,Estadio Heliodoro Rodriguez Lopez,"22,824"
384,Racing Club de Santander,Spain,Santander,Campos de Sport de El Sardinero,"22,222"
385,--,Spain,Seville,Estadio La Cartuja de Sevilla,"60,000"
386,Real Betis Balompie,Spain,Seville,Estadio Benito Villamarin,"60,721"
387,Sevilla FC,Spain,Seville,Estadio Ramon Sanchez Pizjuan,"42,714"
388,CD Numancia,Spain,Soria,Nuevo Estadio Los Pajaritos,"8,727"
389,Gimnastic de Tarragona,Spain,Tarragona,Nou Estadi,"14,591"
390,Levante UD,Spain,Valencia,Estadi Ciutat de Valencia,"25,352"
391,Valencia CF,Spain,Valencia,Estadio de Mestalla,"55,000"
392,Real Valladolid CF,Spain,Valladolid,Estadio Jose Zorrilla,"26,512"
393,Villarreal CF,Spain,Villarreal,Estadio El Madrigal,"25,000"
394,RC Celta de Vigo,Spain,Vigo,Estadio Municipal de Balaidos,"31,800"
395,Deportivo Alaves,Spain,Vitoria-Gasteiz,Estadio de Mendizorroza,"19,840"
396,Real Zaragoza,Spain,Zaragoza,Estadio La Romareda,"34,596"
397,IF Elsborg,Sweden,Boras,Boras Arena,"16,284"
398,--,Sweden,Gothenburg,Nya Ullevi,"43,000"
399,GAIS IFK Goteborg Orgryte IS,Sweden,Gothenburg,Gamla Ullevi,"18,900"
400,Helsingborgs IF,Sweden,Helsingborg,Olympia,"16,500"
401,Malmo FF,Sweden,Malmo,Swedbank Stadion,"24,000"
402,IFK Norrkoping,Sweden,Norrkoping,Östgötaporten,"16,700"
403,Ostersunds FK,Sweden,Ostersund,Jamtkraft Arena,"8,466"
404,AIK,Sweden,Stockholm,Friends Arena,"50,000"
405,Hammarby IF Djurgardens IF,Sweden,Stockholm,Tele2 Arena,"30,000"
406,GIF Sundsvall,Sweden,Sundsvall,Norrporten Arena,"8,500"
407,FC Basel,Switzerland,Basel,St. Jakob-Park,"38,512"
408,BSC Young Boys,Switzerland,Bern,Stade de Suisse,"32,000"
409,Servette FC,Switzerland,Geneva,Stade de Geneve,"30,084"
410,FC Lausanne-Sport,Switzerland,Lausanne,Stade Olympique de la Pontaise,"15,700"
411,FC Luzern,Switzerland,Luzern,swissporarena,"17,000"
412,FC Sion,Switzerland,Sion,Stade de Tourbillon,"14,283"
413,FC St. Gallen,Switzerland,St. Gallen,kybunpark,"19,568"
414,FC Thun,Switzerland,Thun,Stockhorn Arena,"10,000"
415,FC Zurich Grasshopper Club,Switzerland,Zurich,Letzigrund,"25,000"
416,Akhisarspor,Turkey,Akhisar,Akhisar Arena,"12,500"
417,--,Turkey,Antalya,Akdeniz Universitesi-Stadion,"7,100"
418,Bursaspor,Turkey,Bursa,Timsah Arena,"43,331"
419,--,Turkey,Gaziantep,Kamil Ocak Stadyumu,"16,981"
420,Kayserispor,Turkey,Kayseri,Kadir Has Stadyumu,"32,864"
421,Besiktas,Turkey,Istanbul,Vodafone Arena,"42,000"
422,Fenerbahce,Turkey,Istanbul,Sukru Saracoglu Stadyumu,"50,530"
423,Galatasaray,Turkey,Istanbul,Turk Telekom Arena,"52,650"
424,Istanbul Basaksehir,Turkey,Istanbul,Fatih Terim Stadium,"17,319"
425,Kasimpasa,Turkey,Istanbul,Recep Tayyip Erdogan Stadium,"14,000"
426,--,Turkey,Istanbul,Ataturk Olimpiyat Stadi,"76,092"
427,Torku Konyaspor,Turkey,Konya,Konya Buyuksehir Torku Arena,"41,981"
428,--,Turkey,Sivas,Sivas 4 Eylul Stadyumu,"15,060"
429,Trabzonspor,Turkey,Trabzon,Medical Park Arena,"41,461"
430,Dnipro,Ukraine,Dnipropetrovsk,Dnipro Arena,"31,003"
431,Shakhtar Donetsk,Ukraine,Donetsk,Donbass Arena,"52,187"
432,Metalist Kharkiv,Ukraine,Kharkiv,Metalist Stadium,"38,633"
433,Dynamo Kiev,Ukraine,Kiev,NSC Olimpiyskiy,"70,050"
434,--,Ukraine,Kryvyi Rih,Stadion Metalurh,"29,734"
435,Zoria Luhansk,Ukraine,Luhansk,Stadion Avanhard,"22,288"
436,Karpaty Lviv,Ukraine,Lviv,Arena Lviv,"34,915"
437,Chornomorets Odessa,Ukraine,Odessa,Stadion Chornomorets,"34,164"
438,FC Olexandriya,Ukraine,Oleksandriya,Stadion CSC Nika,"7,000"
439,Vorskla Poltava,Ukraine,Poltava,Stadion Vorskla,"25,000"
440,Cardiff City,Wales,Cardiff,Cardiff City Stadium,"33,338"
441,--,Wales,Cardiff,Millennium Stadium,"74,500"
442,Swansea City,Wales,Swansea,Liberty Stadium,"20,520"
